x,m,y,n,y,n,z,q,x,m,y,p,y,p,w,r,y,n,z,y,p,w
CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:1,AnimationDecorator,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:2,AnimationDecorator,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:1,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:2
CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:1,AnimationDecorator,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:3,AnimationDecorator,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:1,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:3
CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:1,AnimationDecorator,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:4,AnimationDecorator,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:1,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:4
CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:2,AnimationDecorator,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:1,AnimationDecorator,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:2,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:1
CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:2,AnimationDecorator,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:3,AnimationDecorator,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:2,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:3
CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:2,AnimationDecorator,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:4,AnimationDecorator,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:2,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:4
CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:3,AnimationDecorator,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:1,AnimationDecorator,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:3,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:1
CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:3,AnimationDecorator,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:2,AnimationDecorator,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:3,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:2
CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:3,AnimationDecorator,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:4,AnimationDecorator,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:3,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:4
CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:4,AnimationDecorator,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:1,AnimationDecorator,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:4,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:1
