x,m,y,n,y,n,z,q,y,n,y,p,z,w,q
CH.ifa.draw.standard.CreationTool:3,mouseDown,CH.ifa.draw.standard.AbstractFigure:14,displayBox,CH.ifa.draw.standard.AbstractFigure:14,displayBox,CH.ifa.draw.figures.RectangleFigure:2,basicDisplayBox,CH.ifa.draw.standard.AbstractFigure:14,displayBox,CH.ifa.draw.standard.AbstractFigure:14,changed,CH.ifa.draw.figures.RectangleFigure:2,CH.ifa.draw.figures.EllipseFigure:2,basicDisplayBox
CH.ifa.draw.standard.CreationTool:3,mouseDown,CH.ifa.draw.standard.AbstractFigure:14,displayBox,CH.ifa.draw.standard.AbstractFigure:14,displayBox,CH.ifa.draw.figures.RectangleFigure:2,basicDisplayBox,CH.ifa.draw.standard.AbstractFigure:14,displayBox,CH.ifa.draw.standard.AbstractFigure:14,changed,CH.ifa.draw.figures.RectangleFigure:2,CH.ifa.draw.figures.RoundRectangleFigure:2,basicDisplayBox
CH.ifa.draw.standard.CreationTool:3,mouseDown,CH.ifa.draw.standard.AbstractFigure:14,displayBox,CH.ifa.draw.standard.AbstractFigure:14,displayBox,CH.ifa.draw.figures.RectangleFigure:2,basicDisplayBox,CH.ifa.draw.standard.AbstractFigure:14,displayBox,CH.ifa.draw.standard.AbstractFigure:14,willChange,CH.ifa.draw.figures.RectangleFigure:2,CH.ifa.draw.figures.EllipseFigure:2,basicDisplayBox
CH.ifa.draw.standard.CreationTool:3,mouseDown,CH.ifa.draw.standard.AbstractFigure:14,displayBox,CH.ifa.draw.standard.AbstractFigure:14,displayBox,CH.ifa.draw.figures.RectangleFigure:2,basicDisplayBox,CH.ifa.draw.standard.AbstractFigure:14,displayBox,CH.ifa.draw.standard.AbstractFigure:14,willChange,CH.ifa.draw.figures.RectangleFigure:2,CH.ifa.draw.figures.RoundRectangleFigure:2,basicDisplayBox
CH.ifa.draw.standard.CreationTool:3,mouseDrag,CH.ifa.draw.standard.AbstractFigure:14,displayBox,CH.ifa.draw.standard.AbstractFigure:14,displayBox,CH.ifa.draw.figures.RectangleFigure:2,basicDisplayBox,CH.ifa.draw.standard.AbstractFigure:14,displayBox,CH.ifa.draw.standard.AbstractFigure:14,changed,CH.ifa.draw.figures.RectangleFigure:2,CH.ifa.draw.figures.EllipseFigure:2,basicDisplayBox
CH.ifa.draw.standard.CreationTool:3,mouseDrag,CH.ifa.draw.standard.AbstractFigure:14,displayBox,CH.ifa.draw.standard.AbstractFigure:14,displayBox,CH.ifa.draw.figures.RectangleFigure:2,basicDisplayBox,CH.ifa.draw.standard.AbstractFigure:14,displayBox,CH.ifa.draw.standard.AbstractFigure:14,changed,CH.ifa.draw.figures.RectangleFigure:2,CH.ifa.draw.figures.RoundRectangleFigure:2,basicDisplayBox
CH.ifa.draw.standard.CreationTool:3,mouseDrag,CH.ifa.draw.standard.AbstractFigure:14,displayBox,CH.ifa.draw.standard.AbstractFigure:14,displayBox,CH.ifa.draw.figures.RectangleFigure:2,basicDisplayBox,CH.ifa.draw.standard.AbstractFigure:14,displayBox,CH.ifa.draw.standard.AbstractFigure:14,willChange,CH.ifa.draw.figures.RectangleFigure:2,CH.ifa.draw.figures.EllipseFigure:2,basicDisplayBox
CH.ifa.draw.standard.CreationTool:3,mouseDrag,CH.ifa.draw.standard.AbstractFigure:14,displayBox,CH.ifa.draw.standard.AbstractFigure:14,displayBox,CH.ifa.draw.figures.RectangleFigure:2,basicDisplayBox,CH.ifa.draw.standard.AbstractFigure:14,displayBox,CH.ifa.draw.standard.AbstractFigure:14,willChange,CH.ifa.draw.figures.RectangleFigure:2,CH.ifa.draw.figures.RoundRectangleFigure:2,basicDisplayBox
CH.ifa.draw.standard.CreationTool:4,mouseDown,CH.ifa.draw.standard.AbstractFigure:12,displayBox,CH.ifa.draw.standard.AbstractFigure:12,displayBox,CH.ifa.draw.figures.RoundRectangleFigure:2,basicDisplayBox,CH.ifa.draw.standard.AbstractFigure:12,displayBox,CH.ifa.draw.standard.AbstractFigure:12,changed,CH.ifa.draw.figures.RoundRectangleFigure:2,CH.ifa.draw.figures.EllipseFigure:2,basicDisplayBox
CH.ifa.draw.standard.CreationTool:4,mouseDown,CH.ifa.draw.standard.AbstractFigure:12,displayBox,CH.ifa.draw.standard.AbstractFigure:12,displayBox,CH.ifa.draw.figures.RoundRectangleFigure:2,basicDisplayBox,CH.ifa.draw.standard.AbstractFigure:12,displayBox,CH.ifa.draw.standard.AbstractFigure:12,changed,CH.ifa.draw.figures.RoundRectangleFigure:2,CH.ifa.draw.figures.RectangleFigure:2,basicDisplayBox
