x,m,z,n,z,n,y,n,y,z,n,z,y
CH.ifa.draw.standard.StandardDrawingView:1,mouseDragged,CH.ifa.draw.standard.SelectionTool:1,mouseDrag,CH.ifa.draw.standard.SelectionTool:1,mouseDrag,CH.ifa.draw.standard.DragTracker:2,mouseDrag,CH.ifa.draw.standard.DragTracker:2,CH.ifa.draw.standard.SelectionTool:1,mouseDrag,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.DragTracker:2
CH.ifa.draw.standard.StandardDrawingView:1,mouseDragged,CH.ifa.draw.standard.SelectionTool:1,mouseDrag,CH.ifa.draw.standard.SelectionTool:1,mouseDrag,CH.ifa.draw.standard.DragTracker:3,mouseDrag,CH.ifa.draw.standard.DragTracker:3,CH.ifa.draw.standard.SelectionTool:1,mouseDrag,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.DragTracker:3
CH.ifa.draw.standard.StandardDrawingView:1,mouseDragged,CH.ifa.draw.standard.SelectionTool:1,mouseDrag,CH.ifa.draw.standard.SelectionTool:1,mouseDrag,CH.ifa.draw.standard.SelectAreaTracker:1,mouseDrag,CH.ifa.draw.standard.SelectAreaTracker:1,CH.ifa.draw.standard.SelectionTool:1,mouseDrag,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:1
CH.ifa.draw.standard.StandardDrawingView:1,mouseDragged,CH.ifa.draw.standard.SelectionTool:1,mouseDrag,CH.ifa.draw.standard.SelectionTool:1,mouseDrag,CH.ifa.draw.standard.SelectAreaTracker:11,mouseDrag,CH.ifa.draw.standard.SelectAreaTracker:11,CH.ifa.draw.standard.SelectionTool:1,mouseDrag,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:11
CH.ifa.draw.standard.StandardDrawingView:1,mouseDragged,CH.ifa.draw.standard.SelectionTool:1,mouseDrag,CH.ifa.draw.standard.SelectionTool:1,mouseDrag,CH.ifa.draw.standard.SelectAreaTracker:12,mouseDrag,CH.ifa.draw.standard.SelectAreaTracker:12,CH.ifa.draw.standard.SelectionTool:1,mouseDrag,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:12
CH.ifa.draw.standard.StandardDrawingView:1,mouseDragged,CH.ifa.draw.standard.SelectionTool:1,mouseDrag,CH.ifa.draw.standard.SelectionTool:1,mouseDrag,CH.ifa.draw.standard.SelectAreaTracker:14,mouseDrag,CH.ifa.draw.standard.SelectAreaTracker:14,CH.ifa.draw.standard.SelectionTool:1,mouseDrag,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:14
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.DragTracker:1,mouseDown,CH.ifa.draw.standard.DragTracker:1,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.DragTracker:1
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.DragTracker:2,mouseDown,CH.ifa.draw.standard.DragTracker:2,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.DragTracker:2
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.DragTracker:3,mouseDown,CH.ifa.draw.standard.DragTracker:3,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.DragTracker:3
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:1,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:1
