"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=AbstractDesign"
"main", "5", "AbstractDesign.java:220", "Method Call", "caller=SYSTEM, target=AbstractDesign#main:1"
"main", "6", "AbstractDesign.java:218", "Method Entered", ""
"main", "7", "AbstractDesign.java:218", "Variable Write", "context=AbstractDesign#main:1, args=java.lang.String[0] (id=24)"
"main", "8", "AbstractDesign.java:220", "Line Step", "file=AbstractDesign.java, line=220"
"main", "9", "SYSTEM", "Type Load", "class=java.lang.Enum"
"main", "10", "SYSTEM", "Type Load", "class=CarType"
"main", "11", "SYSTEM", "Method Call", "caller=AbstractDesign#main:1, target=CarType#<clinit>:1"
"main", "12", "AbstractDesign.java:4", "Method Entered", ""
"main", "13", "AbstractDesign.java:4", "New Object", "object=CarType:1"
"main", "14", "SYSTEM", "Method Call", "caller=CarType#<clinit>:1, target=CarType:1#CarType:1"
"main", "15", "AbstractDesign.java:4", "Method Entered", ""
"main", "16", "AbstractDesign.java:4", "Method Exit", "returner=CarType:1#CarType:1, value=<void>"
"main", "17", "AbstractDesign.java:6", "Field Write", "context=CarType, MICRO=CarType:1"
"main", "18", "SYSTEM", "Method Returned", ""
"main", "19", "AbstractDesign.java:6", "New Object", "object=CarType:2"
"main", "20", "SYSTEM", "Method Call", "caller=CarType#<clinit>:1, target=CarType:2#CarType:2"
"main", "21", "AbstractDesign.java:4", "Method Entered", ""
"main", "22", "AbstractDesign.java:4", "Method Exit", "returner=CarType:2#CarType:2, value=<void>"
"main", "23", "AbstractDesign.java:6", "Field Write", "context=CarType, MINI=CarType:2"
"main", "24", "SYSTEM", "Method Returned", ""
"main", "25", "AbstractDesign.java:6", "New Object", "object=CarType:3"
"main", "26", "SYSTEM", "Method Call", "caller=CarType#<clinit>:1, target=CarType:3#CarType:3"
"main", "27", "AbstractDesign.java:4", "Method Entered", ""
"main", "28", "AbstractDesign.java:4", "Method Exit", "returner=CarType:3#CarType:3, value=<void>"
"main", "29", "AbstractDesign.java:6", "Field Write", "context=CarType, LUXURY=CarType:3"
"main", "30", "SYSTEM", "Method Returned", ""
"main", "31", "AbstractDesign.java:4", "Field Read", "context=CarType, MICRO"
"main", "32", "AbstractDesign.java:4", "Line Step", "file=AbstractDesign.java, line=4"
"main", "33", "AbstractDesign.java:4", "Field Read", "context=CarType, MINI"
"main", "34", "AbstractDesign.java:4", "Line Step", "file=AbstractDesign.java, line=4"
"main", "35", "AbstractDesign.java:4", "Field Read", "context=CarType, LUXURY"
"main", "36", "AbstractDesign.java:4", "Line Step", "file=AbstractDesign.java, line=4"
"main", "37", "AbstractDesign.java:4", "Method Exit", "returner=CarType#<clinit>:1, value=<void>"
"main", "38", "SYSTEM", "Method Returned", ""
"main", "39", "AbstractDesign.java:220", "Field Read", "context=CarType, MICRO"
"main", "40", "SYSTEM", "Type Load", "class=CarFactory"
"main", "41", "AbstractDesign.java:220", "Method Call", "caller=AbstractDesign#main:1, target=CarFactory#buildCar:1"
"main", "42", "AbstractDesign.java:187", "Method Entered", ""
"main", "43", "AbstractDesign.java:187", "Variable Write", "context=CarFactory#buildCar:1, type=CarType:1"
"main", "44", "AbstractDesign.java:189", "Line Step", "file=AbstractDesign.java, line=189"
"main", "45", "AbstractDesign.java:189", "Variable Write", "context=CarFactory#buildCar:1, car=null"
"main", "46", "AbstractDesign.java:194", "Line Step", "file=AbstractDesign.java, line=194"
"main", "47", "SYSTEM", "Type Load", "class=Location"
"main", "48", "SYSTEM", "Method Call", "caller=CarFactory#buildCar:1, target=Location#<clinit>:1"
"main", "49", "AbstractDesign.java:92", "Method Entered", ""
"main", "50", "AbstractDesign.java:92", "New Object", "object=Location:1"
"main", "51", "SYSTEM", "Method Call", "caller=Location#<clinit>:1, target=Location:1#Location:1"
"main", "52", "AbstractDesign.java:92", "Method Entered", ""
"main", "53", "AbstractDesign.java:92", "Method Exit", "returner=Location:1#Location:1, value=<void>"
"main", "54", "AbstractDesign.java:94", "Field Write", "context=Location, DEFAULT=Location:1"
"main", "55", "SYSTEM", "Method Returned", ""
"main", "56", "AbstractDesign.java:94", "New Object", "object=Location:2"
"main", "57", "SYSTEM", "Method Call", "caller=Location#<clinit>:1, target=Location:2#Location:2"
"main", "58", "AbstractDesign.java:92", "Method Entered", ""
"main", "59", "AbstractDesign.java:92", "Method Exit", "returner=Location:2#Location:2, value=<void>"
"main", "60", "AbstractDesign.java:94", "Field Write", "context=Location, USA=Location:2"
"main", "61", "SYSTEM", "Method Returned", ""
"main", "62", "AbstractDesign.java:94", "New Object", "object=Location:3"
"main", "63", "SYSTEM", "Method Call", "caller=Location#<clinit>:1, target=Location:3#Location:3"
"main", "64", "AbstractDesign.java:92", "Method Entered", ""
"main", "65", "AbstractDesign.java:92", "Method Exit", "returner=Location:3#Location:3, value=<void>"
"main", "66", "AbstractDesign.java:94", "Field Write", "context=Location, INDIA=Location:3"
"main", "67", "SYSTEM", "Method Returned", ""
"main", "68", "AbstractDesign.java:92", "Field Read", "context=Location, DEFAULT"
"main", "69", "AbstractDesign.java:92", "Line Step", "file=AbstractDesign.java, line=92"
"main", "70", "AbstractDesign.java:92", "Field Read", "context=Location, USA"
"main", "71", "AbstractDesign.java:92", "Line Step", "file=AbstractDesign.java, line=92"
"main", "72", "AbstractDesign.java:92", "Field Read", "context=Location, INDIA"
"main", "73", "AbstractDesign.java:92", "Line Step", "file=AbstractDesign.java, line=92"
"main", "74", "AbstractDesign.java:92", "Method Exit", "returner=Location#<clinit>:1, value=<void>"
"main", "75", "SYSTEM", "Method Returned", ""
"main", "76", "AbstractDesign.java:194", "Field Read", "context=Location, INDIA"
"main", "77", "AbstractDesign.java:194", "Variable Write", "context=CarFactory#buildCar:1, location=Location:3"
"main", "78", "AbstractDesign.java:196", "Line Step", "file=AbstractDesign.java, line=196"
"main", "79", "AbstractDesign.java:196", "Method Call", "caller=CarFactory#buildCar:1, target=LCarFactory;.$SWITCH_TABLE$Location() <SYNTHETIC>"
"main", "80", "AbstractDesign.java:181", "Method Call", "caller=LCarFactory;.$SWITCH_TABLE$Location() <SYNTHETIC>, target=Location#values:1"
"main", "81", "AbstractDesign.java:1", "Method Entered", ""
"main", "82", "AbstractDesign.java:1", "Line Step", "file=AbstractDesign.java, line=1"
