"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=CourseMain"
"main", "5", "CourseMain.java:6", "Method Call", "caller=SYSTEM, target=CourseMain#main:1"
"main", "6", "CourseMain.java:4", "Method Entered", ""
"main", "7", "CourseMain.java:4", "Variable Write", "context=CourseMain#main:1, args=java.lang.String[0] (id=22)"
"main", "8", "CourseMain.java:6", "Line Step", "file=CourseMain.java, line=6"
"main", "9", "SYSTEM", "Type Load", "class=FactoryCreator"
"main", "10", "CourseMain.java:6", "Method Call", "caller=CourseMain#main:1, target=FactoryCreator#getSourceCourseFactory:1"
"main", "11", "FactoryCreator.java:5", "Method Entered", ""
"main", "12", "FactoryCreator.java:5", "Variable Write", "context=FactoryCreator#getSourceCourseFactory:1, type=""course"""
"main", "13", "FactoryCreator.java:8", "Line Step", "file=FactoryCreator.java, line=8"
"main", "14", "FactoryCreator.java:9", "Line Step", "file=FactoryCreator.java, line=9"
"main", "15", "SYSTEM", "Type Load", "class=SourceCourseFactory"
"main", "16", "SYSTEM", "Type Load", "class=CourseFactory"
"main", "17", "FactoryCreator.java:9", "New Object", "object=CourseFactory:1"
"main", "18", "FactoryCreator.java:9", "Method Call", "caller=FactoryCreator#getSourceCourseFactory:1, target=CourseFactory:1#CourseFactory:1"
"main", "19", "CourseFactory.java:1", "Method Entered", ""
"main", "20", "CourseFactory.java:1", "Line Step", "file=CourseFactory.java, line=1"
"main", "21", "CourseFactory.java:1", "Method Call", "caller=CourseFactory:1#CourseFactory:1, target=SourceCourseFactory:1#SourceCourseFactory:1"
"main", "22", "SourceCourseFactory.java:2", "Method Entered", ""
"main", "23", "SourceCourseFactory.java:2", "Line Step", "file=SourceCourseFactory.java, line=2"
"main", "24", "SourceCourseFactory.java:2", "Method Exit", "returner=SourceCourseFactory:1#SourceCourseFactory:1, value=<void>"
"main", "25", "CourseFactory.java:1", "Method Returned", ""
"main", "26", "CourseFactory.java:1", "Line Step", "file=CourseFactory.java, line=1"
"main", "27", "CourseFactory.java:1", "Method Exit", "returner=CourseFactory:1#CourseFactory:1, value=<void>"
"main", "28", "FactoryCreator.java:9", "Method Returned", ""
"main", "29", "FactoryCreator.java:9", "Line Step", "file=FactoryCreator.java, line=9"
"main", "30", "FactoryCreator.java:9", "Variable Write", "context=FactoryCreator#getSourceCourseFactory:1, result=CourseFactory:1"
"main", "31", "FactoryCreator.java:9", "Method Exit", "returner=FactoryCreator#getSourceCourseFactory:1, value=CourseFactory:1"
"main", "32", "CourseMain.java:6", "Method Returned", ""
"main", "33", "CourseMain.java:6", "Line Step", "file=CourseMain.java, line=6"
"main", "34", "CourseMain.java:6", "Variable Write", "context=CourseMain#main:1, course=CourseFactory:1"
"main", "35", "CourseMain.java:8", "Line Step", "file=CourseMain.java, line=8"
"main", "36", "CourseMain.java:8", "Method Call", "caller=CourseMain#main:1, target=CourseFactory:1#getCourse:1"
"main", "37", "CourseFactory.java:10", "Method Entered", ""
"main", "38", "CourseFactory.java:10", "Variable Write", "context=CourseFactory:1#getCourse:1, courseType=""programming"""
"main", "39", "CourseFactory.java:12", "Line Step", "file=CourseFactory.java, line=12"
"main", "40", "CourseFactory.java:14", "Line Step", "file=CourseFactory.java, line=14"
"main", "41", "SYSTEM", "Type Load", "class=ProgrammingCourse"
"main", "42", "CourseFactory.java:14", "New Object", "object=ProgrammingCourse:1"
"main", "43", "CourseFactory.java:14", "Method Call", "caller=CourseFactory:1#getCourse:1, target=ProgrammingCourse:1#ProgrammingCourse:1"
"main", "44", "ProgrammingCourse.java:1", "Method Entered", ""
"main", "45", "ProgrammingCourse.java:1", "Line Step", "file=ProgrammingCourse.java, line=1"
"main", "46", "ProgrammingCourse.java:1", "Method Exit", "returner=ProgrammingCourse:1#ProgrammingCourse:1, value=<void>"
"main", "47", "CourseFactory.java:14", "Method Returned", ""
"main", "48", "CourseFactory.java:14", "Line Step", "file=CourseFactory.java, line=14"
"main", "49", "CourseFactory.java:14", "Variable Write", "context=CourseFactory:1#getCourse:1, result=ProgrammingCourse:1"
"main", "50", "CourseFactory.java:14", "Method Exit", "returner=CourseFactory:1#getCourse:1, value=ProgrammingCourse:1"
"main", "51", "CourseMain.java:8", "Method Returned", ""
"main", "52", "CourseMain.java:8", "Line Step", "file=CourseMain.java, line=8"
"main", "53", "CourseMain.java:8", "Method Call", "caller=CourseMain#main:1, target=ProgrammingCourse:1#getCourseName:1"
"main", "54", "ProgrammingCourse.java:4", "Method Entered", ""
"main", "55", "ProgrammingCourse.java:6", "Line Step", "file=ProgrammingCourse.java, line=6"
"main", "56", "ProgrammingCourse.java:6", "Variable Write", "context=ProgrammingCourse:1#getCourseName:1, result=""Java"""
"main", "57", "ProgrammingCourse.java:6", "Method Exit", "returner=ProgrammingCourse:1#getCourseName:1, value=""Java"""
"main", "58", "CourseMain.java:8", "Method Returned", ""
"main", "59", "CourseMain.java:8", "Line Step", "file=CourseMain.java, line=8"
"main", "60", "CourseMain.java:10", "Line Step", "file=CourseMain.java, line=10"
"main", "61", "CourseMain.java:10", "Method Call", "caller=CourseMain#main:1, target=FactoryCreator#getSourceCourseFactory:2"
"main", "62", "FactoryCreator.java:5", "Method Entered", ""
"main", "63", "FactoryCreator.java:5", "Variable Write", "context=FactoryCreator#getSourceCourseFactory:2, type=""source"""
"main", "64", "FactoryCreator.java:8", "Line Step", "file=FactoryCreator.java, line=8"
"main", "65", "FactoryCreator.java:12", "Line Step", "file=FactoryCreator.java, line=12"
"main", "66", "FactoryCreator.java:13", "Line Step", "file=FactoryCreator.java, line=13"
"main", "67", "SYSTEM", "Type Load", "class=SourceFactory"
"main", "68", "FactoryCreator.java:13", "New Object", "object=SourceFactory:1"
"main", "69", "FactoryCreator.java:13", "Method Call", "caller=FactoryCreator#getSourceCourseFactory:2, target=SourceFactory:1#SourceFactory:1"
"main", "70", "SourceFactory.java:2", "Method Entered", ""
"main", "71", "SourceFactory.java:2", "Line Step", "file=SourceFactory.java, line=2"
"main", "72", "SourceFactory.java:2", "Method Call", "caller=SourceFactory:1#SourceFactory:1, target=SourceCourseFactory:2#SourceCourseFactory:2"
"main", "73", "SourceCourseFactory.java:2", "Method Entered", ""
"main", "74", "SourceCourseFactory.java:2", "Line Step", "file=SourceCourseFactory.java, line=2"
