"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=GourmetPizzaFactoryTest"
"main", "5", "GourmetPizzaFactoryTest.java:6", "Method Call", "caller=SYSTEM, target=GourmetPizzaFactoryTest#main:1"
"main", "6", "GourmetPizzaFactoryTest.java:5", "Method Entered", ""
"main", "7", "GourmetPizzaFactoryTest.java:5", "Variable Write", "context=GourmetPizzaFactoryTest#main:1, args=java.lang.String[0] (id=24)"
"main", "8", "GourmetPizzaFactoryTest.java:6", "Line Step", "file=GourmetPizzaFactoryTest.java, line=6"
"main", "9", "SYSTEM", "Type Load", "class=BasePizzaFactory"
"main", "10", "SYSTEM", "Type Load", "class=GourmetPizzaFactory"
"main", "11", "GourmetPizzaFactoryTest.java:6", "New Object", "object=GourmetPizzaFactory:1"
"main", "12", "GourmetPizzaFactoryTest.java:6", "Method Call", "caller=GourmetPizzaFactoryTest#main:1, target=GourmetPizzaFactory:1#GourmetPizzaFactory:1"
"main", "13", "GourmetPizzaFactory.java:2", "Method Entered", ""
"main", "14", "GourmetPizzaFactory.java:2", "Line Step", "file=GourmetPizzaFactory.java, line=2"
"main", "15", "GourmetPizzaFactory.java:2", "Method Call", "caller=GourmetPizzaFactory:1#GourmetPizzaFactory:1, target=BasePizzaFactory:1#BasePizzaFactory:1"
"main", "16", "BasePizzaFactory.java:2", "Method Entered", ""
"main", "17", "BasePizzaFactory.java:2", "Line Step", "file=BasePizzaFactory.java, line=2"
"main", "18", "BasePizzaFactory.java:2", "Method Exit", "returner=BasePizzaFactory:1#BasePizzaFactory:1, value=<void>"
"main", "19", "GourmetPizzaFactory.java:2", "Method Returned", ""
"main", "20", "GourmetPizzaFactory.java:2", "Line Step", "file=GourmetPizzaFactory.java, line=2"
"main", "21", "GourmetPizzaFactory.java:2", "Method Exit", "returner=GourmetPizzaFactory:1#GourmetPizzaFactory:1, value=<void>"
"main", "22", "GourmetPizzaFactoryTest.java:6", "Method Returned", ""
"main", "23", "GourmetPizzaFactoryTest.java:6", "Line Step", "file=GourmetPizzaFactoryTest.java, line=6"
"main", "24", "GourmetPizzaFactoryTest.java:6", "Variable Write", "context=GourmetPizzaFactoryTest#main:1, pizzaFactory=GourmetPizzaFactory:1"
"main", "25", "GourmetPizzaFactoryTest.java:7", "Line Step", "file=GourmetPizzaFactoryTest.java, line=7"
"main", "26", "GourmetPizzaFactoryTest.java:7", "Method Call", "caller=GourmetPizzaFactoryTest#main:1, target=GourmetPizzaFactory:1#createPizza:1"
"main", "27", "GourmetPizzaFactory.java:5", "Method Entered", ""
"main", "28", "GourmetPizzaFactory.java:5", "Variable Write", "context=GourmetPizzaFactory:1#createPizza:1, type=""cheese"""
"main", "29", "GourmetPizzaFactory.java:7", "Line Step", "file=GourmetPizzaFactory.java, line=7"
"main", "30", "SYSTEM", "Type Load", "class=BaseToppingFactory"
"main", "31", "SYSTEM", "Type Load", "class=GourmetToppingFactory"
"main", "32", "GourmetPizzaFactory.java:7", "New Object", "object=GourmetToppingFactory:1"
"main", "33", "GourmetPizzaFactory.java:7", "Method Call", "caller=GourmetPizzaFactory:1#createPizza:1, target=GourmetToppingFactory:1#GourmetToppingFactory:1"
"main", "34", "GourmetToppingFactory.java:1", "Method Entered", ""
"main", "35", "GourmetToppingFactory.java:1", "Line Step", "file=GourmetToppingFactory.java, line=1"
"main", "36", "GourmetToppingFactory.java:1", "Method Call", "caller=GourmetToppingFactory:1#GourmetToppingFactory:1, target=BaseToppingFactory:1#BaseToppingFactory:1"
"main", "37", "BaseToppingFactory.java:2", "Method Entered", ""
"main", "38", "BaseToppingFactory.java:2", "Line Step", "file=BaseToppingFactory.java, line=2"
"main", "39", "BaseToppingFactory.java:2", "Method Exit", "returner=BaseToppingFactory:1#BaseToppingFactory:1, value=<void>"
"main", "40", "GourmetToppingFactory.java:1", "Method Returned", ""
"main", "41", "GourmetToppingFactory.java:1", "Line Step", "file=GourmetToppingFactory.java, line=1"
"main", "42", "GourmetToppingFactory.java:1", "Method Exit", "returner=GourmetToppingFactory:1#GourmetToppingFactory:1, value=<void>"
"main", "43", "GourmetPizzaFactory.java:7", "Method Returned", ""
"main", "44", "GourmetPizzaFactory.java:7", "Line Step", "file=GourmetPizzaFactory.java, line=7"
"main", "45", "GourmetPizzaFactory.java:7", "Variable Write", "context=GourmetPizzaFactory:1#createPizza:1, toppingFactory=GourmetToppingFactory:1"
"main", "46", "GourmetPizzaFactory.java:8", "Line Step", "file=GourmetPizzaFactory.java, line=8"
"main", "47", "GourmetPizzaFactory.java:11", "Line Step", "file=GourmetPizzaFactory.java, line=11"
"main", "48", "SYSTEM", "Type Load", "class=Pizza"
"main", "49", "SYSTEM", "Type Load", "class=CheesePizza"
"main", "50", "GourmetPizzaFactory.java:11", "New Object", "object=CheesePizza:1"
"main", "51", "GourmetPizzaFactory.java:11", "Method Call", "caller=GourmetPizzaFactory:1#createPizza:1, target=CheesePizza:1#CheesePizza:1"
"main", "52", "CheesePizza.java:6", "Method Entered", ""
"main", "53", "CheesePizza.java:6", "Variable Write", "context=CheesePizza:1#CheesePizza:1, toppingFactory=GourmetToppingFactory:1"
"main", "54", "CheesePizza.java:6", "Line Step", "file=CheesePizza.java, line=6"
"main", "55", "CheesePizza.java:6", "Method Call", "caller=CheesePizza:1#CheesePizza:1, target=Pizza:1#Pizza:1"
"main", "56", "Pizza.java:2", "Method Entered", ""
"main", "57", "Pizza.java:2", "Line Step", "file=Pizza.java, line=2"
"main", "58", "Pizza.java:2", "Method Exit", "returner=Pizza:1#Pizza:1, value=<void>"
"main", "59", "CheesePizza.java:6", "Method Returned", ""
"main", "60", "CheesePizza.java:7", "Line Step", "file=CheesePizza.java, line=7"
"main", "61", "CheesePizza.java:7", "Field Write", "context=CheesePizza:1, toppingFactory=GourmetToppingFactory:1"
"main", "62", "CheesePizza.java:8", "Line Step", "file=CheesePizza.java, line=8"
"main", "63", "CheesePizza.java:8", "Method Exit", "returner=CheesePizza:1#CheesePizza:1, value=<void>"
"main", "64", "GourmetPizzaFactory.java:11", "Method Returned", ""
"main", "65", "GourmetPizzaFactory.java:11", "Line Step", "file=GourmetPizzaFactory.java, line=11"
