"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=NewLineFormatterTest"
"main", "5", "NewLineFormatterTest.java:5", "Method Call", "caller=SYSTEM, target=NewLineFormatterTest#main:1"
"main", "6", "NewLineFormatterTest.java:3", "Method Entered", ""
"main", "7", "NewLineFormatterTest.java:3", "Variable Write", "context=NewLineFormatterTest#main:1, args=java.lang.String[0] (id=24)"
"main", "8", "NewLineFormatterTest.java:5", "Line Step", "file=NewLineFormatterTest.java, line=5"
"main", "9", "NewLineFormatterTest.java:5", "Variable Write", "context=NewLineFormatterTest#main:1, testString="" Formatting line 1. Formatting line 2. Formatting line 3."""
"main", "10", "NewLineFormatterTest.java:6", "Line Step", "file=NewLineFormatterTest.java, line=6"
"main", "11", "SYSTEM", "Type Load", "class=NewLineFormatter"
"main", "12", "NewLineFormatterTest.java:6", "New Object", "object=NewLineFormatter:1"
"main", "13", "NewLineFormatterTest.java:6", "Method Call", "caller=NewLineFormatterTest#main:1, target=NewLineFormatter:1#NewLineFormatter:1"
"main", "14", "NewLineFormatter.java:2", "Method Entered", ""
"main", "15", "NewLineFormatter.java:2", "Line Step", "file=NewLineFormatter.java, line=2"
"main", "16", "NewLineFormatter.java:2", "Method Exit", "returner=NewLineFormatter:1#NewLineFormatter:1, value=<void>"
"main", "17", "NewLineFormatterTest.java:6", "Method Returned", ""
"main", "18", "NewLineFormatterTest.java:6", "Line Step", "file=NewLineFormatterTest.java, line=6"
"main", "19", "NewLineFormatterTest.java:6", "Variable Write", "context=NewLineFormatterTest#main:1, newLineFormatter=NewLineFormatter:1"
"main", "20", "NewLineFormatterTest.java:7", "Line Step", "file=NewLineFormatterTest.java, line=7"
"main", "21", "NewLineFormatterTest.java:7", "Method Call", "caller=NewLineFormatterTest#main:1, target=NewLineFormatter:1#formatText:1"
"main", "22", "NewLineFormatter.java:5", "Method Entered", ""
"main", "23", "NewLineFormatter.java:5", "Variable Write", "context=NewLineFormatter:1#formatText:1, text="" Formatting line 1. Formatting line 2. Formatting line 3."""
"main", "24", "NewLineFormatter.java:7", "Line Step", "file=NewLineFormatter.java, line=7"
"main", "25", "NewLineFormatter.java:7", "Variable Write", "context=NewLineFormatter:1#formatText:1, formattedText="" Formatting line 1  Formatting line 2  Formatting line 3 """
"main", "26", "NewLineFormatter.java:8", "Line Step", "file=NewLineFormatter.java, line=8"
"main", "27", "NewLineFormatter.java:8", "Variable Write", "context=NewLineFormatter:1#formatText:1, result="" Formatting line 1  Formatting line 2  Formatting line 3 """
"main", "28", "NewLineFormatter.java:8", "Method Exit", "returner=NewLineFormatter:1#formatText:1, value="" Formatting line 1  Formatting line 2  Formatting line 3 """
"main", "29", "NewLineFormatterTest.java:7", "Method Returned", ""
"main", "30", "NewLineFormatterTest.java:7", "Line Step", "file=NewLineFormatterTest.java, line=7"
"main", "31", "NewLineFormatterTest.java:7", "Variable Write", "context=NewLineFormatterTest#main:1, resultString="" Formatting line 1  Formatting line 2  Formatting line 3 """
"main", "32", "NewLineFormatterTest.java:8", "Line Step", "file=NewLineFormatterTest.java, line=8"
"main", "33", "NewLineFormatterTest.java:10", "Line Step", "file=NewLineFormatterTest.java, line=10"
"main", "34", "SYSTEM", "Type Load", "class=CsvFormatter"
"main", "35", "NewLineFormatterTest.java:10", "New Object", "object=CsvFormatter:1"
"main", "36", "NewLineFormatterTest.java:10", "Method Call", "caller=NewLineFormatterTest#main:1, target=CsvFormatter:1#CsvFormatter:1"
"main", "37", "CsvFormatter.java:2", "Method Entered", ""
"main", "38", "CsvFormatter.java:2", "Line Step", "file=CsvFormatter.java, line=2"
"main", "39", "CsvFormatter.java:2", "Method Exit", "returner=CsvFormatter:1#CsvFormatter:1, value=<void>"
"main", "40", "NewLineFormatterTest.java:10", "Method Returned", ""
"main", "41", "NewLineFormatterTest.java:10", "Line Step", "file=NewLineFormatterTest.java, line=10"
"main", "42", "NewLineFormatterTest.java:10", "Variable Write", "context=NewLineFormatterTest#main:1, csvFormatter=CsvFormatter:1"
"main", "43", "NewLineFormatterTest.java:11", "Line Step", "file=NewLineFormatterTest.java, line=11"
"main", "44", "SYSTEM", "Type Load", "class=CsvAdapterImpl"
"main", "45", "NewLineFormatterTest.java:11", "New Object", "object=CsvAdapterImpl:1"
"main", "46", "NewLineFormatterTest.java:11", "Method Call", "caller=NewLineFormatterTest#main:1, target=CsvAdapterImpl:1#CsvAdapterImpl:1"
"main", "47", "CsvAdapterImpl.java:5", "Method Entered", ""
"main", "48", "CsvAdapterImpl.java:5", "Variable Write", "context=CsvAdapterImpl:1#CsvAdapterImpl:1, csvFormatter=CsvFormatter:1"
"main", "49", "CsvAdapterImpl.java:5", "Line Step", "file=CsvAdapterImpl.java, line=5"
"main", "50", "CsvAdapterImpl.java:6", "Line Step", "file=CsvAdapterImpl.java, line=6"
"main", "51", "CsvAdapterImpl.java:6", "Field Write", "context=CsvAdapterImpl:1, csvFormatter=CsvFormatter:1"
"main", "52", "CsvAdapterImpl.java:7", "Line Step", "file=CsvAdapterImpl.java, line=7"
"main", "53", "CsvAdapterImpl.java:7", "Method Exit", "returner=CsvAdapterImpl:1#CsvAdapterImpl:1, value=<void>"
"main", "54", "NewLineFormatterTest.java:11", "Method Returned", ""
"main", "55", "NewLineFormatterTest.java:11", "Line Step", "file=NewLineFormatterTest.java, line=11"
"main", "56", "NewLineFormatterTest.java:11", "Variable Write", "context=NewLineFormatterTest#main:1, csvAdapter=CsvAdapterImpl:1"
"main", "57", "NewLineFormatterTest.java:12", "Line Step", "file=NewLineFormatterTest.java, line=12"
"main", "58", "NewLineFormatterTest.java:12", "Method Call", "caller=NewLineFormatterTest#main:1, target=CsvAdapterImpl:1#formatText:1"
"main", "59", "CsvAdapterImpl.java:9", "Method Entered", ""
"main", "60", "CsvAdapterImpl.java:9", "Variable Write", "context=CsvAdapterImpl:1#formatText:1, text="" Formatting line 1. Formatting line 2. Formatting line 3."""
"main", "61", "CsvAdapterImpl.java:11", "Line Step", "file=CsvAdapterImpl.java, line=11"
"main", "62", "CsvAdapterImpl.java:11", "Field Read", "context=CsvAdapterImpl:1, csvFormatter"
"main", "63", "CsvAdapterImpl.java:11", "Method Call", "caller=CsvAdapterImpl:1#formatText:1, target=CsvFormatter:1#formatCsvText:1"
