"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=Adapter_CharReader"
"main", "5", "Adapter_CharReader.java:6", "Method Call", "caller=SYSTEM, target=Adapter_CharReader#main:1"
"main", "6", "Adapter_CharReader.java:4", "Method Entered", ""
"main", "7", "Adapter_CharReader.java:4", "Variable Write", "context=Adapter_CharReader#main:1, args=java.lang.String[0] (id=23)"
"main", "8", "Adapter_CharReader.java:6", "Line Step", "file=Adapter_CharReader.java, line=6"
"main", "9", "SYSTEM", "Type Load", "class=CharReaderAPI"
"main", "10", "SYSTEM", "Type Load", "class=MyCharReader"
"main", "11", "Adapter_CharReader.java:6", "New Object", "object=MyCharReader:1"
"main", "12", "Adapter_CharReader.java:6", "Method Call", "caller=Adapter_CharReader#main:1, target=MyCharReader:1#MyCharReader:1"
"main", "13", "Adapter_CharReader.java:35", "Method Entered", ""
"main", "14", "Adapter_CharReader.java:35", "Line Step", "file=Adapter_CharReader.java, line=35"
"main", "15", "Adapter_CharReader.java:35", "Method Exit", "returner=MyCharReader:1#MyCharReader:1, value=<void>"
"main", "16", "Adapter_CharReader.java:6", "Method Returned", ""
"main", "17", "Adapter_CharReader.java:6", "Line Step", "file=Adapter_CharReader.java, line=6"
"main", "18", "Adapter_CharReader.java:6", "New Object", "object=CharReaderAPI:1"
"main", "19", "Adapter_CharReader.java:6", "Method Call", "caller=Adapter_CharReader#main:1, target=CharReaderAPI:1#CharReaderAPI:1"
"main", "20", "Adapter_CharReader.java:23", "Method Entered", ""
"main", "21", "Adapter_CharReader.java:23", "Variable Write", "context=CharReaderAPI:1#CharReaderAPI:1, reader=MyCharReader:1"
"main", "22", "Adapter_CharReader.java:23", "Line Step", "file=Adapter_CharReader.java, line=23"
"main", "23", "Adapter_CharReader.java:25", "Line Step", "file=Adapter_CharReader.java, line=25"
"main", "24", "Adapter_CharReader.java:25", "Field Write", "context=CharReaderAPI:1, reader=MyCharReader:1"
"main", "25", "Adapter_CharReader.java:26", "Line Step", "file=Adapter_CharReader.java, line=26"
"main", "26", "Adapter_CharReader.java:26", "Method Exit", "returner=CharReaderAPI:1#CharReaderAPI:1, value=<void>"
"main", "27", "Adapter_CharReader.java:6", "Method Returned", ""
"main", "28", "Adapter_CharReader.java:6", "Line Step", "file=Adapter_CharReader.java, line=6"
"main", "29", "Adapter_CharReader.java:6", "Variable Write", "context=Adapter_CharReader#main:1, reader=CharReaderAPI:1"
"main", "30", "Adapter_CharReader.java:7", "Line Step", "file=Adapter_CharReader.java, line=7"
"main", "31", "Adapter_CharReader.java:7", "Method Call", "caller=Adapter_CharReader#main:1, target=CharReaderAPI:1#readAllChars:1"
"main", "32", "Adapter_CharReader.java:28", "Method Entered", ""
"main", "33", "Adapter_CharReader.java:28", "Variable Write", "context=CharReaderAPI:1#readAllChars:1, name=""rohit"""
"main", "34", "Adapter_CharReader.java:30", "Line Step", "file=Adapter_CharReader.java, line=30"
"main", "35", "Adapter_CharReader.java:30", "Field Read", "context=CharReaderAPI:1, reader"
"main", "36", "Adapter_CharReader.java:30", "Method Call", "caller=CharReaderAPI:1#readAllChars:1, target=MyCharReader:1#printAllCharacters:1"
"main", "37", "Adapter_CharReader.java:38", "Method Entered", ""
"main", "38", "Adapter_CharReader.java:38", "Variable Write", "context=MyCharReader:1#printAllCharacters:1, arr=""rohit"""
"main", "39", "Adapter_CharReader.java:40", "Line Step", "file=Adapter_CharReader.java, line=40"
"main", "40", "Adapter_CharReader.java:40", "Variable Write", "context=MyCharReader:1#printAllCharacters:1, i=0"
"main", "41", "Adapter_CharReader.java:42", "Line Step", "file=Adapter_CharReader.java, line=42"
"main", "42", "Adapter_CharReader.java:40", "Line Step", "file=Adapter_CharReader.java, line=40"
"main", "43", "Adapter_CharReader.java:40", "Variable Write", "context=MyCharReader:1#printAllCharacters:1, i=1"
"main", "44", "Adapter_CharReader.java:42", "Line Step", "file=Adapter_CharReader.java, line=42"
"main", "45", "Adapter_CharReader.java:40", "Line Step", "file=Adapter_CharReader.java, line=40"
"main", "46", "Adapter_CharReader.java:40", "Variable Write", "context=MyCharReader:1#printAllCharacters:1, i=2"
"main", "47", "Adapter_CharReader.java:42", "Line Step", "file=Adapter_CharReader.java, line=42"
"main", "48", "Adapter_CharReader.java:40", "Line Step", "file=Adapter_CharReader.java, line=40"
"main", "49", "Adapter_CharReader.java:40", "Variable Write", "context=MyCharReader:1#printAllCharacters:1, i=3"
"main", "50", "Adapter_CharReader.java:42", "Line Step", "file=Adapter_CharReader.java, line=42"
"main", "51", "Adapter_CharReader.java:40", "Line Step", "file=Adapter_CharReader.java, line=40"
"main", "52", "Adapter_CharReader.java:40", "Variable Write", "context=MyCharReader:1#printAllCharacters:1, i=4"
"main", "53", "Adapter_CharReader.java:42", "Line Step", "file=Adapter_CharReader.java, line=42"
"main", "54", "Adapter_CharReader.java:40", "Line Step", "file=Adapter_CharReader.java, line=40"
"main", "55", "Adapter_CharReader.java:44", "Line Step", "file=Adapter_CharReader.java, line=44"
"main", "56", "Adapter_CharReader.java:44", "Variable Delete", "method=MyCharReader:1#printAllCharacters:1 <name=i,type=int (id=7),value=<?>,index=1>"
"main", "57", "Adapter_CharReader.java:44", "Method Exit", "returner=MyCharReader:1#printAllCharacters:1, value=<void>"
"main", "58", "Adapter_CharReader.java:30", "Method Returned", ""
"main", "59", "Adapter_CharReader.java:31", "Line Step", "file=Adapter_CharReader.java, line=31"
"main", "60", "Adapter_CharReader.java:31", "Method Exit", "returner=CharReaderAPI:1#readAllChars:1, value=<void>"
"main", "61", "Adapter_CharReader.java:7", "Method Returned", ""
"main", "62", "Adapter_CharReader.java:9", "Line Step", "file=Adapter_CharReader.java, line=9"
"main", "63", "SYSTEM", "Type Load", "class=ThirdPartyCharReader"
"main", "64", "Adapter_CharReader.java:9", "New Object", "object=ThirdPartyCharReader:1"
"main", "65", "Adapter_CharReader.java:9", "Method Call", "caller=Adapter_CharReader#main:1, target=ThirdPartyCharReader:1#ThirdPartyCharReader:1"
"main", "66", "Adapter_CharReader.java:71", "Method Entered", ""
"main", "67", "Adapter_CharReader.java:71", "Line Step", "file=Adapter_CharReader.java, line=71"
