"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=BirdDemo"
"main", "5", "BirdDemo.java:46", "Method Call", "caller=SYSTEM, target=BirdDemo#main:1"
"main", "6", "BirdDemo.java:45", "Method Entered", ""
"main", "7", "BirdDemo.java:45", "Variable Write", "context=BirdDemo#main:1, args=java.lang.String[0] (id=23)"
"main", "8", "BirdDemo.java:46", "Line Step", "file=BirdDemo.java, line=46"
"main", "9", "SYSTEM", "Type Load", "class=Sparrow"
"main", "10", "BirdDemo.java:46", "New Object", "object=Sparrow:1"
"main", "11", "BirdDemo.java:46", "Method Call", "caller=BirdDemo#main:1, target=Sparrow:1#Sparrow:1"
"main", "12", "BirdDemo.java:28", "Method Entered", ""
"main", "13", "BirdDemo.java:28", "Line Step", "file=BirdDemo.java, line=28"
"main", "14", "BirdDemo.java:28", "Method Exit", "returner=Sparrow:1#Sparrow:1, value=<void>"
"main", "15", "BirdDemo.java:46", "Method Returned", ""
"main", "16", "BirdDemo.java:46", "Line Step", "file=BirdDemo.java, line=46"
"main", "17", "BirdDemo.java:46", "Variable Write", "context=BirdDemo#main:1, sparrow=Sparrow:1"
"main", "18", "BirdDemo.java:47", "Line Step", "file=BirdDemo.java, line=47"
"main", "19", "SYSTEM", "Type Load", "class=PlasticToyDuck"
"main", "20", "BirdDemo.java:47", "New Object", "object=PlasticToyDuck:1"
"main", "21", "BirdDemo.java:47", "Method Call", "caller=BirdDemo#main:1, target=PlasticToyDuck:1#PlasticToyDuck:1"
"main", "22", "BirdDemo.java:21", "Method Entered", ""
"main", "23", "BirdDemo.java:21", "Line Step", "file=BirdDemo.java, line=21"
"main", "24", "BirdDemo.java:21", "Method Exit", "returner=PlasticToyDuck:1#PlasticToyDuck:1, value=<void>"
"main", "25", "BirdDemo.java:47", "Method Returned", ""
"main", "26", "BirdDemo.java:47", "Line Step", "file=BirdDemo.java, line=47"
"main", "27", "BirdDemo.java:47", "Variable Write", "context=BirdDemo#main:1, toyDuck=PlasticToyDuck:1"
"main", "28", "BirdDemo.java:50", "Line Step", "file=BirdDemo.java, line=50"
"main", "29", "SYSTEM", "Type Load", "class=BirdAdapter"
"main", "30", "BirdDemo.java:50", "New Object", "object=BirdAdapter:1"
"main", "31", "BirdDemo.java:50", "Method Call", "caller=BirdDemo#main:1, target=BirdAdapter:1#BirdAdapter:1"
"main", "32", "BirdDemo.java:11", "Method Entered", ""
"main", "33", "BirdDemo.java:11", "Variable Write", "context=BirdAdapter:1#BirdAdapter:1, bird=Sparrow:1"
"main", "34", "BirdDemo.java:11", "Line Step", "file=BirdDemo.java, line=11"
"main", "35", "BirdDemo.java:12", "Line Step", "file=BirdDemo.java, line=12"
"main", "36", "BirdDemo.java:12", "Field Write", "context=BirdAdapter:1, bird=Sparrow:1"
"main", "37", "BirdDemo.java:13", "Line Step", "file=BirdDemo.java, line=13"
"main", "38", "BirdDemo.java:13", "Method Exit", "returner=BirdAdapter:1#BirdAdapter:1, value=<void>"
"main", "39", "BirdDemo.java:50", "Method Returned", ""
"main", "40", "BirdDemo.java:50", "Line Step", "file=BirdDemo.java, line=50"
"main", "41", "BirdDemo.java:50", "Variable Write", "context=BirdDemo#main:1, birdAdapter=BirdAdapter:1"
"main", "42", "BirdDemo.java:52", "Line Step", "file=BirdDemo.java, line=52"
"main", "43", "BirdDemo.java:53", "Line Step", "file=BirdDemo.java, line=53"
"main", "44", "BirdDemo.java:53", "Method Call", "caller=BirdDemo#main:1, target=Sparrow:1#fly:1"
"main", "45", "BirdDemo.java:30", "Method Entered", ""
"main", "46", "BirdDemo.java:31", "Line Step", "file=BirdDemo.java, line=31"
"main", "47", "BirdDemo.java:32", "Line Step", "file=BirdDemo.java, line=32"
"main", "48", "BirdDemo.java:32", "Method Exit", "returner=Sparrow:1#fly:1, value=<void>"
"main", "49", "BirdDemo.java:53", "Method Returned", ""
"main", "50", "BirdDemo.java:54", "Line Step", "file=BirdDemo.java, line=54"
"main", "51", "BirdDemo.java:54", "Method Call", "caller=BirdDemo#main:1, target=Sparrow:1#makeSound:1"
"main", "52", "BirdDemo.java:33", "Method Entered", ""
"main", "53", "BirdDemo.java:34", "Line Step", "file=BirdDemo.java, line=34"
"main", "54", "BirdDemo.java:35", "Line Step", "file=BirdDemo.java, line=35"
"main", "55", "BirdDemo.java:35", "Method Exit", "returner=Sparrow:1#makeSound:1, value=<void>"
"main", "56", "BirdDemo.java:54", "Method Returned", ""
"main", "57", "BirdDemo.java:56", "Line Step", "file=BirdDemo.java, line=56"
"main", "58", "BirdDemo.java:57", "Line Step", "file=BirdDemo.java, line=57"
"main", "59", "BirdDemo.java:57", "Method Call", "caller=BirdDemo#main:1, target=PlasticToyDuck:1#squeak:1"
"main", "60", "BirdDemo.java:23", "Method Entered", ""
"main", "61", "BirdDemo.java:24", "Line Step", "file=BirdDemo.java, line=24"
"main", "62", "BirdDemo.java:25", "Line Step", "file=BirdDemo.java, line=25"
"main", "63", "BirdDemo.java:25", "Method Exit", "returner=PlasticToyDuck:1#squeak:1, value=<void>"
"main", "64", "BirdDemo.java:57", "Method Returned", ""
"main", "65", "BirdDemo.java:59", "Line Step", "file=BirdDemo.java, line=59"
"main", "66", "BirdDemo.java:60", "Line Step", "file=BirdDemo.java, line=60"
"main", "67", "BirdDemo.java:60", "Method Call", "caller=BirdDemo#main:1, target=BirdAdapter:1#squeak:1"
"main", "68", "BirdDemo.java:16", "Method Entered", ""
"main", "69", "BirdDemo.java:17", "Line Step", "file=BirdDemo.java, line=17"
"main", "70", "BirdDemo.java:17", "Field Read", "context=BirdAdapter:1, bird"
"main", "71", "BirdDemo.java:17", "Method Call", "caller=BirdAdapter:1#squeak:1, target=Sparrow:1#makeSound:2"
"main", "72", "BirdDemo.java:33", "Method Entered", ""
"main", "73", "BirdDemo.java:34", "Line Step", "file=BirdDemo.java, line=34"
"main", "74", "BirdDemo.java:35", "Line Step", "file=BirdDemo.java, line=35"
"main", "75", "BirdDemo.java:35", "Method Exit", "returner=Sparrow:1#makeSound:2, value=<void>"
"main", "76", "BirdDemo.java:17", "Method Returned", ""
"main", "77", "BirdDemo.java:18", "Line Step", "file=BirdDemo.java, line=18"
