"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=Boat_Captain"
"main", "5", "Boat_Captain.java:9", "Method Call", "caller=SYSTEM, target=Boat_Captain#main:1"
"main", "6", "Boat_Captain.java:8", "Method Entered", ""
"main", "7", "Boat_Captain.java:8", "Variable Write", "context=Boat_Captain#main:1, args=java.lang.String[0] (id=23)"
"main", "8", "Boat_Captain.java:9", "Line Step", "file=Boat_Captain.java, line=9"
"main", "9", "SYSTEM", "Type Load", "class=Captain"
"main", "10", "SYSTEM", "Type Load", "class=BattleFishingBoat"
"main", "11", "Boat_Captain.java:9", "New Object", "object=BattleFishingBoat:1"
"main", "12", "Boat_Captain.java:9", "Method Call", "caller=Boat_Captain#main:1, target=BattleFishingBoat:1#BattleFishingBoat:1"
"main", "13", "Boat_Captain.java:20", "Method Entered", ""
"main", "14", "Boat_Captain.java:20", "Line Step", "file=Boat_Captain.java, line=20"
"main", "15", "Boat_Captain.java:21", "Line Step", "file=Boat_Captain.java, line=21"
"main", "16", "SYSTEM", "Type Load", "class=FishingBoat"
"main", "17", "Boat_Captain.java:21", "New Object", "object=FishingBoat:1"
"main", "18", "Boat_Captain.java:21", "Method Call", "caller=BattleFishingBoat:1#BattleFishingBoat:1, target=FishingBoat:1#FishingBoat:1"
"main", "19", "Boat_Captain.java:45", "Method Entered", ""
"main", "20", "Boat_Captain.java:45", "Line Step", "file=Boat_Captain.java, line=45"
"main", "21", "Boat_Captain.java:45", "Method Exit", "returner=FishingBoat:1#FishingBoat:1, value=<void>"
"main", "22", "Boat_Captain.java:21", "Method Returned", ""
"main", "23", "Boat_Captain.java:21", "Line Step", "file=Boat_Captain.java, line=21"
"main", "24", "Boat_Captain.java:21", "Field Write", "context=BattleFishingBoat:1, boat=FishingBoat:1"
"main", "25", "Boat_Captain.java:22", "Line Step", "file=Boat_Captain.java, line=22"
"main", "26", "Boat_Captain.java:22", "Method Exit", "returner=BattleFishingBoat:1#BattleFishingBoat:1, value=<void>"
"main", "27", "Boat_Captain.java:9", "Method Returned", ""
"main", "28", "Boat_Captain.java:9", "Line Step", "file=Boat_Captain.java, line=9"
"main", "29", "Boat_Captain.java:9", "New Object", "object=Captain:1"
"main", "30", "Boat_Captain.java:9", "Method Call", "caller=Boat_Captain#main:1, target=Captain:1#Captain:1"
"main", "31", "Boat_Captain.java:66", "Method Entered", ""
"main", "32", "Boat_Captain.java:66", "Variable Write", "context=Captain:1#Captain:1, battleship=BattleFishingBoat:1"
"main", "33", "Boat_Captain.java:66", "Line Step", "file=Boat_Captain.java, line=66"
"main", "34", "Boat_Captain.java:67", "Line Step", "file=Boat_Captain.java, line=67"
"main", "35", "Boat_Captain.java:67", "Field Write", "context=Captain:1, battleship=BattleFishingBoat:1"
"main", "36", "Boat_Captain.java:68", "Line Step", "file=Boat_Captain.java, line=68"
"main", "37", "Boat_Captain.java:68", "Method Exit", "returner=Captain:1#Captain:1, value=<void>"
"main", "38", "Boat_Captain.java:9", "Method Returned", ""
"main", "39", "Boat_Captain.java:9", "Line Step", "file=Boat_Captain.java, line=9"
"main", "40", "Boat_Captain.java:9", "Variable Write", "context=Boat_Captain#main:1, captain=Captain:1"
"main", "41", "Boat_Captain.java:10", "Line Step", "file=Boat_Captain.java, line=10"
"main", "42", "Boat_Captain.java:10", "Method Call", "caller=Boat_Captain#main:1, target=Captain:1#move:1"
"main", "43", "Boat_Captain.java:80", "Method Entered", ""
"main", "44", "Boat_Captain.java:81", "Line Step", "file=Boat_Captain.java, line=81"
"main", "45", "Boat_Captain.java:81", "Field Read", "context=Captain:1, battleship"
"main", "46", "Boat_Captain.java:81", "Method Call", "caller=Captain:1#move:1, target=BattleFishingBoat:1#move:1"
"main", "47", "Boat_Captain.java:30", "Method Entered", ""
"main", "48", "Boat_Captain.java:31", "Line Step", "file=Boat_Captain.java, line=31"
"main", "49", "Boat_Captain.java:31", "Field Read", "context=BattleFishingBoat:1, boat"
"main", "50", "Boat_Captain.java:31", "Method Call", "caller=BattleFishingBoat:1#move:1, target=FishingBoat:1#sail:1"
"main", "51", "Boat_Captain.java:47", "Method Entered", ""
"main", "52", "Boat_Captain.java:48", "Line Step", "file=Boat_Captain.java, line=48"
"main", "53", "Boat_Captain.java:49", "Line Step", "file=Boat_Captain.java, line=49"
"main", "54", "Boat_Captain.java:49", "Method Exit", "returner=FishingBoat:1#sail:1, value=<void>"
"main", "55", "Boat_Captain.java:31", "Method Returned", ""
"main", "56", "Boat_Captain.java:32", "Line Step", "file=Boat_Captain.java, line=32"
"main", "57", "Boat_Captain.java:32", "Method Exit", "returner=BattleFishingBoat:1#move:1, value=<void>"
"main", "58", "Boat_Captain.java:81", "Method Returned", ""
"main", "59", "Boat_Captain.java:82", "Line Step", "file=Boat_Captain.java, line=82"
"main", "60", "Boat_Captain.java:82", "Method Exit", "returner=Captain:1#move:1, value=<void>"
"main", "61", "Boat_Captain.java:10", "Method Returned", ""
"main", "62", "Boat_Captain.java:11", "Line Step", "file=Boat_Captain.java, line=11"
"main", "63", "Boat_Captain.java:11", "Method Call", "caller=Boat_Captain#main:1, target=Captain:1#fire:1"
"main", "64", "Boat_Captain.java:75", "Method Entered", ""
"main", "65", "Boat_Captain.java:76", "Line Step", "file=Boat_Captain.java, line=76"
"main", "66", "Boat_Captain.java:76", "Field Read", "context=Captain:1, battleship"
"main", "67", "Boat_Captain.java:76", "Method Call", "caller=Captain:1#fire:1, target=BattleFishingBoat:1#fire:1"
"main", "68", "Boat_Captain.java:25", "Method Entered", ""
"main", "69", "Boat_Captain.java:26", "Line Step", "file=Boat_Captain.java, line=26"
"main", "70", "Boat_Captain.java:27", "Line Step", "file=Boat_Captain.java, line=27"
"main", "71", "Boat_Captain.java:27", "Method Exit", "returner=BattleFishingBoat:1#fire:1, value=<void>"
"main", "72", "Boat_Captain.java:76", "Method Returned", ""
"main", "73", "Boat_Captain.java:77", "Line Step", "file=Boat_Captain.java, line=77"
"main", "74", "Boat_Captain.java:77", "Method Exit", "returner=Captain:1#fire:1, value=<void>"
"main", "75", "Boat_Captain.java:11", "Method Returned", ""
"main", "76", "Boat_Captain.java:12", "Line Step", "file=Boat_Captain.java, line=12"
