"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=Weapon_Enhance"
"main", "5", "Weapon_Enhance.java:12", "Method Call", "caller=SYSTEM, target=Weapon_Enhance#<clinit>:1"
"main", "6", "Weapon_Enhance.java:10", "Method Entered", ""
"main", "7", "Weapon_Enhance.java:12", "Line Step", "file=Weapon_Enhance.java, line=12"
"main", "8", "SYSTEM", "Type Load", "class=org.slf4j.LoggerFactory"
"main", "9", "Weapon_Enhance.java:12", "Method Call", "caller=Weapon_Enhance#<clinit>:1, target=org.slf4j.LoggerFactory#<clinit>:1"
"main", "10", "SYSTEM", "Method Entered", ""
"main", "11", "SYSTEM", "Field Write", "context=org.slf4j.LoggerFactory, INITIALIZATION_STATE=0"
"main", "12", "SYSTEM", "Type Load", "class=org.slf4j.helpers.SubstituteLoggerFactory"
"main", "13", "SYSTEM", "New Object", "object=org.slf4j.helpers.SubstituteLoggerFactory:1"
"main", "14", "SYSTEM", "Method Call", "caller=org.slf4j.LoggerFactory#<clinit>:1, target=org.slf4j.helpers.SubstituteLoggerFactory:1#SubstituteLoggerFactory:1"
"main", "15", "SYSTEM", "Method Entered", ""
"main", "16", "SYSTEM", "Field Write", "context=org.slf4j.helpers.SubstituteLoggerFactory:1, loggerNameList=java.util.ArrayList (id=37)"
"main", "17", "SYSTEM", "Method Exit", "returner=org.slf4j.helpers.SubstituteLoggerFactory:1#SubstituteLoggerFactory:1, value=<void>"
"main", "18", "SYSTEM", "Field Write", "context=org.slf4j.LoggerFactory, TEMP_FACTORY=org.slf4j.helpers.SubstituteLoggerFactory:1"
"main", "19", "SYSTEM", "Type Load", "class=org.slf4j.helpers.NOPLoggerFactory"
"main", "20", "SYSTEM", "Method Returned", ""
"main", "21", "SYSTEM", "New Object", "object=org.slf4j.helpers.NOPLoggerFactory:1"
"main", "22", "SYSTEM", "Method Call", "caller=org.slf4j.LoggerFactory#<clinit>:1, target=org.slf4j.helpers.NOPLoggerFactory:1#NOPLoggerFactory:1"
"main", "23", "SYSTEM", "Method Entered", ""
"main", "24", "SYSTEM", "Method Exit", "returner=org.slf4j.helpers.NOPLoggerFactory:1#NOPLoggerFactory:1, value=<void>"
"main", "25", "SYSTEM", "Field Write", "context=org.slf4j.LoggerFactory, NOP_FALLBACK_FACTORY=org.slf4j.helpers.NOPLoggerFactory:1"
"main", "26", "SYSTEM", "Field Write", "context=org.slf4j.LoggerFactory, API_COMPATIBILITY_LIST=java.lang.String[1] (id=43)"
"main", "27", "SYSTEM", "Field Write", "context=org.slf4j.LoggerFactory, STATIC_LOGGER_BINDER_PATH=""org/slf4j/impl/StaticLoggerBinder.class"""
"main", "28", "SYSTEM", "Method Returned", ""
"main", "29", "SYSTEM", "Method Exit", "returner=org.slf4j.LoggerFactory#<clinit>:1, value=<void>"
"main", "30", "Weapon_Enhance.java:12", "Method Returned", ""
"main", "31", "Weapon_Enhance.java:12", "Method Call", "caller=Weapon_Enhance#<clinit>:1, target=org.slf4j.LoggerFactory#getLogger:1"
"main", "32", "SYSTEM", "Method Entered", ""
"main", "33", "SYSTEM", "Variable Write", "context=org.slf4j.LoggerFactory#getLogger:1, clazz=java.lang.Class (id=22)"
"main", "34", "SYSTEM", "Line Step", "<source unavailable>"
"main", "35", "SYSTEM", "Method Call", "caller=org.slf4j.LoggerFactory#getLogger:1, target=org.slf4j.LoggerFactory#getLogger:1"
"main", "36", "SYSTEM", "Method Entered", ""
"main", "37", "SYSTEM", "Variable Write", "context=org.slf4j.LoggerFactory#getLogger:1, name=""Weapon_Enhance"""
"main", "38", "SYSTEM", "Line Step", "<source unavailable>"
"main", "39", "SYSTEM", "Method Call", "caller=org.slf4j.LoggerFactory#getLogger:1, target=org.slf4j.LoggerFactory#getILoggerFactory:1"
"main", "40", "SYSTEM", "Method Entered", ""
"main", "41", "SYSTEM", "Line Step", "<source unavailable>"
"main", "42", "SYSTEM", "Field Read", "context=org.slf4j.LoggerFactory, INITIALIZATION_STATE"
"main", "43", "SYSTEM", "Line Step", "<source unavailable>"
"main", "44", "SYSTEM", "Field Write", "context=org.slf4j.LoggerFactory, INITIALIZATION_STATE=1"
"main", "45", "SYSTEM", "Line Step", "<source unavailable>"
"main", "46", "SYSTEM", "Method Call", "caller=org.slf4j.LoggerFactory#getILoggerFactory:1, target=org.slf4j.LoggerFactory#performInitialization:1"
"main", "47", "SYSTEM", "Method Entered", ""
"main", "48", "SYSTEM", "Line Step", "<source unavailable>"
"main", "49", "SYSTEM", "Method Call", "caller=org.slf4j.LoggerFactory#performInitialization:1, target=org.slf4j.LoggerFactory#singleImplementationSanityCheck:1"
"main", "50", "SYSTEM", "Method Entered", ""
"main", "51", "SYSTEM", "Line Step", "<source unavailable>"
"main", "52", "SYSTEM", "Method Call", "caller=org.slf4j.LoggerFactory#singleImplementationSanityCheck:1, target=Lorg/slf4j/LoggerFactory;.class$(Ljava/lang/String;) <SYNTHETIC>"
"main", "53", "SYSTEM", "Method Exit", "returner=Lorg/slf4j/LoggerFactory;.class$(Ljava/lang/String;) <SYNTHETIC>, value=<void>"
"main", "54", "SYSTEM", "Method Returned", ""
"main", "55", "SYSTEM", "Line Step", "<source unavailable>"
"main", "56", "SYSTEM", "Variable Write", "context=org.slf4j.LoggerFactory#singleImplementationSanityCheck:1, loggerFactoryClassLoader=sun.misc.Launcher$AppClassLoader (id=26)"
"main", "57", "SYSTEM", "Line Step", "<source unavailable>"
"main", "58", "SYSTEM", "Line Step", "<source unavailable>"
"main", "59", "SYSTEM", "Field Read", "context=org.slf4j.LoggerFactory, STATIC_LOGGER_BINDER_PATH"
"main", "60", "SYSTEM", "Variable Write", "context=org.slf4j.LoggerFactory#singleImplementationSanityCheck:1, paths=sun.misc.CompoundEnumeration (id=55)"
"main", "61", "SYSTEM", "Line Step", "<source unavailable>"
"main", "62", "SYSTEM", "Variable Write", "context=org.slf4j.LoggerFactory#singleImplementationSanityCheck:1, implementationList=java.util.ArrayList (id=57)"
"main", "63", "SYSTEM", "Line Step", "<source unavailable>"
"main", "64", "SYSTEM", "Line Step", "<source unavailable>"
"main", "65", "SYSTEM", "Variable Write", "context=org.slf4j.LoggerFactory#singleImplementationSanityCheck:1, path=java.net.URL (id=73)"
"main", "66", "SYSTEM", "Line Step", "<source unavailable>"
"main", "67", "SYSTEM", "Variable Delete", "method=org.slf4j.LoggerFactory#singleImplementationSanityCheck:1 <name=path,type=java.net.URL (id=243),value=<?>,index=1>"
"main", "68", "SYSTEM", "Line Step", "<source unavailable>"
"main", "69", "SYSTEM", "Line Step", "<source unavailable>"
"main", "70", "SYSTEM", "Line Step", "<source unavailable>"
"main", "71", "SYSTEM", "Variable Delete", "method=org.slf4j.LoggerFactory#singleImplementationSanityCheck:1 <name=loggerFactoryClassLoader,type=java.lang.ClassLoader (id=246),value=<?>,index=3>"
"main", "72", "SYSTEM", "Variable Delete", "method=org.slf4j.LoggerFactory#singleImplementationSanityCheck:1 <name=paths,type=java.util.Enumeration (id=241),value=<?>,index=4>"
"main", "73", "SYSTEM", "Variable Delete", "method=org.slf4j.LoggerFactory#singleImplementationSanityCheck:1 <name=implementationList,type=java.util.List (id=216),value=<?>,index=5>"
"main", "74", "SYSTEM", "Line Step", "<source unavailable>"
"main", "75", "SYSTEM", "Line Step", "<source unavailable>"
"main", "76", "SYSTEM", "Method Exit", "returner=org.slf4j.LoggerFactory#singleImplementationSanityCheck:1, value=<void>"
"main", "77", "SYSTEM", "Method Returned", ""
"main", "78", "SYSTEM", "Line Step", "<source unavailable>"
"main", "79", "SYSTEM", "Method Call", "caller=org.slf4j.LoggerFactory#performInitialization:1, target=org.slf4j.LoggerFactory#bind:1"
"main", "80", "SYSTEM", "Method Entered", ""
"main", "81", "SYSTEM", "Line Step", "<source unavailable>"
"main", "82", "SYSTEM", "Type Load", "class=org.slf4j.impl.StaticLoggerBinder"
"main", "83", "SYSTEM", "Method Call", "caller=org.slf4j.LoggerFactory#bind:1, target=org.slf4j.impl.StaticLoggerBinder#<clinit>:1"
"main", "84", "SYSTEM", "Method Entered", ""
"main", "85", "SYSTEM", "New Object", "object=org.slf4j.impl.StaticLoggerBinder:1"
"main", "86", "SYSTEM", "Method Call", "caller=org.slf4j.impl.StaticLoggerBinder#<clinit>:1, target=org.slf4j.impl.StaticLoggerBinder:1#StaticLoggerBinder:1"
"main", "87", "SYSTEM", "Method Entered", ""
"main", "88", "SYSTEM", "Type Load", "class=org.slf4j.impl.SimpleLoggerFactory"
"main", "89", "SYSTEM", "Method Call", "caller=org.slf4j.impl.StaticLoggerBinder:1#StaticLoggerBinder:1, target=org.slf4j.impl.SimpleLoggerFactory#<clinit>:1"
"main", "90", "SYSTEM", "Method Entered", ""
"main", "91", "SYSTEM", "New Object", "object=org.slf4j.impl.SimpleLoggerFactory:1"
