"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=BuilderClient"
"main", "5", "BuilderClient.java:5", "Method Call", "caller=SYSTEM, target=BuilderClient#main:1"
"main", "6", "BuilderClient.java:3", "Method Entered", ""
"main", "7", "BuilderClient.java:3", "Variable Write", "context=BuilderClient#main:1, args=java.lang.String[0] (id=22)"
"main", "8", "BuilderClient.java:5", "Line Step", "file=BuilderClient.java, line=5"
"main", "9", "SYSTEM", "Type Load", "class=Student$StudentBuilder"
"main", "10", "BuilderClient.java:5", "New Object", "object=Student$StudentBuilder:1"
"main", "11", "BuilderClient.java:5", "Method Call", "caller=BuilderClient#main:1, target=Student$StudentBuilder:1#Student$StudentBuilder:1"
"main", "12", "Student.java:45", "Method Entered", ""
"main", "13", "Student.java:45", "Variable Write", "context=Student$StudentBuilder:1#Student$StudentBuilder:1, firstName=""Pra"""
"main", "14", "Student.java:45", "Variable Write", "context=Student$StudentBuilder:1#Student$StudentBuilder:1, lastName=""Bhu"""
"main", "15", "Student.java:45", "Line Step", "file=Student.java, line=45"
"main", "16", "Student.java:46", "Line Step", "file=Student.java, line=46"
"main", "17", "Student.java:46", "Field Write", "context=Student$StudentBuilder:1, firstName=""Pra"""
"main", "18", "Student.java:47", "Line Step", "file=Student.java, line=47"
"main", "19", "Student.java:47", "Field Write", "context=Student$StudentBuilder:1, lastName=""Bhu"""
"main", "20", "Student.java:48", "Line Step", "file=Student.java, line=48"
"main", "21", "Student.java:48", "Method Exit", "returner=Student$StudentBuilder:1#Student$StudentBuilder:1, value=<void>"
"main", "22", "BuilderClient.java:5", "Method Returned", ""
"main", "23", "BuilderClient.java:6", "Line Step", "file=BuilderClient.java, line=6"
"main", "24", "BuilderClient.java:6", "Method Call", "caller=BuilderClient#main:1, target=Student$StudentBuilder:1#addAge:1"
"main", "25", "Student.java:50", "Method Entered", ""
"main", "26", "Student.java:50", "Variable Write", "context=Student$StudentBuilder:1#addAge:1, age=""25"""
"main", "27", "Student.java:51", "Line Step", "file=Student.java, line=51"
"main", "28", "Student.java:51", "Field Write", "context=Student$StudentBuilder:1, age=""25"""
"main", "29", "Student.java:52", "Line Step", "file=Student.java, line=52"
"main", "30", "Student.java:52", "Variable Write", "context=Student$StudentBuilder:1#addAge:1, result=Student$StudentBuilder:1"
"main", "31", "Student.java:52", "Method Exit", "returner=Student$StudentBuilder:1#addAge:1, value=Student$StudentBuilder:1"
"main", "32", "BuilderClient.java:6", "Method Returned", ""
"main", "33", "BuilderClient.java:7", "Line Step", "file=BuilderClient.java, line=7"
"main", "34", "BuilderClient.java:7", "Method Call", "caller=BuilderClient#main:1, target=Student$StudentBuilder:1#addGender:1"
"main", "35", "Student.java:55", "Method Entered", ""
"main", "36", "Student.java:55", "Variable Write", "context=Student$StudentBuilder:1#addGender:1, gender=""M"""
"main", "37", "Student.java:56", "Line Step", "file=Student.java, line=56"
"main", "38", "Student.java:56", "Field Write", "context=Student$StudentBuilder:1, gender=""M"""
"main", "39", "Student.java:57", "Line Step", "file=Student.java, line=57"
"main", "40", "Student.java:57", "Variable Write", "context=Student$StudentBuilder:1#addGender:1, result=Student$StudentBuilder:1"
"main", "41", "Student.java:57", "Method Exit", "returner=Student$StudentBuilder:1#addGender:1, value=Student$StudentBuilder:1"
"main", "42", "BuilderClient.java:7", "Method Returned", ""
"main", "43", "BuilderClient.java:8", "Line Step", "file=BuilderClient.java, line=8"
"main", "44", "BuilderClient.java:8", "Method Call", "caller=BuilderClient#main:1, target=Student$StudentBuilder:1#addHasExperience:1"
"main", "45", "Student.java:65", "Method Entered", ""
"main", "46", "Student.java:65", "Variable Write", "context=Student$StudentBuilder:1#addHasExperience:1, hasExperience=true"
"main", "47", "Student.java:66", "Line Step", "file=Student.java, line=66"
"main", "48", "Student.java:66", "Field Write", "context=Student$StudentBuilder:1, hasExperience=true"
"main", "49", "Student.java:67", "Line Step", "file=Student.java, line=67"
"main", "50", "Student.java:67", "Variable Write", "context=Student$StudentBuilder:1#addHasExperience:1, result=Student$StudentBuilder:1"
"main", "51", "Student.java:67", "Method Exit", "returner=Student$StudentBuilder:1#addHasExperience:1, value=Student$StudentBuilder:1"
"main", "52", "BuilderClient.java:8", "Method Returned", ""
"main", "53", "BuilderClient.java:9", "Line Step", "file=BuilderClient.java, line=9"
"main", "54", "BuilderClient.java:9", "Method Call", "caller=BuilderClient#main:1, target=Student$StudentBuilder:1#build:1"
"main", "55", "Student.java:85", "Method Entered", ""
"main", "56", "Student.java:86", "Line Step", "file=Student.java, line=86"
"main", "57", "SYSTEM", "Type Load", "class=Student"
"main", "58", "Student.java:86", "Method Call", "caller=Student$StudentBuilder:1#build:1, target=LStudent;.Student(LStudent$StudentBuilder;LStudent;) <SYNTHETIC>"
"main", "59", "Student.java:14", "New Object", "object=Student:1"
"main", "60", "Student.java:14", "Method Call", "caller=LStudent;.Student(LStudent$StudentBuilder;LStudent;) <SYNTHETIC>, target=Student:1#Student:1"
"main", "61", "Student.java:14", "Method Entered", ""
"main", "62", "Student.java:14", "Variable Write", "context=Student:1#Student:1, builder=Student$StudentBuilder:1"
"main", "63", "Student.java:14", "Line Step", "file=Student.java, line=14"
"main", "64", "Student.java:15", "Line Step", "file=Student.java, line=15"
"main", "65", "Student.java:15", "Method Call", "caller=Student:1#Student:1, target=LStudent$StudentBuilder;.access$0(LStudent$StudentBuilder;) <SYNTHETIC>"
"main", "66", "Student.java:15", "Method Exit", "returner=LStudent$StudentBuilder;.access$0(LStudent$StudentBuilder;) <SYNTHETIC>, value=<void>"
"main", "67", "Student.java:15", "Method Returned", ""
"main", "68", "Student.java:15", "Line Step", "file=Student.java, line=15"
"main", "69", "Student.java:15", "Field Write", "context=Student:1, firstName=""Pra"""
"main", "70", "Student.java:16", "Line Step", "file=Student.java, line=16"
"main", "71", "Student.java:16", "Method Call", "caller=Student:1#Student:1, target=LStudent$StudentBuilder;.access$1(LStudent$StudentBuilder;) <SYNTHETIC>"
"main", "72", "Student.java:16", "Method Exit", "returner=LStudent$StudentBuilder;.access$1(LStudent$StudentBuilder;) <SYNTHETIC>, value=<void>"
"main", "73", "Student.java:16", "Method Returned", ""
"main", "74", "Student.java:16", "Line Step", "file=Student.java, line=16"
