"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=BuilderPatternPerson"
"main", "5", "BuilderPatternPerson.java:82", "Method Call", "caller=SYSTEM, target=BuilderPatternPerson#main:1"
"main", "6", "BuilderPatternPerson.java:80", "Method Entered", ""
"main", "7", "BuilderPatternPerson.java:80", "Variable Write", "context=BuilderPatternPerson#main:1, args=java.lang.String[0] (id=22)"
"main", "8", "BuilderPatternPerson.java:82", "Line Step", "file=BuilderPatternPerson.java, line=82"
"main", "9", "SYSTEM", "Type Load", "class=Person$PersonBuilder"
"main", "10", "BuilderPatternPerson.java:82", "New Object", "object=Person$PersonBuilder:1"
"main", "11", "BuilderPatternPerson.java:82", "Method Call", "caller=BuilderPatternPerson#main:1, target=Person$PersonBuilder:1#Person$PersonBuilder:1"
"main", "12", "BuilderPatternPerson.java:49", "Method Entered", ""
"main", "13", "BuilderPatternPerson.java:49", "Variable Write", "context=Person$PersonBuilder:1#Person$PersonBuilder:1, lastName=""Alley"""
"main", "14", "BuilderPatternPerson.java:49", "Variable Write", "context=Person$PersonBuilder:1#Person$PersonBuilder:1, firstName=""John"""
"main", "15", "BuilderPatternPerson.java:49", "Line Step", "file=BuilderPatternPerson.java, line=49"
"main", "16", "BuilderPatternPerson.java:51", "Line Step", "file=BuilderPatternPerson.java, line=51"
"main", "17", "BuilderPatternPerson.java:51", "Field Write", "context=Person$PersonBuilder:1, firstName=""John"""
"main", "18", "BuilderPatternPerson.java:52", "Line Step", "file=BuilderPatternPerson.java, line=52"
"main", "19", "BuilderPatternPerson.java:52", "Field Write", "context=Person$PersonBuilder:1, lastName=""Alley"""
"main", "20", "BuilderPatternPerson.java:53", "Line Step", "file=BuilderPatternPerson.java, line=53"
"main", "21", "BuilderPatternPerson.java:53", "Method Exit", "returner=Person$PersonBuilder:1#Person$PersonBuilder:1, value=<void>"
"main", "22", "BuilderPatternPerson.java:82", "Method Returned", ""
"main", "23", "BuilderPatternPerson.java:82", "Line Step", "file=BuilderPatternPerson.java, line=82"
"main", "24", "BuilderPatternPerson.java:82", "Method Call", "caller=BuilderPatternPerson#main:1, target=Person$PersonBuilder:1#age:1"
"main", "25", "BuilderPatternPerson.java:54", "Method Entered", ""
"main", "26", "BuilderPatternPerson.java:54", "Variable Write", "context=Person$PersonBuilder:1#age:1, age=25"
"main", "27", "BuilderPatternPerson.java:56", "Line Step", "file=BuilderPatternPerson.java, line=56"
"main", "28", "BuilderPatternPerson.java:56", "Field Write", "context=Person$PersonBuilder:1, age=25"
"main", "29", "BuilderPatternPerson.java:57", "Line Step", "file=BuilderPatternPerson.java, line=57"
"main", "30", "BuilderPatternPerson.java:57", "Variable Write", "context=Person$PersonBuilder:1#age:1, result=Person$PersonBuilder:1"
"main", "31", "BuilderPatternPerson.java:57", "Method Exit", "returner=Person$PersonBuilder:1#age:1, value=Person$PersonBuilder:1"
"main", "32", "BuilderPatternPerson.java:82", "Method Returned", ""
"main", "33", "BuilderPatternPerson.java:82", "Line Step", "file=BuilderPatternPerson.java, line=82"
"main", "34", "BuilderPatternPerson.java:82", "Method Call", "caller=BuilderPatternPerson#main:1, target=Person$PersonBuilder:1#phone:1"
"main", "35", "BuilderPatternPerson.java:59", "Method Entered", ""
"main", "36", "BuilderPatternPerson.java:59", "Variable Write", "context=Person$PersonBuilder:1#phone:1, phone=""123001"""
"main", "37", "BuilderPatternPerson.java:61", "Line Step", "file=BuilderPatternPerson.java, line=61"
"main", "38", "BuilderPatternPerson.java:61", "Field Write", "context=Person$PersonBuilder:1, phone=""123001"""
"main", "39", "BuilderPatternPerson.java:62", "Line Step", "file=BuilderPatternPerson.java, line=62"
"main", "40", "BuilderPatternPerson.java:62", "Variable Write", "context=Person$PersonBuilder:1#phone:1, result=Person$PersonBuilder:1"
"main", "41", "BuilderPatternPerson.java:62", "Method Exit", "returner=Person$PersonBuilder:1#phone:1, value=Person$PersonBuilder:1"
"main", "42", "BuilderPatternPerson.java:82", "Method Returned", ""
"main", "43", "BuilderPatternPerson.java:82", "Line Step", "file=BuilderPatternPerson.java, line=82"
"main", "44", "BuilderPatternPerson.java:82", "Method Call", "caller=BuilderPatternPerson#main:1, target=Person$PersonBuilder:1#address:1"
"main", "45", "BuilderPatternPerson.java:64", "Method Entered", ""
"main", "46", "BuilderPatternPerson.java:64", "Variable Write", "context=Person$PersonBuilder:1#address:1, address=""CHD"""
"main", "47", "BuilderPatternPerson.java:66", "Line Step", "file=BuilderPatternPerson.java, line=66"
"main", "48", "BuilderPatternPerson.java:66", "Field Write", "context=Person$PersonBuilder:1, address=""CHD"""
"main", "49", "BuilderPatternPerson.java:67", "Line Step", "file=BuilderPatternPerson.java, line=67"
"main", "50", "BuilderPatternPerson.java:67", "Variable Write", "context=Person$PersonBuilder:1#address:1, result=Person$PersonBuilder:1"
"main", "51", "BuilderPatternPerson.java:67", "Method Exit", "returner=Person$PersonBuilder:1#address:1, value=Person$PersonBuilder:1"
"main", "52", "BuilderPatternPerson.java:82", "Method Returned", ""
"main", "53", "BuilderPatternPerson.java:82", "Line Step", "file=BuilderPatternPerson.java, line=82"
"main", "54", "BuilderPatternPerson.java:82", "Method Call", "caller=BuilderPatternPerson#main:1, target=Person$PersonBuilder:1#build:1"
"main", "55", "BuilderPatternPerson.java:71", "Method Entered", ""
"main", "56", "BuilderPatternPerson.java:73", "Line Step", "file=BuilderPatternPerson.java, line=73"
"main", "57", "SYSTEM", "Type Load", "class=Person"
"main", "58", "BuilderPatternPerson.java:73", "Method Call", "caller=Person$PersonBuilder:1#build:1, target=LPerson;.Person(LPerson$PersonBuilder;LPerson;) <SYNTHETIC>"
"main", "59", "BuilderPatternPerson.java:10", "New Object", "object=Person:1"
"main", "60", "BuilderPatternPerson.java:10", "Method Call", "caller=LPerson;.Person(LPerson$PersonBuilder;LPerson;) <SYNTHETIC>, target=Person:1#Person:1"
"main", "61", "BuilderPatternPerson.java:10", "Method Entered", ""
"main", "62", "BuilderPatternPerson.java:10", "Variable Write", "context=Person:1#Person:1, builder=Person$PersonBuilder:1"
"main", "63", "BuilderPatternPerson.java:10", "Line Step", "file=BuilderPatternPerson.java, line=10"
"main", "64", "BuilderPatternPerson.java:12", "Line Step", "file=BuilderPatternPerson.java, line=12"
