"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=ConstructionEngineerTest"
"main", "5", "ConstructionEngineerTest.java:5", "Method Call", "caller=SYSTEM, target=ConstructionEngineerTest#main:1"
"main", "6", "ConstructionEngineerTest.java:4", "Method Entered", ""
"main", "7", "ConstructionEngineerTest.java:4", "Variable Write", "context=ConstructionEngineerTest#main:1, args=java.lang.String[0] (id=23)"
"main", "8", "ConstructionEngineerTest.java:5", "Line Step", "file=ConstructionEngineerTest.java, line=5"
"main", "9", "SYSTEM", "Type Load", "class=ConcreteHouseBuilder"
"main", "10", "ConstructionEngineerTest.java:5", "New Object", "object=ConcreteHouseBuilder:1"
"main", "11", "ConstructionEngineerTest.java:5", "Method Call", "caller=ConstructionEngineerTest#main:1, target=ConcreteHouseBuilder:1#ConcreteHouseBuilder:1"
"main", "12", "ConcreteHouseBuilder.java:3", "Method Entered", ""
"main", "13", "ConcreteHouseBuilder.java:3", "Line Step", "file=ConcreteHouseBuilder.java, line=3"
"main", "14", "ConcreteHouseBuilder.java:4", "Line Step", "file=ConcreteHouseBuilder.java, line=4"
"main", "15", "SYSTEM", "Type Load", "class=House"
"main", "16", "ConcreteHouseBuilder.java:4", "New Object", "object=House:1"
"main", "17", "ConcreteHouseBuilder.java:4", "Method Call", "caller=ConcreteHouseBuilder:1#ConcreteHouseBuilder:1, target=House:1#House:1"
"main", "18", "House.java:2", "Method Entered", ""
"main", "19", "House.java:2", "Line Step", "file=House.java, line=2"
"main", "20", "House.java:2", "Method Exit", "returner=House:1#House:1, value=<void>"
"main", "21", "ConcreteHouseBuilder.java:4", "Method Returned", ""
"main", "22", "ConcreteHouseBuilder.java:4", "Line Step", "file=ConcreteHouseBuilder.java, line=4"
"main", "23", "ConcreteHouseBuilder.java:4", "Field Write", "context=ConcreteHouseBuilder:1, house=House:1"
"main", "24", "ConcreteHouseBuilder.java:5", "Line Step", "file=ConcreteHouseBuilder.java, line=5"
"main", "25", "ConcreteHouseBuilder.java:5", "Method Exit", "returner=ConcreteHouseBuilder:1#ConcreteHouseBuilder:1, value=<void>"
"main", "26", "ConstructionEngineerTest.java:5", "Method Returned", ""
"main", "27", "ConstructionEngineerTest.java:5", "Line Step", "file=ConstructionEngineerTest.java, line=5"
"main", "28", "ConstructionEngineerTest.java:5", "Variable Write", "context=ConstructionEngineerTest#main:1, concreteHouseBuilder=ConcreteHouseBuilder:1"
"main", "29", "ConstructionEngineerTest.java:6", "Line Step", "file=ConstructionEngineerTest.java, line=6"
"main", "30", "SYSTEM", "Type Load", "class=ConstructionEngineer"
"main", "31", "ConstructionEngineerTest.java:6", "New Object", "object=ConstructionEngineer:1"
"main", "32", "ConstructionEngineerTest.java:6", "Method Call", "caller=ConstructionEngineerTest#main:1, target=ConstructionEngineer:1#ConstructionEngineer:1"
"main", "33", "ConstructionEngineer.java:4", "Method Entered", ""
"main", "34", "ConstructionEngineer.java:4", "Variable Write", "context=ConstructionEngineer:1#ConstructionEngineer:1, houseBuilder=ConcreteHouseBuilder:1"
"main", "35", "ConstructionEngineer.java:4", "Line Step", "file=ConstructionEngineer.java, line=4"
"main", "36", "ConstructionEngineer.java:5", "Line Step", "file=ConstructionEngineer.java, line=5"
"main", "37", "ConstructionEngineer.java:5", "Field Write", "context=ConstructionEngineer:1, houseBuilder=ConcreteHouseBuilder:1"
"main", "38", "ConstructionEngineer.java:6", "Line Step", "file=ConstructionEngineer.java, line=6"
"main", "39", "ConstructionEngineer.java:6", "Method Exit", "returner=ConstructionEngineer:1#ConstructionEngineer:1, value=<void>"
"main", "40", "ConstructionEngineerTest.java:6", "Method Returned", ""
"main", "41", "ConstructionEngineerTest.java:6", "Line Step", "file=ConstructionEngineerTest.java, line=6"
"main", "42", "ConstructionEngineerTest.java:6", "Variable Write", "context=ConstructionEngineerTest#main:1, engineerA=ConstructionEngineer:1"
"main", "43", "ConstructionEngineerTest.java:7", "Line Step", "file=ConstructionEngineerTest.java, line=7"
"main", "44", "ConstructionEngineerTest.java:7", "Method Call", "caller=ConstructionEngineerTest#main:1, target=ConstructionEngineer:1#constructHouse:1"
"main", "45", "ConstructionEngineer.java:7", "Method Entered", ""
"main", "46", "ConstructionEngineer.java:8", "Line Step", "file=ConstructionEngineer.java, line=8"
"main", "47", "ConstructionEngineer.java:8", "Field Read", "context=ConstructionEngineer:1, houseBuilder"
"main", "48", "ConstructionEngineer.java:8", "Method Call", "caller=ConstructionEngineer:1#constructHouse:1, target=ConcreteHouseBuilder:1#buildFoundation:1"
"main", "49", "ConcreteHouseBuilder.java:7", "Method Entered", ""
"main", "50", "ConcreteHouseBuilder.java:8", "Line Step", "file=ConcreteHouseBuilder.java, line=8"
"main", "51", "ConcreteHouseBuilder.java:8", "Field Read", "context=ConcreteHouseBuilder:1, house"
"main", "52", "ConcreteHouseBuilder.java:8", "Method Call", "caller=ConcreteHouseBuilder:1#buildFoundation:1, target=House:1#setFoundation:1"
"main", "53", "House.java:8", "Method Entered", ""
"main", "54", "House.java:8", "Variable Write", "context=House:1#setFoundation:1, foundation=""Concrete, brick, and stone"""
"main", "55", "House.java:9", "Line Step", "file=House.java, line=9"
"main", "56", "House.java:9", "Field Write", "context=House:1, foundation=""Concrete, brick, and stone"""
"main", "57", "House.java:10", "Line Step", "file=House.java, line=10"
"main", "58", "House.java:10", "Method Exit", "returner=House:1#setFoundation:1, value=<void>"
"main", "59", "ConcreteHouseBuilder.java:8", "Method Returned", ""
"main", "60", "ConcreteHouseBuilder.java:9", "Line Step", "file=ConcreteHouseBuilder.java, line=9"
"main", "61", "ConcreteHouseBuilder.java:10", "Line Step", "file=ConcreteHouseBuilder.java, line=10"
"main", "62", "ConcreteHouseBuilder.java:10", "Method Exit", "returner=ConcreteHouseBuilder:1#buildFoundation:1, value=<void>"
"main", "63", "ConstructionEngineer.java:8", "Method Returned", ""
"main", "64", "ConstructionEngineer.java:9", "Line Step", "file=ConstructionEngineer.java, line=9"
"main", "65", "ConstructionEngineer.java:9", "Field Read", "context=ConstructionEngineer:1, houseBuilder"
"main", "66", "ConstructionEngineer.java:9", "Method Call", "caller=ConstructionEngineer:1#constructHouse:1, target=ConcreteHouseBuilder:1#buildStructure:1"
