x,m,y,n,y,n,z,p,x,m,z,r,z,p,w,y,z
ConstructionEngineerTest,main,ConstructionEngineer:1,constructHouse,ConstructionEngineer:1,constructHouse,ConcreteHouseBuilder:1,buildFoundation,ConstructionEngineerTest,main,ConcreteHouseBuilder:1,ConcreteHouseBuilder,ConcreteHouseBuilder:1,getHouse,House:1,ConstructionEngineer:1,ConcreteHouseBuilder:1
ConstructionEngineerTest,main,ConstructionEngineer:1,constructHouse,ConstructionEngineer:1,constructHouse,ConcreteHouseBuilder:1,buildRoof,ConstructionEngineerTest,main,ConcreteHouseBuilder:1,ConcreteHouseBuilder,ConcreteHouseBuilder:1,getHouse,House:1,ConstructionEngineer:1,ConcreteHouseBuilder:1
ConstructionEngineerTest,main,ConstructionEngineer:1,constructHouse,ConstructionEngineer:1,constructHouse,ConcreteHouseBuilder:1,buildStructure,ConstructionEngineerTest,main,ConcreteHouseBuilder:1,ConcreteHouseBuilder,ConcreteHouseBuilder:1,getHouse,House:1,ConstructionEngineer:1,ConcreteHouseBuilder:1
ConstructionEngineerTest,main,ConstructionEngineer:1,constructHouse,ConstructionEngineer:1,constructHouse,ConcreteHouseBuilder:1,furnishHouse,ConstructionEngineerTest,main,ConcreteHouseBuilder:1,ConcreteHouseBuilder,ConcreteHouseBuilder:1,getHouse,House:1,ConstructionEngineer:1,ConcreteHouseBuilder:1
ConstructionEngineerTest,main,ConstructionEngineer:1,constructHouse,ConstructionEngineer:1,constructHouse,ConcreteHouseBuilder:1,getHouse,ConstructionEngineerTest,main,ConcreteHouseBuilder:1,ConcreteHouseBuilder,ConcreteHouseBuilder:1,getHouse,House:1,ConstructionEngineer:1,ConcreteHouseBuilder:1
ConstructionEngineerTest,main,ConstructionEngineer:1,constructHouse,ConstructionEngineer:1,constructHouse,ConcreteHouseBuilder:1,paintHouse,ConstructionEngineerTest,main,ConcreteHouseBuilder:1,ConcreteHouseBuilder,ConcreteHouseBuilder:1,getHouse,House:1,ConstructionEngineer:1,ConcreteHouseBuilder:1
ConstructionEngineerTest,main,ConstructionEngineer:2,constructHouse,ConstructionEngineer:2,constructHouse,PrefabricatedHouseBuilder:1,buildFoundation,ConstructionEngineerTest,main,PrefabricatedHouseBuilder:1,PrefabricatedHouseBuilder,PrefabricatedHouseBuilder:1,getHouse,House:2,ConstructionEngineer:2,PrefabricatedHouseBuilder:1
ConstructionEngineerTest,main,ConstructionEngineer:2,constructHouse,ConstructionEngineer:2,constructHouse,PrefabricatedHouseBuilder:1,buildRoof,ConstructionEngineerTest,main,PrefabricatedHouseBuilder:1,PrefabricatedHouseBuilder,PrefabricatedHouseBuilder:1,getHouse,House:2,ConstructionEngineer:2,PrefabricatedHouseBuilder:1
ConstructionEngineerTest,main,ConstructionEngineer:2,constructHouse,ConstructionEngineer:2,constructHouse,PrefabricatedHouseBuilder:1,buildStructure,ConstructionEngineerTest,main,PrefabricatedHouseBuilder:1,PrefabricatedHouseBuilder,PrefabricatedHouseBuilder:1,getHouse,House:2,ConstructionEngineer:2,PrefabricatedHouseBuilder:1
ConstructionEngineerTest,main,ConstructionEngineer:2,constructHouse,ConstructionEngineer:2,constructHouse,PrefabricatedHouseBuilder:1,furnishHouse,ConstructionEngineerTest,main,PrefabricatedHouseBuilder:1,PrefabricatedHouseBuilder,PrefabricatedHouseBuilder:1,getHouse,House:2,ConstructionEngineer:2,PrefabricatedHouseBuilder:1
ConstructionEngineerTest,main,ConstructionEngineer:2,constructHouse,ConstructionEngineer:2,constructHouse,PrefabricatedHouseBuilder:1,getHouse,ConstructionEngineerTest,main,PrefabricatedHouseBuilder:1,PrefabricatedHouseBuilder,PrefabricatedHouseBuilder:1,getHouse,House:2,ConstructionEngineer:2,PrefabricatedHouseBuilder:1
ConstructionEngineerTest,main,ConstructionEngineer:2,constructHouse,ConstructionEngineer:2,constructHouse,PrefabricatedHouseBuilder:1,paintHouse,ConstructionEngineerTest,main,PrefabricatedHouseBuilder:1,PrefabricatedHouseBuilder,PrefabricatedHouseBuilder:1,getHouse,House:2,ConstructionEngineer:2,PrefabricatedHouseBuilder:1
