x,m,y,n,z,p,r,w,z
ConstructionEngineerTest,main,ConstructionEngineer:1,constructHouse,ConcreteHouseBuilder:1,buildFoundation,ConcreteHouseBuilder,House:1,ConcreteHouseBuilder:1
ConstructionEngineerTest,main,ConstructionEngineer:1,constructHouse,ConcreteHouseBuilder:1,buildRoof,ConcreteHouseBuilder,House:1,ConcreteHouseBuilder:1
ConstructionEngineerTest,main,ConstructionEngineer:1,constructHouse,ConcreteHouseBuilder:1,buildStructure,ConcreteHouseBuilder,House:1,ConcreteHouseBuilder:1
ConstructionEngineerTest,main,ConstructionEngineer:1,constructHouse,ConcreteHouseBuilder:1,furnishHouse,ConcreteHouseBuilder,House:1,ConcreteHouseBuilder:1
ConstructionEngineerTest,main,ConstructionEngineer:1,constructHouse,ConcreteHouseBuilder:1,getHouse,ConcreteHouseBuilder,House:1,ConcreteHouseBuilder:1
ConstructionEngineerTest,main,ConstructionEngineer:1,constructHouse,ConcreteHouseBuilder:1,paintHouse,ConcreteHouseBuilder,House:1,ConcreteHouseBuilder:1
ConstructionEngineerTest,main,ConstructionEngineer:2,constructHouse,PrefabricatedHouseBuilder:1,buildFoundation,PrefabricatedHouseBuilder,House:2,PrefabricatedHouseBuilder:1
ConstructionEngineerTest,main,ConstructionEngineer:2,constructHouse,PrefabricatedHouseBuilder:1,buildRoof,PrefabricatedHouseBuilder,House:2,PrefabricatedHouseBuilder:1
ConstructionEngineerTest,main,ConstructionEngineer:2,constructHouse,PrefabricatedHouseBuilder:1,buildStructure,PrefabricatedHouseBuilder,House:2,PrefabricatedHouseBuilder:1
ConstructionEngineerTest,main,ConstructionEngineer:2,constructHouse,PrefabricatedHouseBuilder:1,furnishHouse,PrefabricatedHouseBuilder,House:2,PrefabricatedHouseBuilder:1
ConstructionEngineerTest,main,ConstructionEngineer:2,constructHouse,PrefabricatedHouseBuilder:1,getHouse,PrefabricatedHouseBuilder,House:2,PrefabricatedHouseBuilder:1
ConstructionEngineerTest,main,ConstructionEngineer:2,constructHouse,PrefabricatedHouseBuilder:1,paintHouse,PrefabricatedHouseBuilder,House:2,PrefabricatedHouseBuilder:1
