"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=ChainOfResponsibilityClient"
"main", "5", "ChainOfResponsibilityClient.java:3", "Method Call", "caller=SYSTEM, target=ChainOfResponsibilityClient#main:1"
"main", "6", "ChainOfResponsibilityClient.java:2", "Method Entered", ""
"main", "7", "ChainOfResponsibilityClient.java:2", "Variable Write", "context=ChainOfResponsibilityClient#main:1, args=java.lang.String[0] (id=21)"
"main", "8", "ChainOfResponsibilityClient.java:3", "Line Step", "file=ChainOfResponsibilityClient.java, line=3"
"main", "9", "SYSTEM", "Type Load", "class=RequestorClient"
"main", "10", "ChainOfResponsibilityClient.java:3", "Method Call", "caller=ChainOfResponsibilityClient#main:1, target=RequestorClient#doChaining:1"
"main", "11", "RequestorClient.java:4", "Method Entered", ""
"main", "12", "RequestorClient.java:5", "Line Step", "file=RequestorClient.java, line=5"
"main", "13", "SYSTEM", "Type Load", "class=Logger"
"main", "14", "SYSTEM", "Type Load", "class=ConsoleBasedLogger"
"main", "15", "RequestorClient.java:5", "Method Call", "caller=RequestorClient#doChaining:1, target=Logger#<clinit>:1"
"main", "16", "Logger.java:1", "Method Entered", ""
"main", "17", "Logger.java:2", "Line Step", "file=Logger.java, line=2"
"main", "18", "Logger.java:2", "Field Write", "context=Logger, OUTPUTINFO=1"
"main", "19", "Logger.java:3", "Line Step", "file=Logger.java, line=3"
"main", "20", "Logger.java:3", "Field Write", "context=Logger, ERRORINFO=2"
"main", "21", "Logger.java:4", "Line Step", "file=Logger.java, line=4"
"main", "22", "Logger.java:4", "Field Write", "context=Logger, DEBUGINFO=3"
"main", "23", "Logger.java:4", "Method Exit", "returner=Logger#<clinit>:1, value=<void>"
"main", "24", "RequestorClient.java:5", "Method Returned", ""
"main", "25", "RequestorClient.java:5", "Line Step", "file=RequestorClient.java, line=5"
"main", "26", "RequestorClient.java:5", "Field Read", "context=Logger, OUTPUTINFO"
"main", "27", "RequestorClient.java:5", "New Object", "object=ConsoleBasedLogger:1"
"main", "28", "RequestorClient.java:5", "Method Call", "caller=RequestorClient#doChaining:1, target=ConsoleBasedLogger:1#ConsoleBasedLogger:1"
"main", "29", "ConsoleBasedLogger.java:4", "Method Entered", ""
"main", "30", "ConsoleBasedLogger.java:4", "Variable Write", "context=ConsoleBasedLogger:1#ConsoleBasedLogger:1, levels=1"
"main", "31", "ConsoleBasedLogger.java:4", "Line Step", "file=ConsoleBasedLogger.java, line=4"
"main", "32", "ConsoleBasedLogger.java:4", "Method Call", "caller=ConsoleBasedLogger:1#ConsoleBasedLogger:1, target=Logger:1#Logger:1"
"main", "33", "Logger.java:1", "Method Entered", ""
"main", "34", "Logger.java:1", "Line Step", "file=Logger.java, line=1"
"main", "35", "Logger.java:1", "Method Exit", "returner=Logger:1#Logger:1, value=<void>"
"main", "36", "ConsoleBasedLogger.java:4", "Method Returned", ""
"main", "37", "ConsoleBasedLogger.java:5", "Line Step", "file=ConsoleBasedLogger.java, line=5"
"main", "38", "ConsoleBasedLogger.java:5", "Field Write", "context=Logger:1, levels=1"
"main", "39", "ConsoleBasedLogger.java:6", "Line Step", "file=ConsoleBasedLogger.java, line=6"
"main", "40", "ConsoleBasedLogger.java:6", "Method Exit", "returner=ConsoleBasedLogger:1#ConsoleBasedLogger:1, value=<void>"
"main", "41", "RequestorClient.java:5", "Method Returned", ""
"main", "42", "RequestorClient.java:5", "Line Step", "file=RequestorClient.java, line=5"
"main", "43", "RequestorClient.java:5", "Variable Write", "context=RequestorClient#doChaining:1, consoleLogger=ConsoleBasedLogger:1"
"main", "44", "RequestorClient.java:7", "Line Step", "file=RequestorClient.java, line=7"
"main", "45", "SYSTEM", "Type Load", "class=ErrorBasedLogger"
"main", "46", "RequestorClient.java:7", "Field Read", "context=Logger, ERRORINFO"
"main", "47", "RequestorClient.java:7", "New Object", "object=ErrorBasedLogger:1"
"main", "48", "RequestorClient.java:7", "Method Call", "caller=RequestorClient#doChaining:1, target=ErrorBasedLogger:1#ErrorBasedLogger:1"
"main", "49", "ErrorBasedLogger.java:3", "Method Entered", ""
"main", "50", "ErrorBasedLogger.java:3", "Variable Write", "context=ErrorBasedLogger:1#ErrorBasedLogger:1, levels=2"
"main", "51", "ErrorBasedLogger.java:3", "Line Step", "file=ErrorBasedLogger.java, line=3"
"main", "52", "ErrorBasedLogger.java:3", "Method Call", "caller=ErrorBasedLogger:1#ErrorBasedLogger:1, target=Logger:2#Logger:2"
"main", "53", "Logger.java:1", "Method Entered", ""
"main", "54", "Logger.java:1", "Line Step", "file=Logger.java, line=1"
"main", "55", "Logger.java:1", "Method Exit", "returner=Logger:2#Logger:2, value=<void>"
"main", "56", "ErrorBasedLogger.java:3", "Method Returned", ""
"main", "57", "ErrorBasedLogger.java:4", "Line Step", "file=ErrorBasedLogger.java, line=4"
"main", "58", "ErrorBasedLogger.java:4", "Field Write", "context=Logger:2, levels=2"
"main", "59", "ErrorBasedLogger.java:5", "Line Step", "file=ErrorBasedLogger.java, line=5"
"main", "60", "ErrorBasedLogger.java:5", "Method Exit", "returner=ErrorBasedLogger:1#ErrorBasedLogger:1, value=<void>"
"main", "61", "RequestorClient.java:7", "Method Returned", ""
"main", "62", "RequestorClient.java:7", "Line Step", "file=RequestorClient.java, line=7"
"main", "63", "RequestorClient.java:7", "Variable Write", "context=RequestorClient#doChaining:1, errorLogger=ErrorBasedLogger:1"
"main", "64", "RequestorClient.java:8", "Line Step", "file=RequestorClient.java, line=8"
"main", "65", "RequestorClient.java:8", "Method Call", "caller=RequestorClient#doChaining:1, target=Logger:1#setNextLevelLogger:1"
"main", "66", "Logger.java:7", "Method Entered", ""
"main", "67", "Logger.java:7", "Variable Write", "context=Logger:1#setNextLevelLogger:1, nextLevelLogger=ErrorBasedLogger:1"
"main", "68", "Logger.java:8", "Line Step", "file=Logger.java, line=8"
"main", "69", "Logger.java:8", "Field Write", "context=Logger:1, nextLevelLogger=ErrorBasedLogger:1"
"main", "70", "Logger.java:9", "Line Step", "file=Logger.java, line=9"
"main", "71", "Logger.java:9", "Method Exit", "returner=Logger:1#setNextLevelLogger:1, value=<void>"
"main", "72", "RequestorClient.java:8", "Method Returned", ""
"main", "73", "RequestorClient.java:10", "Line Step", "file=RequestorClient.java, line=10"
