"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=Action_Client"
"main", "5", "Action_Client.java:6", "Method Call", "caller=SYSTEM, target=Action_Client#main:1"
"main", "6", "Action_Client.java:5", "Method Entered", ""
"main", "7", "Action_Client.java:5", "Variable Write", "context=Action_Client#main:1, args=java.lang.String[0] (id=23)"
"main", "8", "Action_Client.java:6", "Line Step", "file=Action_Client.java, line=6"
"main", "9", "SYSTEM", "Type Load", "class=Document"
"main", "10", "Action_Client.java:6", "New Object", "object=Document:1"
"main", "11", "Action_Client.java:6", "Method Call", "caller=Action_Client#main:1, target=Document:1#Document:1"
"main", "12", "Action_Client.java:52", "Method Entered", ""
"main", "13", "Action_Client.java:52", "Line Step", "file=Action_Client.java, line=52"
"main", "14", "Action_Client.java:52", "Method Exit", "returner=Document:1#Document:1, value=<void>"
"main", "15", "Action_Client.java:6", "Method Returned", ""
"main", "16", "Action_Client.java:6", "Line Step", "file=Action_Client.java, line=6"
"main", "17", "Action_Client.java:6", "Variable Write", "context=Action_Client#main:1, doc=Document:1"
"main", "18", "Action_Client.java:8", "Line Step", "file=Action_Client.java, line=8"
"main", "19", "SYSTEM", "Type Load", "class=ActionOpen"
"main", "20", "Action_Client.java:8", "New Object", "object=ActionOpen:1"
"main", "21", "Action_Client.java:8", "Method Call", "caller=Action_Client#main:1, target=ActionOpen:1#ActionOpen:1"
"main", "22", "Action_Client.java:30", "Method Entered", ""
"main", "23", "Action_Client.java:30", "Variable Write", "context=ActionOpen:1#ActionOpen:1, doc=Document:1"
"main", "24", "Action_Client.java:30", "Line Step", "file=Action_Client.java, line=30"
"main", "25", "Action_Client.java:31", "Line Step", "file=Action_Client.java, line=31"
"main", "26", "Action_Client.java:31", "Field Write", "context=ActionOpen:1, doc=Document:1"
"main", "27", "Action_Client.java:32", "Line Step", "file=Action_Client.java, line=32"
"main", "28", "Action_Client.java:32", "Method Exit", "returner=ActionOpen:1#ActionOpen:1, value=<void>"
"main", "29", "Action_Client.java:8", "Method Returned", ""
"main", "30", "Action_Client.java:8", "Line Step", "file=Action_Client.java, line=8"
"main", "31", "Action_Client.java:8", "Variable Write", "context=Action_Client#main:1, clickOpen=ActionOpen:1"
"main", "32", "Action_Client.java:9", "Line Step", "file=Action_Client.java, line=9"
"main", "33", "SYSTEM", "Type Load", "class=ActionSave"
"main", "34", "Action_Client.java:9", "New Object", "object=ActionSave:1"
"main", "35", "Action_Client.java:9", "Method Call", "caller=Action_Client#main:1, target=ActionSave:1#ActionSave:1"
"main", "36", "Action_Client.java:43", "Method Entered", ""
"main", "37", "Action_Client.java:43", "Variable Write", "context=ActionSave:1#ActionSave:1, doc=Document:1"
"main", "38", "Action_Client.java:43", "Line Step", "file=Action_Client.java, line=43"
"main", "39", "Action_Client.java:44", "Line Step", "file=Action_Client.java, line=44"
"main", "40", "Action_Client.java:44", "Field Write", "context=ActionSave:1, doc=Document:1"
"main", "41", "Action_Client.java:45", "Line Step", "file=Action_Client.java, line=45"
"main", "42", "Action_Client.java:45", "Method Exit", "returner=ActionSave:1#ActionSave:1, value=<void>"
"main", "43", "Action_Client.java:9", "Method Returned", ""
"main", "44", "Action_Client.java:9", "Line Step", "file=Action_Client.java, line=9"
"main", "45", "Action_Client.java:9", "Variable Write", "context=Action_Client#main:1, clickSave=ActionSave:1"
"main", "46", "Action_Client.java:11", "Line Step", "file=Action_Client.java, line=11"
"main", "47", "SYSTEM", "Type Load", "class=MenuOptions"
"main", "48", "Action_Client.java:11", "New Object", "object=MenuOptions:1"
"main", "49", "Action_Client.java:11", "Method Call", "caller=Action_Client#main:1, target=MenuOptions:1#MenuOptions:1"
"main", "50", "Action_Client.java:68", "Method Entered", ""
"main", "51", "Action_Client.java:68", "Variable Write", "context=MenuOptions:1#MenuOptions:1, open=ActionOpen:1"
"main", "52", "Action_Client.java:68", "Variable Write", "context=MenuOptions:1#MenuOptions:1, save=ActionSave:1"
"main", "53", "Action_Client.java:68", "Line Step", "file=Action_Client.java, line=68"
"main", "54", "Action_Client.java:69", "Line Step", "file=Action_Client.java, line=69"
"main", "55", "Action_Client.java:69", "Field Write", "context=MenuOptions:1, openCommand=ActionOpen:1"
"main", "56", "Action_Client.java:70", "Line Step", "file=Action_Client.java, line=70"
"main", "57", "Action_Client.java:70", "Field Write", "context=MenuOptions:1, saveCommand=ActionSave:1"
"main", "58", "Action_Client.java:71", "Line Step", "file=Action_Client.java, line=71"
"main", "59", "Action_Client.java:71", "Method Exit", "returner=MenuOptions:1#MenuOptions:1, value=<void>"
"main", "60", "Action_Client.java:11", "Method Returned", ""
"main", "61", "Action_Client.java:11", "Line Step", "file=Action_Client.java, line=11"
"main", "62", "Action_Client.java:11", "Variable Write", "context=Action_Client#main:1, menu=MenuOptions:1"
"main", "63", "Action_Client.java:13", "Line Step", "file=Action_Client.java, line=13"
"main", "64", "Action_Client.java:13", "Method Call", "caller=Action_Client#main:1, target=MenuOptions:1#clickOpen:1"
"main", "65", "Action_Client.java:72", "Method Entered", ""
"main", "66", "Action_Client.java:73", "Line Step", "file=Action_Client.java, line=73"
"main", "67", "Action_Client.java:73", "Field Read", "context=MenuOptions:1, openCommand"
"main", "68", "Action_Client.java:73", "Method Call", "caller=MenuOptions:1#clickOpen:1, target=ActionOpen:1#execute:1"
"main", "69", "Action_Client.java:34", "Method Entered", ""
"main", "70", "Action_Client.java:35", "Line Step", "file=Action_Client.java, line=35"
"main", "71", "Action_Client.java:35", "Field Read", "context=ActionOpen:1, doc"
"main", "72", "Action_Client.java:35", "Method Call", "caller=ActionOpen:1#execute:1, target=Document:1#open:1"
"main", "73", "Action_Client.java:55", "Method Entered", ""
"main", "74", "Action_Client.java:56", "Line Step", "file=Action_Client.java, line=56"
"main", "75", "Action_Client.java:57", "Line Step", "file=Action_Client.java, line=57"
"main", "76", "Action_Client.java:57", "Method Exit", "returner=Document:1#open:1, value=<void>"
"main", "77", "Action_Client.java:35", "Method Returned", ""
"main", "78", "Action_Client.java:36", "Line Step", "file=Action_Client.java, line=36"
"main", "79", "Action_Client.java:36", "Method Exit", "returner=ActionOpen:1#execute:1, value=<void>"
"main", "80", "Action_Client.java:73", "Method Returned", ""
"main", "81", "Action_Client.java:74", "Line Step", "file=Action_Client.java, line=74"
