"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=RemoteControlTest"
"main", "5", "RemoteControlTest.java:4", "Method Call", "caller=SYSTEM, target=RemoteControlTest#main:1"
"main", "6", "RemoteControlTest.java:3", "Method Entered", ""
"main", "7", "RemoteControlTest.java:3", "Variable Write", "context=RemoteControlTest#main:1, args=java.lang.String[0] (id=23)"
"main", "8", "RemoteControlTest.java:4", "Line Step", "file=RemoteControlTest.java, line=4"
"main", "9", "SYSTEM", "Type Load", "class=RemoteControl"
"main", "10", "RemoteControlTest.java:4", "New Object", "object=RemoteControl:1"
"main", "11", "RemoteControlTest.java:4", "Method Call", "caller=RemoteControlTest#main:1, target=RemoteControl:1#RemoteControl:1"
"main", "12", "RemoteControl.java:2", "Method Entered", ""
"main", "13", "RemoteControl.java:2", "Line Step", "file=RemoteControl.java, line=2"
"main", "14", "RemoteControl.java:2", "Method Exit", "returner=RemoteControl:1#RemoteControl:1, value=<void>"
"main", "15", "RemoteControlTest.java:4", "Method Returned", ""
"main", "16", "RemoteControlTest.java:4", "Line Step", "file=RemoteControlTest.java, line=4"
"main", "17", "RemoteControlTest.java:4", "Variable Write", "context=RemoteControlTest#main:1, remoteControl=RemoteControl:1"
"main", "18", "RemoteControlTest.java:5", "Line Step", "file=RemoteControlTest.java, line=5"
"main", "19", "RemoteControlTest.java:6", "Line Step", "file=RemoteControlTest.java, line=6"
"main", "20", "SYSTEM", "Type Load", "class=Car"
"main", "21", "RemoteControlTest.java:6", "New Object", "object=Car:1"
"main", "22", "RemoteControlTest.java:6", "Method Call", "caller=RemoteControlTest#main:1, target=Car:1#Car:1"
"main", "23", "Car.java:1", "Method Entered", ""
"main", "24", "Car.java:1", "Line Step", "file=Car.java, line=1"
"main", "25", "Car.java:1", "Method Exit", "returner=Car:1#Car:1, value=<void>"
"main", "26", "RemoteControlTest.java:6", "Method Returned", ""
"main", "27", "RemoteControlTest.java:6", "Line Step", "file=RemoteControlTest.java, line=6"
"main", "28", "RemoteControlTest.java:6", "Variable Write", "context=RemoteControlTest#main:1, car=Car:1"
"main", "29", "RemoteControlTest.java:7", "Line Step", "file=RemoteControlTest.java, line=7"
"main", "30", "SYSTEM", "Type Load", "class=CarMoveCommand"
"main", "31", "RemoteControlTest.java:7", "New Object", "object=CarMoveCommand:1"
"main", "32", "RemoteControlTest.java:7", "Method Call", "caller=RemoteControlTest#main:1, target=CarMoveCommand:1#CarMoveCommand:1"
"main", "33", "CarMoveCommand.java:3", "Method Entered", ""
"main", "34", "CarMoveCommand.java:3", "Variable Write", "context=CarMoveCommand:1#CarMoveCommand:1, car=Car:1"
"main", "35", "CarMoveCommand.java:3", "Line Step", "file=CarMoveCommand.java, line=3"
"main", "36", "CarMoveCommand.java:4", "Line Step", "file=CarMoveCommand.java, line=4"
"main", "37", "CarMoveCommand.java:4", "Field Write", "context=CarMoveCommand:1, car=Car:1"
"main", "38", "CarMoveCommand.java:5", "Line Step", "file=CarMoveCommand.java, line=5"
"main", "39", "CarMoveCommand.java:5", "Method Exit", "returner=CarMoveCommand:1#CarMoveCommand:1, value=<void>"
"main", "40", "RemoteControlTest.java:7", "Method Returned", ""
"main", "41", "RemoteControlTest.java:7", "Line Step", "file=RemoteControlTest.java, line=7"
"main", "42", "RemoteControlTest.java:7", "Variable Write", "context=RemoteControlTest#main:1, carMoveCommand=CarMoveCommand:1"
"main", "43", "RemoteControlTest.java:8", "Line Step", "file=RemoteControlTest.java, line=8"
"main", "44", "RemoteControlTest.java:8", "Method Call", "caller=RemoteControlTest#main:1, target=RemoteControl:1#onButtonPressed:1"
"main", "45", "RemoteControl.java:4", "Method Entered", ""
"main", "46", "RemoteControl.java:4", "Variable Write", "context=RemoteControl:1#onButtonPressed:1, onCommand=CarMoveCommand:1"
"main", "47", "RemoteControl.java:5", "Line Step", "file=RemoteControl.java, line=5"
"main", "48", "RemoteControl.java:5", "Field Write", "context=RemoteControl:1, onCommand=CarMoveCommand:1"
"main", "49", "RemoteControl.java:6", "Line Step", "file=RemoteControl.java, line=6"
"main", "50", "RemoteControl.java:6", "Method Call", "caller=RemoteControl:1#onButtonPressed:1, target=CarMoveCommand:1#execute:1"
"main", "51", "CarMoveCommand.java:7", "Method Entered", ""
"main", "52", "CarMoveCommand.java:8", "Line Step", "file=CarMoveCommand.java, line=8"
"main", "53", "CarMoveCommand.java:9", "Line Step", "file=CarMoveCommand.java, line=9"
"main", "54", "CarMoveCommand.java:9", "Field Read", "context=CarMoveCommand:1, car"
"main", "55", "CarMoveCommand.java:9", "Method Call", "caller=CarMoveCommand:1#execute:1, target=Car:1#move:1"
"main", "56", "Car.java:2", "Method Entered", ""
"main", "57", "Car.java:4", "Line Step", "file=Car.java, line=4"
"main", "58", "Car.java:5", "Line Step", "file=Car.java, line=5"
"main", "59", "Car.java:5", "Method Exit", "returner=Car:1#move:1, value=<void>"
"main", "60", "CarMoveCommand.java:9", "Method Returned", ""
"main", "61", "CarMoveCommand.java:10", "Line Step", "file=CarMoveCommand.java, line=10"
"main", "62", "CarMoveCommand.java:10", "Method Exit", "returner=CarMoveCommand:1#execute:1, value=<void>"
"main", "63", "RemoteControl.java:6", "Method Returned", ""
"main", "64", "RemoteControl.java:7", "Line Step", "file=RemoteControl.java, line=7"
"main", "65", "RemoteControl.java:7", "Field Write", "context=RemoteControl:1, undoCommand=CarMoveCommand:1"
"main", "66", "RemoteControl.java:8", "Line Step", "file=RemoteControl.java, line=8"
"main", "67", "RemoteControl.java:8", "Method Exit", "returner=RemoteControl:1#onButtonPressed:1, value=<void>"
"main", "68", "RemoteControlTest.java:8", "Method Returned", ""
"main", "69", "RemoteControlTest.java:9", "Line Step", "file=RemoteControlTest.java, line=9"
"main", "70", "RemoteControlTest.java:10", "Line Step", "file=RemoteControlTest.java, line=10"
"main", "71", "SYSTEM", "Type Load", "class=CarStopCommand"
"main", "72", "RemoteControlTest.java:10", "New Object", "object=CarStopCommand:1"
"main", "73", "RemoteControlTest.java:10", "Method Call", "caller=RemoteControlTest#main:1, target=CarStopCommand:1#CarStopCommand:1"
"main", "74", "CarStopCommand.java:5", "Method Entered", ""
"main", "75", "CarStopCommand.java:5", "Variable Write", "context=CarStopCommand:1#CarStopCommand:1, car=Car:1"
