"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=Company"
"main", "5", "Company.java:7", "Method Call", "caller=SYSTEM, target=Company#main:1"
"main", "6", "Company.java:5", "Method Entered", ""
"main", "7", "Company.java:5", "Variable Write", "context=Company#main:1, args=java.lang.String[0] (id=23)"
"main", "8", "Company.java:7", "Line Step", "file=Company.java, line=7"
"main", "9", "SYSTEM", "Type Load", "class=Developer"
"main", "10", "Company.java:7", "New Object", "object=Developer:1"
"main", "11", "Company.java:7", "Method Call", "caller=Company#main:1, target=Developer:1#Developer:1"
"main", "12", "Company.java:77", "Method Entered", ""
"main", "13", "Company.java:77", "Variable Write", "context=Developer:1#Developer:1, empId=100"
"main", "14", "Company.java:77", "Variable Write", "context=Developer:1#Developer:1, position=""Pro Developer"""
"main", "15", "Company.java:77", "Variable Write", "context=Developer:1#Developer:1, name=""Lokesh Sharma"""
"main", "16", "Company.java:77", "Line Step", "file=Company.java, line=77"
"main", "17", "Company.java:79", "Line Step", "file=Company.java, line=79"
"main", "18", "Company.java:79", "Field Write", "context=Developer:1, empId=100"
"main", "19", "Company.java:80", "Line Step", "file=Company.java, line=80"
"main", "20", "Company.java:80", "Field Write", "context=Developer:1, name=""Lokesh Sharma"""
"main", "21", "Company.java:81", "Line Step", "file=Company.java, line=81"
"main", "22", "Company.java:81", "Field Write", "context=Developer:1, position=""Pro Developer"""
"main", "23", "Company.java:82", "Line Step", "file=Company.java, line=82"
"main", "24", "Company.java:82", "Method Exit", "returner=Developer:1#Developer:1, value=<void>"
"main", "25", "Company.java:7", "Method Returned", ""
"main", "26", "Company.java:7", "Line Step", "file=Company.java, line=7"
"main", "27", "Company.java:7", "Variable Write", "context=Company#main:1, dev1=Developer:1"
"main", "28", "Company.java:8", "Line Step", "file=Company.java, line=8"
"main", "29", "Company.java:8", "New Object", "object=Developer:2"
"main", "30", "Company.java:8", "Method Call", "caller=Company#main:1, target=Developer:2#Developer:2"
"main", "31", "Company.java:77", "Method Entered", ""
"main", "32", "Company.java:77", "Variable Write", "context=Developer:2#Developer:2, empId=101"
"main", "33", "Company.java:77", "Variable Write", "context=Developer:2#Developer:2, position=""Developer"""
"main", "34", "Company.java:77", "Variable Write", "context=Developer:2#Developer:2, name=""Vinay Sharma"""
"main", "35", "Company.java:77", "Line Step", "file=Company.java, line=77"
"main", "36", "Company.java:79", "Line Step", "file=Company.java, line=79"
"main", "37", "Company.java:79", "Field Write", "context=Developer:2, empId=101"
"main", "38", "Company.java:80", "Line Step", "file=Company.java, line=80"
"main", "39", "Company.java:80", "Field Write", "context=Developer:2, name=""Vinay Sharma"""
"main", "40", "Company.java:81", "Line Step", "file=Company.java, line=81"
"main", "41", "Company.java:81", "Field Write", "context=Developer:2, position=""Developer"""
"main", "42", "Company.java:82", "Line Step", "file=Company.java, line=82"
"main", "43", "Company.java:82", "Method Exit", "returner=Developer:2#Developer:2, value=<void>"
"main", "44", "Company.java:8", "Method Returned", ""
"main", "45", "Company.java:8", "Line Step", "file=Company.java, line=8"
"main", "46", "Company.java:8", "Variable Write", "context=Company#main:1, dev2=Developer:2"
"main", "47", "Company.java:9", "Line Step", "file=Company.java, line=9"
"main", "48", "SYSTEM", "Type Load", "class=CompanyDirectory"
"main", "49", "Company.java:9", "New Object", "object=CompanyDirectory:1"
"main", "50", "Company.java:9", "Method Call", "caller=Company#main:1, target=CompanyDirectory:1#CompanyDirectory:1"
"main", "51", "Company.java:31", "Method Entered", ""
"main", "52", "Company.java:29", "Line Step", "file=Company.java, line=29"
"main", "53", "Company.java:31", "Line Step", "file=Company.java, line=31"
"main", "54", "Company.java:31", "Field Write", "context=CompanyDirectory:1, employeeList=java.util.ArrayList (id=38)"
"main", "55", "Company.java:29", "Line Step", "file=Company.java, line=29"
"main", "56", "Company.java:29", "Method Exit", "returner=CompanyDirectory:1#CompanyDirectory:1, value=<void>"
"main", "57", "Company.java:9", "Method Returned", ""
"main", "58", "Company.java:9", "Line Step", "file=Company.java, line=9"
"main", "59", "Company.java:9", "Variable Write", "context=Company#main:1, engDirectory=CompanyDirectory:1"
"main", "60", "Company.java:10", "Line Step", "file=Company.java, line=10"
"main", "61", "Company.java:10", "Method Call", "caller=Company#main:1, target=CompanyDirectory:1#addEmployee:1"
"main", "62", "Company.java:42", "Method Entered", ""
"main", "63", "Company.java:42", "Variable Write", "context=CompanyDirectory:1#addEmployee:1, emp=Developer:1"
"main", "64", "Company.java:44", "Line Step", "file=Company.java, line=44"
"main", "65", "Company.java:44", "Field Read", "context=CompanyDirectory:1, employeeList"
"main", "66", "Company.java:45", "Line Step", "file=Company.java, line=45"
"main", "67", "Company.java:45", "Method Exit", "returner=CompanyDirectory:1#addEmployee:1, value=<void>"
"main", "68", "Company.java:10", "Method Returned", ""
"main", "69", "Company.java:11", "Line Step", "file=Company.java, line=11"
"main", "70", "Company.java:11", "Method Call", "caller=Company#main:1, target=CompanyDirectory:1#addEmployee:2"
"main", "71", "Company.java:42", "Method Entered", ""
"main", "72", "Company.java:42", "Variable Write", "context=CompanyDirectory:1#addEmployee:2, emp=Developer:2"
"main", "73", "Company.java:44", "Line Step", "file=Company.java, line=44"
"main", "74", "Company.java:44", "Field Read", "context=CompanyDirectory:1, employeeList"
"main", "75", "Company.java:45", "Line Step", "file=Company.java, line=45"
"main", "76", "Company.java:45", "Method Exit", "returner=CompanyDirectory:1#addEmployee:2, value=<void>"
"main", "77", "Company.java:11", "Method Returned", ""
"main", "78", "Company.java:13", "Line Step", "file=Company.java, line=13"
"main", "79", "SYSTEM", "Type Load", "class=Manager"
"main", "80", "Company.java:13", "New Object", "object=Manager:1"
"main", "81", "Company.java:13", "Method Call", "caller=Company#main:1, target=Manager:1#Manager:1"
"main", "82", "Company.java:58", "Method Entered", ""
"main", "83", "Company.java:58", "Variable Write", "context=Manager:1#Manager:1, empId=200"
"main", "84", "Company.java:58", "Variable Write", "context=Manager:1#Manager:1, position=""SEO Manager"""
"main", "85", "Company.java:58", "Variable Write", "context=Manager:1#Manager:1, name=""Kushagra Garg"""
"main", "86", "Company.java:58", "Line Step", "file=Company.java, line=58"
"main", "87", "Company.java:60", "Line Step", "file=Company.java, line=60"
"main", "88", "Company.java:60", "Field Write", "context=Manager:1, empId=200"
