"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=Composite_Catalog"
"main", "5", "Composite_Catalog.java:6", "Method Call", "caller=SYSTEM, target=Composite_Catalog#main:1"
"main", "6", "Composite_Catalog.java:4", "Method Entered", ""
"main", "7", "Composite_Catalog.java:4", "Variable Write", "context=Composite_Catalog#main:1, args=java.lang.String[0] (id=25)"
"main", "8", "Composite_Catalog.java:6", "Line Step", "file=Composite_Catalog.java, line=6"
"main", "9", "SYSTEM", "Type Load", "class=CatalogComponent"
"main", "10", "SYSTEM", "Type Load", "class=Product"
"main", "11", "Composite_Catalog.java:6", "New Object", "object=Product:1"
"main", "12", "Composite_Catalog.java:6", "Method Call", "caller=Composite_Catalog#main:1, target=Product:1#Product:1"
"main", "13", "Product.java:7", "Method Entered", ""
"main", "14", "Product.java:7", "Variable Write", "context=Product:1#Product:1, price=65.0"
"main", "15", "Product.java:7", "Variable Write", "context=Product:1#Product:1, name=""M: Jeans 32"""
"main", "16", "Product.java:7", "Line Step", "file=Product.java, line=7"
"main", "17", "Product.java:7", "Method Call", "caller=Product:1#Product:1, target=CatalogComponent:1#CatalogComponent:1"
"main", "18", "CatalogComponent.java:2", "Method Entered", ""
"main", "19", "CatalogComponent.java:2", "Line Step", "file=CatalogComponent.java, line=2"
"main", "20", "CatalogComponent.java:2", "Method Exit", "returner=CatalogComponent:1#CatalogComponent:1, value=<void>"
"main", "21", "Product.java:7", "Method Returned", ""
"main", "22", "Product.java:8", "Line Step", "file=Product.java, line=8"
"main", "23", "Product.java:8", "Field Write", "context=Product:1, name=""M: Jeans 32"""
"main", "24", "Product.java:9", "Line Step", "file=Product.java, line=9"
"main", "25", "Product.java:9", "Field Write", "context=Product:1, price=65.0"
"main", "26", "Product.java:10", "Line Step", "file=Product.java, line=10"
"main", "27", "Product.java:10", "Method Exit", "returner=Product:1#Product:1, value=<void>"
"main", "28", "Composite_Catalog.java:6", "Method Returned", ""
"main", "29", "Composite_Catalog.java:6", "Line Step", "file=Composite_Catalog.java, line=6"
"main", "30", "Composite_Catalog.java:6", "Variable Write", "context=Composite_Catalog#main:1, mJeanProduct=Product:1"
"main", "31", "Composite_Catalog.java:7", "Line Step", "file=Composite_Catalog.java, line=7"
"main", "32", "Composite_Catalog.java:7", "New Object", "object=Product:2"
"main", "33", "Composite_Catalog.java:7", "Method Call", "caller=Composite_Catalog#main:1, target=Product:2#Product:2"
"main", "34", "Product.java:7", "Method Entered", ""
"main", "35", "Product.java:7", "Variable Write", "context=Product:2#Product:2, price=45.0"
"main", "36", "Product.java:7", "Variable Write", "context=Product:2#Product:2, name=""M: T Shirt 38"""
"main", "37", "Product.java:7", "Line Step", "file=Product.java, line=7"
"main", "38", "Product.java:7", "Method Call", "caller=Product:2#Product:2, target=CatalogComponent:2#CatalogComponent:2"
"main", "39", "CatalogComponent.java:2", "Method Entered", ""
"main", "40", "CatalogComponent.java:2", "Line Step", "file=CatalogComponent.java, line=2"
"main", "41", "CatalogComponent.java:2", "Method Exit", "returner=CatalogComponent:2#CatalogComponent:2, value=<void>"
"main", "42", "Product.java:7", "Method Returned", ""
"main", "43", "Product.java:8", "Line Step", "file=Product.java, line=8"
"main", "44", "Product.java:8", "Field Write", "context=Product:2, name=""M: T Shirt 38"""
"main", "45", "Product.java:9", "Line Step", "file=Product.java, line=9"
"main", "46", "Product.java:9", "Field Write", "context=Product:2, price=45.0"
"main", "47", "Product.java:10", "Line Step", "file=Product.java, line=10"
"main", "48", "Product.java:10", "Method Exit", "returner=Product:2#Product:2, value=<void>"
"main", "49", "Composite_Catalog.java:7", "Method Returned", ""
"main", "50", "Composite_Catalog.java:7", "Line Step", "file=Composite_Catalog.java, line=7"
"main", "51", "Composite_Catalog.java:7", "Variable Write", "context=Composite_Catalog#main:1, mTShirtProduct=Product:2"
"main", "52", "Composite_Catalog.java:9", "Line Step", "file=Composite_Catalog.java, line=9"
"main", "53", "SYSTEM", "Type Load", "class=ProductCatalog"
"main", "54", "Composite_Catalog.java:9", "New Object", "object=ProductCatalog:1"
"main", "55", "Composite_Catalog.java:9", "Method Call", "caller=Composite_Catalog#main:1, target=ProductCatalog:1#ProductCatalog:1"
"main", "56", "ProductCatalog.java:7", "Method Entered", ""
"main", "57", "ProductCatalog.java:7", "Variable Write", "context=ProductCatalog:1#ProductCatalog:1, name=""Female Products"""
"main", "58", "ProductCatalog.java:7", "Line Step", "file=ProductCatalog.java, line=7"
"main", "59", "ProductCatalog.java:7", "Method Call", "caller=ProductCatalog:1#ProductCatalog:1, target=CatalogComponent:3#CatalogComponent:3"
"main", "60", "CatalogComponent.java:2", "Method Entered", ""
"main", "61", "CatalogComponent.java:2", "Line Step", "file=CatalogComponent.java, line=2"
"main", "62", "CatalogComponent.java:2", "Method Exit", "returner=CatalogComponent:3#CatalogComponent:3, value=<void>"
"main", "63", "ProductCatalog.java:7", "Method Returned", ""
"main", "64", "ProductCatalog.java:5", "Line Step", "file=ProductCatalog.java, line=5"
"main", "65", "ProductCatalog.java:5", "Field Write", "context=ProductCatalog:1, items=java.util.ArrayList (id=37)"
"main", "66", "ProductCatalog.java:8", "Line Step", "file=ProductCatalog.java, line=8"
"main", "67", "ProductCatalog.java:8", "Field Write", "context=ProductCatalog:1, name=""Female Products"""
"main", "68", "ProductCatalog.java:9", "Line Step", "file=ProductCatalog.java, line=9"
"main", "69", "ProductCatalog.java:9", "Method Exit", "returner=ProductCatalog:1#ProductCatalog:1, value=<void>"
"main", "70", "Composite_Catalog.java:9", "Method Returned", ""
"main", "71", "Composite_Catalog.java:9", "Line Step", "file=Composite_Catalog.java, line=9"
"main", "72", "Composite_Catalog.java:9", "Variable Write", "context=Composite_Catalog#main:1, newCatalog=ProductCatalog:1"
"main", "73", "Composite_Catalog.java:10", "Line Step", "file=Composite_Catalog.java, line=10"
"main", "74", "Composite_Catalog.java:10", "New Object", "object=Product:3"
"main", "75", "Composite_Catalog.java:10", "Method Call", "caller=Composite_Catalog#main:1, target=Product:3#Product:3"
"main", "76", "Product.java:7", "Method Entered", ""
"main", "77", "Product.java:7", "Variable Write", "context=Product:3#Product:3, price=65.0"
"main", "78", "Product.java:7", "Variable Write", "context=Product:3#Product:3, name=""F: Jeans 32"""
