x,m,y,y,z,z,q,z,u,n,w
Cofee_Condiments,main,Milk:1,Milk,Decaf:1,Decaf,cost,Decaf:1,Mocha:1,cost,Espresso:1
Cofee_Condiments,main,Milk:1,Milk,Decaf:1,Decaf,cost,Decaf:1,Mocha:1,cost,HouseBlend:1
Cofee_Condiments,main,Milk:1,Milk,Decaf:1,Decaf,cost,Decaf:1,Mocha:1,getDescription,Espresso:1
Cofee_Condiments,main,Milk:1,Milk,Decaf:1,Decaf,cost,Decaf:1,Mocha:1,getDescription,HouseBlend:1
Cofee_Condiments,main,Milk:1,Milk,Decaf:1,Decaf,cost,Decaf:1,Soy:1,cost,Espresso:1
Cofee_Condiments,main,Milk:1,Milk,Decaf:1,Decaf,cost,Decaf:1,Soy:1,cost,HouseBlend:1
Cofee_Condiments,main,Milk:1,Milk,Decaf:1,Decaf,cost,Decaf:1,Soy:1,getDescription,Espresso:1
Cofee_Condiments,main,Milk:1,Milk,Decaf:1,Decaf,cost,Decaf:1,Soy:1,getDescription,HouseBlend:1
Cofee_Condiments,main,Milk:1,Milk,Decaf:1,Decaf,cost,Decaf:1,Sugar:1,cost,Espresso:1
Cofee_Condiments,main,Milk:1,Milk,Decaf:1,Decaf,cost,Decaf:1,Sugar:1,cost,HouseBlend:1
Cofee_Condiments,main,Milk:1,Milk,Decaf:1,Decaf,cost,Decaf:1,Sugar:1,getDescription,Espresso:1
Cofee_Condiments,main,Milk:1,Milk,Decaf:1,Decaf,cost,Decaf:1,Sugar:1,getDescription,HouseBlend:1
Cofee_Condiments,main,Milk:1,Milk,Decaf:1,Decaf,cost,Decaf:1,Whip:1,cost,Espresso:1
Cofee_Condiments,main,Milk:1,Milk,Decaf:1,Decaf,cost,Decaf:1,Whip:1,cost,HouseBlend:1
Cofee_Condiments,main,Milk:1,Milk,Decaf:1,Decaf,cost,Decaf:1,Whip:1,getDescription,Espresso:1
Cofee_Condiments,main,Milk:1,Milk,Decaf:1,Decaf,cost,Decaf:1,Whip:1,getDescription,HouseBlend:1
Cofee_Condiments,main,Soy:1,Soy,HouseBlend:1,HouseBlend,cost,HouseBlend:1,Milk:1,cost,Decaf:1
Cofee_Condiments,main,Soy:1,Soy,HouseBlend:1,HouseBlend,cost,HouseBlend:1,Milk:1,cost,Espresso:1
Cofee_Condiments,main,Soy:1,Soy,HouseBlend:1,HouseBlend,cost,HouseBlend:1,Milk:1,getDescription,Decaf:1
Cofee_Condiments,main,Soy:1,Soy,HouseBlend:1,HouseBlend,cost,HouseBlend:1,Milk:1,getDescription,Espresso:1
Cofee_Condiments,main,Soy:1,Soy,HouseBlend:1,HouseBlend,cost,HouseBlend:1,Milk:2,cost,Decaf:1
Cofee_Condiments,main,Soy:1,Soy,HouseBlend:1,HouseBlend,cost,HouseBlend:1,Milk:2,cost,Espresso:1
Cofee_Condiments,main,Soy:1,Soy,HouseBlend:1,HouseBlend,cost,HouseBlend:1,Milk:2,getDescription,Decaf:1
Cofee_Condiments,main,Soy:1,Soy,HouseBlend:1,HouseBlend,cost,HouseBlend:1,Milk:2,getDescription,Espresso:1
Cofee_Condiments,main,Soy:1,Soy,HouseBlend:1,HouseBlend,cost,HouseBlend:1,Mocha:1,cost,Decaf:1
Cofee_Condiments,main,Soy:1,Soy,HouseBlend:1,HouseBlend,cost,HouseBlend:1,Mocha:1,cost,Espresso:1
Cofee_Condiments,main,Soy:1,Soy,HouseBlend:1,HouseBlend,cost,HouseBlend:1,Mocha:1,getDescription,Decaf:1
Cofee_Condiments,main,Soy:1,Soy,HouseBlend:1,HouseBlend,cost,HouseBlend:1,Mocha:1,getDescription,Espresso:1
Cofee_Condiments,main,Soy:1,Soy,HouseBlend:1,HouseBlend,cost,HouseBlend:1,Sugar:1,cost,Decaf:1
Cofee_Condiments,main,Soy:1,Soy,HouseBlend:1,HouseBlend,cost,HouseBlend:1,Sugar:1,cost,Espresso:1
Cofee_Condiments,main,Soy:1,Soy,HouseBlend:1,HouseBlend,cost,HouseBlend:1,Sugar:1,getDescription,Decaf:1
Cofee_Condiments,main,Soy:1,Soy,HouseBlend:1,HouseBlend,cost,HouseBlend:1,Sugar:1,getDescription,Espresso:1
Cofee_Condiments,main,Soy:1,Soy,HouseBlend:1,HouseBlend,cost,HouseBlend:1,Whip:1,cost,Decaf:1
Cofee_Condiments,main,Soy:1,Soy,HouseBlend:1,HouseBlend,cost,HouseBlend:1,Whip:1,cost,Espresso:1
Cofee_Condiments,main,Soy:1,Soy,HouseBlend:1,HouseBlend,cost,HouseBlend:1,Whip:1,getDescription,Decaf:1
Cofee_Condiments,main,Soy:1,Soy,HouseBlend:1,HouseBlend,cost,HouseBlend:1,Whip:1,getDescription,Espresso:1
