"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=Cofee_Condiments"
"main", "5", "Cofee_Condiments.java:20", "Method Call", "caller=SYSTEM, target=Cofee_Condiments#main:1"
"main", "6", "Cofee_Condiments.java:17", "Method Entered", ""
"main", "7", "Cofee_Condiments.java:17", "Variable Write", "context=Cofee_Condiments#main:1, args=java.lang.String[0] (id=39)"
"main", "8", "Cofee_Condiments.java:20", "Line Step", "file=Cofee_Condiments.java, line=20"
"main", "9", "SYSTEM", "Type Load", "class=Beverage"
"main", "10", "SYSTEM", "Type Load", "class=Espresso"
"main", "11", "Cofee_Condiments.java:20", "New Object", "object=Espresso:1"
"main", "12", "Cofee_Condiments.java:20", "Method Call", "caller=Cofee_Condiments#main:1, target=Espresso:1#Espresso:1"
"main", "13", "Cofee_Condiments.java:135", "Method Entered", ""
"main", "14", "Cofee_Condiments.java:135", "Line Step", "file=Cofee_Condiments.java, line=135"
"main", "15", "Cofee_Condiments.java:135", "Method Call", "caller=Espresso:1#Espresso:1, target=Beverage:1#Beverage:1"
"main", "16", "Cofee_Condiments.java:98", "Method Entered", ""
"main", "17", "Cofee_Condiments.java:97", "Line Step", "file=Cofee_Condiments.java, line=97"
"main", "18", "Cofee_Condiments.java:98", "Line Step", "file=Cofee_Condiments.java, line=98"
"main", "19", "Cofee_Condiments.java:98", "Field Write", "context=Beverage:1, description=""Unknown Beverage"""
"main", "20", "Cofee_Condiments.java:97", "Line Step", "file=Cofee_Condiments.java, line=97"
"main", "21", "Cofee_Condiments.java:97", "Method Exit", "returner=Beverage:1#Beverage:1, value=<void>"
"main", "22", "Cofee_Condiments.java:135", "Method Returned", ""
"main", "23", "Cofee_Condiments.java:136", "Line Step", "file=Cofee_Condiments.java, line=136"
"main", "24", "Cofee_Condiments.java:136", "Field Write", "context=Beverage:1, description=""Espresso"""
"main", "25", "Cofee_Condiments.java:137", "Line Step", "file=Cofee_Condiments.java, line=137"
"main", "26", "Cofee_Condiments.java:137", "Method Exit", "returner=Espresso:1#Espresso:1, value=<void>"
"main", "27", "Cofee_Condiments.java:20", "Method Returned", ""
"main", "28", "Cofee_Condiments.java:20", "Line Step", "file=Cofee_Condiments.java, line=20"
"main", "29", "Cofee_Condiments.java:20", "Variable Write", "context=Cofee_Condiments#main:1, beverage=Espresso:1"
"main", "30", "Cofee_Condiments.java:21", "Line Step", "file=Cofee_Condiments.java, line=21"
"main", "31", "Cofee_Condiments.java:21", "Method Call", "caller=Cofee_Condiments#main:1, target=Beverage:1#getDescription:1"
"main", "32", "Cofee_Condiments.java:100", "Method Entered", ""
"main", "33", "Cofee_Condiments.java:101", "Line Step", "file=Cofee_Condiments.java, line=101"
"main", "34", "Cofee_Condiments.java:101", "Field Read", "context=Beverage:1, description"
"main", "35", "Cofee_Condiments.java:101", "Variable Write", "context=Beverage:1#getDescription:1, result=""Espresso"""
"main", "36", "Cofee_Condiments.java:101", "Method Exit", "returner=Beverage:1#getDescription:1, value=""Espresso"""
"main", "37", "Cofee_Condiments.java:21", "Method Returned", ""
"main", "38", "Cofee_Condiments.java:21", "Line Step", "file=Cofee_Condiments.java, line=21"
"main", "39", "Cofee_Condiments.java:21", "Method Call", "caller=Cofee_Condiments#main:1, target=Espresso:1#cost:1"
"main", "40", "Cofee_Condiments.java:139", "Method Entered", ""
"main", "41", "Cofee_Condiments.java:140", "Line Step", "file=Cofee_Condiments.java, line=140"
"main", "42", "Cofee_Condiments.java:140", "Variable Write", "context=Espresso:1#cost:1, result=1.99"
"main", "43", "Cofee_Condiments.java:140", "Method Exit", "returner=Espresso:1#cost:1, value=1.99"
"main", "44", "Cofee_Condiments.java:21", "Method Returned", ""
"main", "45", "Cofee_Condiments.java:21", "Line Step", "file=Cofee_Condiments.java, line=21"
"main", "46", "Cofee_Condiments.java:25", "Line Step", "file=Cofee_Condiments.java, line=25"
"main", "47", "SYSTEM", "Type Load", "class=Decaf"
"main", "48", "Cofee_Condiments.java:25", "New Object", "object=Decaf:1"
"main", "49", "Cofee_Condiments.java:25", "Method Call", "caller=Cofee_Condiments#main:1, target=Decaf:1#Decaf:1"
"main", "50", "Cofee_Condiments.java:123", "Method Entered", ""
"main", "51", "Cofee_Condiments.java:123", "Line Step", "file=Cofee_Condiments.java, line=123"
"main", "52", "Cofee_Condiments.java:123", "Method Call", "caller=Decaf:1#Decaf:1, target=Beverage:2#Beverage:2"
"main", "53", "Cofee_Condiments.java:98", "Method Entered", ""
"main", "54", "Cofee_Condiments.java:97", "Line Step", "file=Cofee_Condiments.java, line=97"
"main", "55", "Cofee_Condiments.java:98", "Line Step", "file=Cofee_Condiments.java, line=98"
"main", "56", "Cofee_Condiments.java:98", "Field Write", "context=Beverage:2, description=""Unknown Beverage"""
"main", "57", "Cofee_Condiments.java:97", "Line Step", "file=Cofee_Condiments.java, line=97"
"main", "58", "Cofee_Condiments.java:97", "Method Exit", "returner=Beverage:2#Beverage:2, value=<void>"
"main", "59", "Cofee_Condiments.java:123", "Method Returned", ""
"main", "60", "Cofee_Condiments.java:124", "Line Step", "file=Cofee_Condiments.java, line=124"
"main", "61", "Cofee_Condiments.java:124", "Field Write", "context=Beverage:2, description=""Decaf Coffee"""
"main", "62", "Cofee_Condiments.java:125", "Line Step", "file=Cofee_Condiments.java, line=125"
"main", "63", "Cofee_Condiments.java:125", "Method Exit", "returner=Decaf:1#Decaf:1, value=<void>"
"main", "64", "Cofee_Condiments.java:25", "Method Returned", ""
"main", "65", "Cofee_Condiments.java:25", "Line Step", "file=Cofee_Condiments.java, line=25"
"main", "66", "Cofee_Condiments.java:25", "Variable Write", "context=Cofee_Condiments#main:1, beverage2=Decaf:1"
"main", "67", "Cofee_Condiments.java:26", "Line Step", "file=Cofee_Condiments.java, line=26"
"main", "68", "SYSTEM", "Type Load", "class=CondimentDecorator"
"main", "69", "SYSTEM", "Type Load", "class=Milk"
"main", "70", "Cofee_Condiments.java:26", "New Object", "object=Milk:1"
"main", "71", "Cofee_Condiments.java:26", "Method Call", "caller=Cofee_Condiments#main:1, target=Milk:1#Milk:1"
"main", "72", "Cofee_Condiments.java:156", "Method Entered", ""
"main", "73", "Cofee_Condiments.java:156", "Variable Write", "context=Milk:1#Milk:1, beverage=Decaf:1"
