"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=Flower_Bouquet_Test"
"main", "5", "Flower_Bouquet_Test.java:5", "Method Call", "caller=SYSTEM, target=Flower_Bouquet_Test#main:1"
"main", "6", "Flower_Bouquet_Test.java:4", "Method Entered", ""
"main", "7", "Flower_Bouquet_Test.java:4", "Variable Write", "context=Flower_Bouquet_Test#main:1, args=java.lang.String[0] (id=32)"
"main", "8", "Flower_Bouquet_Test.java:5", "Line Step", "file=Flower_Bouquet_Test.java, line=5"
"main", "9", "SYSTEM", "Type Load", "class=FlowerBouquet"
"main", "10", "SYSTEM", "Type Load", "class=RoseBouquet"
"main", "11", "Flower_Bouquet_Test.java:5", "New Object", "object=RoseBouquet:1"
"main", "12", "Flower_Bouquet_Test.java:5", "Method Call", "caller=Flower_Bouquet_Test#main:1, target=RoseBouquet:1#RoseBouquet:1"
"main", "13", "RoseBouquet.java:4", "Method Entered", ""
"main", "14", "RoseBouquet.java:4", "Line Step", "file=RoseBouquet.java, line=4"
"main", "15", "RoseBouquet.java:4", "Method Call", "caller=RoseBouquet:1#RoseBouquet:1, target=FlowerBouquet:1#FlowerBouquet:1"
"main", "16", "FlowerBouquet.java:2", "Method Entered", ""
"main", "17", "FlowerBouquet.java:2", "Line Step", "file=FlowerBouquet.java, line=2"
"main", "18", "FlowerBouquet.java:2", "Method Exit", "returner=FlowerBouquet:1#FlowerBouquet:1, value=<void>"
"main", "19", "RoseBouquet.java:4", "Method Returned", ""
"main", "20", "RoseBouquet.java:5", "Line Step", "file=RoseBouquet.java, line=5"
"main", "21", "RoseBouquet.java:5", "Field Write", "context=FlowerBouquet:1, description=""Rose bouquet"""
"main", "22", "RoseBouquet.java:6", "Line Step", "file=RoseBouquet.java, line=6"
"main", "23", "RoseBouquet.java:6", "Method Exit", "returner=RoseBouquet:1#RoseBouquet:1, value=<void>"
"main", "24", "Flower_Bouquet_Test.java:5", "Method Returned", ""
"main", "25", "Flower_Bouquet_Test.java:5", "Line Step", "file=Flower_Bouquet_Test.java, line=5"
"main", "26", "Flower_Bouquet_Test.java:5", "Variable Write", "context=Flower_Bouquet_Test#main:1, roseBouquet=RoseBouquet:1"
"main", "27", "Flower_Bouquet_Test.java:6", "Line Step", "file=Flower_Bouquet_Test.java, line=6"
"main", "28", "Flower_Bouquet_Test.java:6", "Method Call", "caller=Flower_Bouquet_Test#main:1, target=FlowerBouquet:1#getDescription:1"
"main", "29", "FlowerBouquet.java:4", "Method Entered", ""
"main", "30", "FlowerBouquet.java:5", "Line Step", "file=FlowerBouquet.java, line=5"
"main", "31", "FlowerBouquet.java:5", "Field Read", "context=FlowerBouquet:1, description"
"main", "32", "FlowerBouquet.java:5", "Variable Write", "context=FlowerBouquet:1#getDescription:1, result=""Rose bouquet"""
"main", "33", "FlowerBouquet.java:5", "Method Exit", "returner=FlowerBouquet:1#getDescription:1, value=""Rose bouquet"""
"main", "34", "Flower_Bouquet_Test.java:6", "Method Returned", ""
"main", "35", "Flower_Bouquet_Test.java:6", "Line Step", "file=Flower_Bouquet_Test.java, line=6"
"main", "36", "Flower_Bouquet_Test.java:7", "Line Step", "file=Flower_Bouquet_Test.java, line=7"
"main", "37", "Flower_Bouquet_Test.java:7", "Method Call", "caller=Flower_Bouquet_Test#main:1, target=RoseBouquet:1#cost:1"
"main", "38", "RoseBouquet.java:7", "Method Entered", ""
"main", "39", "RoseBouquet.java:8", "Line Step", "file=RoseBouquet.java, line=8"
"main", "40", "RoseBouquet.java:8", "Variable Write", "context=RoseBouquet:1#cost:1, result=12.0"
"main", "41", "RoseBouquet.java:8", "Method Exit", "returner=RoseBouquet:1#cost:1, value=12.0"
"main", "42", "Flower_Bouquet_Test.java:7", "Method Returned", ""
"main", "43", "Flower_Bouquet_Test.java:7", "Line Step", "file=Flower_Bouquet_Test.java, line=7"
"main", "44", "Flower_Bouquet_Test.java:6", "Line Step", "file=Flower_Bouquet_Test.java, line=6"
"main", "45", "Flower_Bouquet_Test.java:9", "Line Step", "file=Flower_Bouquet_Test.java, line=9"
"main", "46", "Flower_Bouquet_Test.java:9", "New Object", "object=RoseBouquet:2"
"main", "47", "Flower_Bouquet_Test.java:9", "Method Call", "caller=Flower_Bouquet_Test#main:1, target=RoseBouquet:2#RoseBouquet:2"
"main", "48", "RoseBouquet.java:4", "Method Entered", ""
"main", "49", "RoseBouquet.java:4", "Line Step", "file=RoseBouquet.java, line=4"
"main", "50", "RoseBouquet.java:4", "Method Call", "caller=RoseBouquet:2#RoseBouquet:2, target=FlowerBouquet:2#FlowerBouquet:2"
"main", "51", "FlowerBouquet.java:2", "Method Entered", ""
"main", "52", "FlowerBouquet.java:2", "Line Step", "file=FlowerBouquet.java, line=2"
"main", "53", "FlowerBouquet.java:2", "Method Exit", "returner=FlowerBouquet:2#FlowerBouquet:2, value=<void>"
"main", "54", "RoseBouquet.java:4", "Method Returned", ""
"main", "55", "RoseBouquet.java:5", "Line Step", "file=RoseBouquet.java, line=5"
"main", "56", "RoseBouquet.java:5", "Field Write", "context=FlowerBouquet:2, description=""Rose bouquet"""
"main", "57", "RoseBouquet.java:6", "Line Step", "file=RoseBouquet.java, line=6"
"main", "58", "RoseBouquet.java:6", "Method Exit", "returner=RoseBouquet:2#RoseBouquet:2, value=<void>"
"main", "59", "Flower_Bouquet_Test.java:9", "Method Returned", ""
"main", "60", "Flower_Bouquet_Test.java:9", "Line Step", "file=Flower_Bouquet_Test.java, line=9"
"main", "61", "Flower_Bouquet_Test.java:9", "Variable Write", "context=Flower_Bouquet_Test#main:1, decoratedRoseBouquet=RoseBouquet:2"
"main", "62", "Flower_Bouquet_Test.java:10", "Line Step", "file=Flower_Bouquet_Test.java, line=10"
"main", "63", "SYSTEM", "Type Load", "class=FlowerBouquetDecorator"
"main", "64", "SYSTEM", "Type Load", "class=PaperWrapper"
"main", "65", "Flower_Bouquet_Test.java:10", "New Object", "object=PaperWrapper:1"
"main", "66", "Flower_Bouquet_Test.java:10", "Method Call", "caller=Flower_Bouquet_Test#main:1, target=PaperWrapper:1#PaperWrapper:1"
"main", "67", "PaperWrapper.java:4", "Method Entered", ""
