x,m,y,n,z,r,w,p,u,q
Smart_Home,main,SmartHomeFacade:1,endMovie,Amplifier:1,off,DvdPlayer:1,eject,Lights:1,on
Smart_Home,main,SmartHomeFacade:1,endMovie,Amplifier:1,off,DvdPlayer:1,eject,Screen:1,up
Smart_Home,main,SmartHomeFacade:1,endMovie,Amplifier:1,off,DvdPlayer:1,off,Lights:1,on
Smart_Home,main,SmartHomeFacade:1,endMovie,Amplifier:1,off,DvdPlayer:1,off,Screen:1,up
Smart_Home,main,SmartHomeFacade:1,endMovie,Amplifier:1,off,DvdPlayer:1,stop,Lights:1,on
Smart_Home,main,SmartHomeFacade:1,endMovie,Amplifier:1,off,DvdPlayer:1,stop,Screen:1,up
Smart_Home,main,SmartHomeFacade:1,endMovie,Amplifier:1,off,Lights:1,on,DvdPlayer:1,eject
Smart_Home,main,SmartHomeFacade:1,endMovie,Amplifier:1,off,Lights:1,on,DvdPlayer:1,off
Smart_Home,main,SmartHomeFacade:1,endMovie,Amplifier:1,off,Lights:1,on,DvdPlayer:1,stop
Smart_Home,main,SmartHomeFacade:1,endMovie,Amplifier:1,off,Lights:1,on,Screen:1,up
Smart_Home,main,SmartHomeFacade:1,endMovie,Amplifier:1,off,Screen:1,up,DvdPlayer:1,eject
Smart_Home,main,SmartHomeFacade:1,endMovie,Amplifier:1,off,Screen:1,up,DvdPlayer:1,off
Smart_Home,main,SmartHomeFacade:1,endMovie,Amplifier:1,off,Screen:1,up,DvdPlayer:1,stop
Smart_Home,main,SmartHomeFacade:1,endMovie,Amplifier:1,off,Screen:1,up,Lights:1,on
Smart_Home,main,SmartHomeFacade:1,endMovie,DvdPlayer:1,eject,Amplifier:1,off,Lights:1,on
Smart_Home,main,SmartHomeFacade:1,endMovie,DvdPlayer:1,eject,Amplifier:1,off,Screen:1,up
Smart_Home,main,SmartHomeFacade:1,endMovie,DvdPlayer:1,eject,Lights:1,on,Amplifier:1,off
Smart_Home,main,SmartHomeFacade:1,endMovie,DvdPlayer:1,eject,Lights:1,on,Screen:1,up
Smart_Home,main,SmartHomeFacade:1,endMovie,DvdPlayer:1,eject,Screen:1,up,Amplifier:1,off
Smart_Home,main,SmartHomeFacade:1,endMovie,DvdPlayer:1,eject,Screen:1,up,Lights:1,on
Smart_Home,main,SmartHomeFacade:1,endMovie,DvdPlayer:1,off,Amplifier:1,off,Lights:1,on
Smart_Home,main,SmartHomeFacade:1,endMovie,DvdPlayer:1,off,Amplifier:1,off,Screen:1,up
Smart_Home,main,SmartHomeFacade:1,endMovie,DvdPlayer:1,off,Lights:1,on,Amplifier:1,off
Smart_Home,main,SmartHomeFacade:1,endMovie,DvdPlayer:1,off,Lights:1,on,Screen:1,up
Smart_Home,main,SmartHomeFacade:1,endMovie,DvdPlayer:1,off,Screen:1,up,Amplifier:1,off
Smart_Home,main,SmartHomeFacade:1,endMovie,DvdPlayer:1,off,Screen:1,up,Lights:1,on
Smart_Home,main,SmartHomeFacade:1,endMovie,DvdPlayer:1,stop,Amplifier:1,off,Lights:1,on
Smart_Home,main,SmartHomeFacade:1,endMovie,DvdPlayer:1,stop,Amplifier:1,off,Screen:1,up
Smart_Home,main,SmartHomeFacade:1,endMovie,DvdPlayer:1,stop,Lights:1,on,Amplifier:1,off
