"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=Smart_Home"
"main", "5", "Smart_Home.java:9", "Method Call", "caller=SYSTEM, target=Smart_Home#main:1"
"main", "6", "Smart_Home.java:7", "Method Entered", ""
"main", "7", "Smart_Home.java:7", "Variable Write", "context=Smart_Home#main:1, args=java.lang.String[0] (id=21)"
"main", "8", "Smart_Home.java:9", "Line Step", "file=Smart_Home.java, line=9"
"main", "9", "SYSTEM", "Type Load", "class=Amplifier"
"main", "10", "Smart_Home.java:9", "New Object", "object=Amplifier:1"
"main", "11", "Smart_Home.java:9", "Method Call", "caller=Smart_Home#main:1, target=Amplifier:1#Amplifier:1"
"main", "12", "Smart_Home.java:30", "Method Entered", ""
"main", "13", "Smart_Home.java:30", "Variable Write", "context=Amplifier:1#Amplifier:1, description=""Top-O-Line Amplifier"""
"main", "14", "Smart_Home.java:30", "Line Step", "file=Smart_Home.java, line=30"
"main", "15", "Smart_Home.java:31", "Line Step", "file=Smart_Home.java, line=31"
"main", "16", "Smart_Home.java:31", "Field Write", "context=Amplifier:1, description=""Top-O-Line Amplifier"""
"main", "17", "Smart_Home.java:32", "Line Step", "file=Smart_Home.java, line=32"
"main", "18", "Smart_Home.java:32", "Method Exit", "returner=Amplifier:1#Amplifier:1, value=<void>"
"main", "19", "Smart_Home.java:9", "Method Returned", ""
"main", "20", "Smart_Home.java:9", "Line Step", "file=Smart_Home.java, line=9"
"main", "21", "Smart_Home.java:9", "Variable Write", "context=Smart_Home#main:1, amp=Amplifier:1"
"main", "22", "Smart_Home.java:10", "Line Step", "file=Smart_Home.java, line=10"
"main", "23", "SYSTEM", "Type Load", "class=Tuner"
"main", "24", "Smart_Home.java:10", "New Object", "object=Tuner:1"
"main", "25", "Smart_Home.java:10", "Method Call", "caller=Smart_Home#main:1, target=Tuner:1#Tuner:1"
"main", "26", "Smart_Home.java:316", "Method Entered", ""
"main", "27", "Smart_Home.java:316", "Variable Write", "context=Tuner:1#Tuner:1, description=""Top-O-Line AM/FM Tuner"""
"main", "28", "Smart_Home.java:316", "Variable Write", "context=Tuner:1#Tuner:1, amplifier=Amplifier:1"
"main", "29", "Smart_Home.java:316", "Line Step", "file=Smart_Home.java, line=316"
"main", "30", "Smart_Home.java:317", "Line Step", "file=Smart_Home.java, line=317"
"main", "31", "Smart_Home.java:317", "Field Write", "context=Tuner:1, description=""Top-O-Line AM/FM Tuner"""
"main", "32", "Smart_Home.java:318", "Line Step", "file=Smart_Home.java, line=318"
"main", "33", "Smart_Home.java:318", "Method Exit", "returner=Tuner:1#Tuner:1, value=<void>"
"main", "34", "Smart_Home.java:10", "Method Returned", ""
"main", "35", "Smart_Home.java:10", "Line Step", "file=Smart_Home.java, line=10"
"main", "36", "Smart_Home.java:10", "Variable Write", "context=Smart_Home#main:1, tuner=Tuner:1"
"main", "37", "Smart_Home.java:11", "Line Step", "file=Smart_Home.java, line=11"
"main", "38", "SYSTEM", "Type Load", "class=DvdPlayer"
"main", "39", "Smart_Home.java:11", "New Object", "object=DvdPlayer:1"
"main", "40", "Smart_Home.java:11", "Method Call", "caller=Smart_Home#main:1, target=DvdPlayer:1#DvdPlayer:1"
"main", "41", "Smart_Home.java:132", "Method Entered", ""
"main", "42", "Smart_Home.java:132", "Variable Write", "context=DvdPlayer:1#DvdPlayer:1, description=""Top-O-Line DVD Player"""
"main", "43", "Smart_Home.java:132", "Variable Write", "context=DvdPlayer:1#DvdPlayer:1, amplifier=Amplifier:1"
"main", "44", "Smart_Home.java:132", "Line Step", "file=Smart_Home.java, line=132"
"main", "45", "Smart_Home.java:133", "Line Step", "file=Smart_Home.java, line=133"
"main", "46", "Smart_Home.java:133", "Field Write", "context=DvdPlayer:1, description=""Top-O-Line DVD Player"""
"main", "47", "Smart_Home.java:134", "Line Step", "file=Smart_Home.java, line=134"
"main", "48", "Smart_Home.java:134", "Field Write", "context=DvdPlayer:1, amplifier=Amplifier:1"
"main", "49", "Smart_Home.java:135", "Line Step", "file=Smart_Home.java, line=135"
"main", "50", "Smart_Home.java:135", "Method Exit", "returner=DvdPlayer:1#DvdPlayer:1, value=<void>"
"main", "51", "Smart_Home.java:11", "Method Returned", ""
"main", "52", "Smart_Home.java:11", "Line Step", "file=Smart_Home.java, line=11"
"main", "53", "Smart_Home.java:11", "Variable Write", "context=Smart_Home#main:1, dvd=DvdPlayer:1"
"main", "54", "Smart_Home.java:12", "Line Step", "file=Smart_Home.java, line=12"
"main", "55", "SYSTEM", "Type Load", "class=CdPlayer"
"main", "56", "Smart_Home.java:12", "New Object", "object=CdPlayer:1"
"main", "57", "Smart_Home.java:12", "Method Call", "caller=Smart_Home#main:1, target=CdPlayer:1#CdPlayer:1"
"main", "58", "Smart_Home.java:79", "Method Entered", ""
"main", "59", "Smart_Home.java:79", "Variable Write", "context=CdPlayer:1#CdPlayer:1, description=""Top-O-Line CD Player"""
"main", "60", "Smart_Home.java:79", "Variable Write", "context=CdPlayer:1#CdPlayer:1, amplifier=Amplifier:1"
"main", "61", "Smart_Home.java:79", "Line Step", "file=Smart_Home.java, line=79"
"main", "62", "Smart_Home.java:80", "Line Step", "file=Smart_Home.java, line=80"
"main", "63", "Smart_Home.java:80", "Field Write", "context=CdPlayer:1, description=""Top-O-Line CD Player"""
"main", "64", "Smart_Home.java:81", "Line Step", "file=Smart_Home.java, line=81"
"main", "65", "Smart_Home.java:81", "Field Write", "context=CdPlayer:1, amplifier=Amplifier:1"
"main", "66", "Smart_Home.java:82", "Line Step", "file=Smart_Home.java, line=82"
"main", "67", "Smart_Home.java:82", "Method Exit", "returner=CdPlayer:1#CdPlayer:1, value=<void>"
"main", "68", "Smart_Home.java:12", "Method Returned", ""
"main", "69", "Smart_Home.java:12", "Line Step", "file=Smart_Home.java, line=12"
"main", "70", "Smart_Home.java:12", "Variable Write", "context=Smart_Home#main:1, cd=CdPlayer:1"
"main", "71", "Smart_Home.java:14", "Line Step", "file=Smart_Home.java, line=14"
"main", "72", "SYSTEM", "Type Load", "class=Lights"
"main", "73", "Smart_Home.java:14", "New Object", "object=Lights:1"
"main", "74", "Smart_Home.java:14", "Method Call", "caller=Smart_Home#main:1, target=Lights:1#Lights:1"
"main", "75", "Smart_Home.java:189", "Method Entered", ""
