"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=OrderFulfillmentControllerTest"
"main", "5", "OrderFulfillmentControllerTest.java:3", "Method Call", "caller=SYSTEM, target=OrderFulfillmentControllerTest#main:1"
"main", "6", "OrderFulfillmentControllerTest.java:2", "Method Entered", ""
"main", "7", "OrderFulfillmentControllerTest.java:2", "Variable Write", "context=OrderFulfillmentControllerTest#main:1, args=java.lang.String[0] (id=23)"
"main", "8", "OrderFulfillmentControllerTest.java:3", "Line Step", "file=OrderFulfillmentControllerTest.java, line=3"
"main", "9", "SYSTEM", "Type Load", "class=OrderFulfillmentController"
"main", "10", "OrderFulfillmentControllerTest.java:3", "New Object", "object=OrderFulfillmentController:1"
"main", "11", "OrderFulfillmentControllerTest.java:3", "Method Call", "caller=OrderFulfillmentControllerTest#main:1, target=OrderFulfillmentController:1#OrderFulfillmentController:1"
"main", "12", "OrderFulfillmentController.java:3", "Method Entered", ""
"main", "13", "OrderFulfillmentController.java:1", "Line Step", "file=OrderFulfillmentController.java, line=1"
"main", "14", "OrderFulfillmentController.java:3", "Line Step", "file=OrderFulfillmentController.java, line=3"
"main", "15", "OrderFulfillmentController.java:3", "Field Write", "context=OrderFulfillmentController:1, orderFulfilled=false"
"main", "16", "OrderFulfillmentController.java:1", "Line Step", "file=OrderFulfillmentController.java, line=1"
"main", "17", "OrderFulfillmentController.java:1", "Method Exit", "returner=OrderFulfillmentController:1#OrderFulfillmentController:1, value=<void>"
"main", "18", "OrderFulfillmentControllerTest.java:3", "Method Returned", ""
"main", "19", "OrderFulfillmentControllerTest.java:3", "Line Step", "file=OrderFulfillmentControllerTest.java, line=3"
"main", "20", "OrderFulfillmentControllerTest.java:3", "Variable Write", "context=OrderFulfillmentControllerTest#main:1, controller=OrderFulfillmentController:1"
"main", "21", "OrderFulfillmentControllerTest.java:4", "Line Step", "file=OrderFulfillmentControllerTest.java, line=4"
"main", "22", "SYSTEM", "Type Load", "class=OrderServiceFacadeImpl"
"main", "23", "OrderFulfillmentControllerTest.java:4", "New Object", "object=OrderServiceFacadeImpl:1"
"main", "24", "OrderFulfillmentControllerTest.java:4", "Method Call", "caller=OrderFulfillmentControllerTest#main:1, target=OrderServiceFacadeImpl:1#OrderServiceFacadeImpl:1"
"main", "25", "OrderServiceFacadeImpl.java:2", "Method Entered", ""
"main", "26", "OrderServiceFacadeImpl.java:2", "Line Step", "file=OrderServiceFacadeImpl.java, line=2"
"main", "27", "OrderServiceFacadeImpl.java:2", "Method Exit", "returner=OrderServiceFacadeImpl:1#OrderServiceFacadeImpl:1, value=<void>"
"main", "28", "OrderFulfillmentControllerTest.java:4", "Method Returned", ""
"main", "29", "OrderFulfillmentControllerTest.java:4", "Line Step", "file=OrderFulfillmentControllerTest.java, line=4"
"main", "30", "OrderFulfillmentControllerTest.java:4", "Field Write", "context=OrderFulfillmentController:1, facade=OrderServiceFacadeImpl:1"
"main", "31", "OrderFulfillmentControllerTest.java:5", "Line Step", "file=OrderFulfillmentControllerTest.java, line=5"
"main", "32", "OrderFulfillmentControllerTest.java:5", "Method Call", "caller=OrderFulfillmentControllerTest#main:1, target=OrderFulfillmentController:1#orderProduct:1"
"main", "33", "OrderFulfillmentController.java:4", "Method Entered", ""
"main", "34", "OrderFulfillmentController.java:4", "Variable Write", "context=OrderFulfillmentController:1#orderProduct:1, productId=9"
"main", "35", "OrderFulfillmentController.java:5", "Line Step", "file=OrderFulfillmentController.java, line=5"
"main", "36", "OrderFulfillmentController.java:5", "Field Read", "context=OrderFulfillmentController:1, facade"
"main", "37", "OrderFulfillmentController.java:5", "Method Call", "caller=OrderFulfillmentController:1#orderProduct:1, target=OrderServiceFacadeImpl:1#placeOrder:1"
"main", "38", "OrderServiceFacadeImpl.java:4", "Method Entered", ""
"main", "39", "OrderServiceFacadeImpl.java:4", "Variable Write", "context=OrderServiceFacadeImpl:1#placeOrder:1, pId=9"
"main", "40", "OrderServiceFacadeImpl.java:5", "Line Step", "file=OrderServiceFacadeImpl.java, line=5"
"main", "41", "OrderServiceFacadeImpl.java:5", "Variable Write", "context=OrderServiceFacadeImpl:1#placeOrder:1, orderFulfilled=false"
"main", "42", "OrderServiceFacadeImpl.java:6", "Line Step", "file=OrderServiceFacadeImpl.java, line=6"
"main", "43", "SYSTEM", "Type Load", "class=Product"
"main", "44", "OrderServiceFacadeImpl.java:6", "New Object", "object=Product:1"
"main", "45", "OrderServiceFacadeImpl.java:6", "Method Call", "caller=OrderServiceFacadeImpl:1#placeOrder:1, target=Product:1#Product:1"
"main", "46", "Product.java:4", "Method Entered", ""
"main", "47", "Product.java:4", "Line Step", "file=Product.java, line=4"
"main", "48", "Product.java:4", "Method Exit", "returner=Product:1#Product:1, value=<void>"
"main", "49", "OrderServiceFacadeImpl.java:6", "Method Returned", ""
"main", "50", "OrderServiceFacadeImpl.java:6", "Line Step", "file=OrderServiceFacadeImpl.java, line=6"
"main", "51", "OrderServiceFacadeImpl.java:6", "Variable Write", "context=OrderServiceFacadeImpl:1#placeOrder:1, product=Product:1"
"main", "52", "OrderServiceFacadeImpl.java:7", "Line Step", "file=OrderServiceFacadeImpl.java, line=7"
"main", "53", "OrderServiceFacadeImpl.java:7", "Field Write", "context=Product:1, productId=9"
"main", "54", "OrderServiceFacadeImpl.java:8", "Line Step", "file=OrderServiceFacadeImpl.java, line=8"
"main", "55", "SYSTEM", "Type Load", "class=InventoryService"
"main", "56", "OrderServiceFacadeImpl.java:8", "Method Call", "caller=OrderServiceFacadeImpl:1#placeOrder:1, target=InventoryService#isAvailable:1"
"main", "57", "InventoryService.java:3", "Method Entered", ""
"main", "58", "InventoryService.java:3", "Variable Write", "context=InventoryService#isAvailable:1, product=Product:1"
"main", "59", "InventoryService.java:5", "Line Step", "file=InventoryService.java, line=5"
"main", "60", "InventoryService.java:5", "Variable Write", "context=InventoryService#isAvailable:1, result=true"
"main", "61", "InventoryService.java:5", "Method Exit", "returner=InventoryService#isAvailable:1, value=true"
"main", "62", "OrderServiceFacadeImpl.java:8", "Method Returned", ""
"main", "63", "OrderServiceFacadeImpl.java:8", "Line Step", "file=OrderServiceFacadeImpl.java, line=8"
