"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=PizzaFactoryTest"
"main", "5", "PizzaFactoryTest.java:4", "Method Call", "caller=SYSTEM, target=PizzaFactoryTest#main:1"
"main", "6", "PizzaFactoryTest.java:3", "Method Entered", ""
"main", "7", "PizzaFactoryTest.java:3", "Variable Write", "context=PizzaFactoryTest#main:1, args=java.lang.String[0] (id=24)"
"main", "8", "PizzaFactoryTest.java:4", "Line Step", "file=PizzaFactoryTest.java, line=4"
"main", "9", "SYSTEM", "Type Load", "class=BasePizzaFactory"
"main", "10", "SYSTEM", "Type Load", "class=PizzaFactory"
"main", "11", "PizzaFactoryTest.java:4", "New Object", "object=PizzaFactory:1"
"main", "12", "PizzaFactoryTest.java:4", "Method Call", "caller=PizzaFactoryTest#main:1, target=PizzaFactory:1#PizzaFactory:1"
"main", "13", "PizzaFactory.java:2", "Method Entered", ""
"main", "14", "PizzaFactory.java:2", "Line Step", "file=PizzaFactory.java, line=2"
"main", "15", "PizzaFactory.java:2", "Method Call", "caller=PizzaFactory:1#PizzaFactory:1, target=BasePizzaFactory:1#BasePizzaFactory:1"
"main", "16", "BasePizzaFactory.java:2", "Method Entered", ""
"main", "17", "BasePizzaFactory.java:2", "Line Step", "file=BasePizzaFactory.java, line=2"
"main", "18", "BasePizzaFactory.java:2", "Method Exit", "returner=BasePizzaFactory:1#BasePizzaFactory:1, value=<void>"
"main", "19", "PizzaFactory.java:2", "Method Returned", ""
"main", "20", "PizzaFactory.java:2", "Line Step", "file=PizzaFactory.java, line=2"
"main", "21", "PizzaFactory.java:2", "Method Exit", "returner=PizzaFactory:1#PizzaFactory:1, value=<void>"
"main", "22", "PizzaFactoryTest.java:4", "Method Returned", ""
"main", "23", "PizzaFactoryTest.java:4", "Line Step", "file=PizzaFactoryTest.java, line=4"
"main", "24", "PizzaFactoryTest.java:4", "Variable Write", "context=PizzaFactoryTest#main:1, pizzaFactory=PizzaFactory:1"
"main", "25", "PizzaFactoryTest.java:5", "Line Step", "file=PizzaFactoryTest.java, line=5"
"main", "26", "PizzaFactoryTest.java:5", "Method Call", "caller=PizzaFactoryTest#main:1, target=PizzaFactory:1#createPizza:1"
"main", "27", "PizzaFactory.java:5", "Method Entered", ""
"main", "28", "PizzaFactory.java:5", "Variable Write", "context=PizzaFactory:1#createPizza:1, type=""cheese"""
"main", "29", "PizzaFactory.java:7", "Line Step", "file=PizzaFactory.java, line=7"
"main", "30", "PizzaFactory.java:10", "Line Step", "file=PizzaFactory.java, line=10"
"main", "31", "SYSTEM", "Type Load", "class=Pizza"
"main", "32", "SYSTEM", "Type Load", "class=CheesePizza"
"main", "33", "PizzaFactory.java:10", "New Object", "object=CheesePizza:1"
"main", "34", "PizzaFactory.java:10", "Method Call", "caller=PizzaFactory:1#createPizza:1, target=CheesePizza:1#CheesePizza:1"
"main", "35", "CheesePizza.java:2", "Method Entered", ""
"main", "36", "CheesePizza.java:2", "Line Step", "file=CheesePizza.java, line=2"
"main", "37", "CheesePizza.java:2", "Method Call", "caller=CheesePizza:1#CheesePizza:1, target=Pizza:1#Pizza:1"
"main", "38", "Pizza.java:2", "Method Entered", ""
"main", "39", "Pizza.java:2", "Line Step", "file=Pizza.java, line=2"
"main", "40", "Pizza.java:2", "Method Exit", "returner=Pizza:1#Pizza:1, value=<void>"
"main", "41", "CheesePizza.java:2", "Method Returned", ""
"main", "42", "CheesePizza.java:2", "Line Step", "file=CheesePizza.java, line=2"
"main", "43", "CheesePizza.java:2", "Method Exit", "returner=CheesePizza:1#CheesePizza:1, value=<void>"
"main", "44", "PizzaFactory.java:10", "Method Returned", ""
"main", "45", "PizzaFactory.java:10", "Line Step", "file=PizzaFactory.java, line=10"
"main", "46", "PizzaFactory.java:10", "Variable Write", "context=PizzaFactory:1#createPizza:1, pizza=CheesePizza:1"
"main", "47", "PizzaFactory.java:11", "Line Step", "file=PizzaFactory.java, line=11"
"main", "48", "PizzaFactory.java:20", "Line Step", "file=PizzaFactory.java, line=20"
"main", "49", "PizzaFactory.java:20", "Method Call", "caller=PizzaFactory:1#createPizza:1, target=CheesePizza:1#addIngredients:1"
"main", "50", "CheesePizza.java:5", "Method Entered", ""
"main", "51", "CheesePizza.java:6", "Line Step", "file=CheesePizza.java, line=6"
"main", "52", "CheesePizza.java:7", "Line Step", "file=CheesePizza.java, line=7"
"main", "53", "CheesePizza.java:7", "Method Exit", "returner=CheesePizza:1#addIngredients:1, value=<void>"
"main", "54", "PizzaFactory.java:20", "Method Returned", ""
"main", "55", "PizzaFactory.java:21", "Line Step", "file=PizzaFactory.java, line=21"
"main", "56", "PizzaFactory.java:21", "Method Call", "caller=PizzaFactory:1#createPizza:1, target=Pizza:1#bakePizza:1"
"main", "57", "Pizza.java:4", "Method Entered", ""
"main", "58", "Pizza.java:5", "Line Step", "file=Pizza.java, line=5"
"main", "59", "Pizza.java:6", "Line Step", "file=Pizza.java, line=6"
"main", "60", "Pizza.java:6", "Method Exit", "returner=Pizza:1#bakePizza:1, value=<void>"
"main", "61", "PizzaFactory.java:21", "Method Returned", ""
"main", "62", "PizzaFactory.java:22", "Line Step", "file=PizzaFactory.java, line=22"
"main", "63", "PizzaFactory.java:22", "Variable Write", "context=PizzaFactory:1#createPizza:1, result=CheesePizza:1"
"main", "64", "PizzaFactory.java:22", "Method Exit", "returner=PizzaFactory:1#createPizza:1, value=CheesePizza:1"
"main", "65", "PizzaFactoryTest.java:5", "Method Returned", ""
"main", "66", "PizzaFactoryTest.java:5", "Line Step", "file=PizzaFactoryTest.java, line=5"
"main", "67", "PizzaFactoryTest.java:5", "Variable Write", "context=PizzaFactoryTest#main:1, cheesePizza=CheesePizza:1"
"main", "68", "PizzaFactoryTest.java:6", "Line Step", "file=PizzaFactoryTest.java, line=6"
"main", "69", "PizzaFactoryTest.java:6", "Method Call", "caller=PizzaFactoryTest#main:1, target=PizzaFactory:1#createPizza:2"
"main", "70", "PizzaFactory.java:5", "Method Entered", ""
"main", "71", "PizzaFactory.java:5", "Variable Write", "context=PizzaFactory:1#createPizza:2, type=""veggie"""
"main", "72", "PizzaFactory.java:7", "Line Step", "file=PizzaFactory.java, line=7"
"main", "73", "PizzaFactory.java:16", "Line Step", "file=PizzaFactory.java, line=16"
