x,m,y,n,z,m,y,n,z,q,w,p,y,n,w,x,z,m,x,w,z,w
RaceCarClient:2,RaceCarClient,CarFactory,getRaceCar,RaceCarClient:1,RaceCarClient,CarFactory,getRaceCar,RaceCarClient:1,moveCar,FlyweightMidgetCar:1,moveCar,CarFactory,getRaceCar,FlyweightMidgetCar:1,RaceCarClient:2,RaceCarClient:1,RaceCarClient,RaceCarClient:2,FlyweightMidgetCar:1,RaceCarClient:1,FlyweightMidgetCar:1
RaceCarClient:2,RaceCarClient,CarFactory,getRaceCar,RaceCarClient:3,RaceCarClient,CarFactory,getRaceCar,RaceCarClient:3,moveCar,FlyweightMidgetCar:1,moveCar,CarFactory,getRaceCar,FlyweightMidgetCar:1,RaceCarClient:2,RaceCarClient:3,RaceCarClient,RaceCarClient:2,FlyweightMidgetCar:1,RaceCarClient:3,FlyweightMidgetCar:1
RaceCarClient:3,RaceCarClient,CarFactory,getRaceCar,RaceCarClient:1,RaceCarClient,CarFactory,getRaceCar,RaceCarClient:1,moveCar,FlyweightMidgetCar:1,moveCar,CarFactory,getRaceCar,FlyweightMidgetCar:1,RaceCarClient:3,RaceCarClient:1,RaceCarClient,RaceCarClient:3,FlyweightMidgetCar:1,RaceCarClient:1,FlyweightMidgetCar:1
RaceCarClient:3,RaceCarClient,CarFactory,getRaceCar,RaceCarClient:2,RaceCarClient,CarFactory,getRaceCar,RaceCarClient:2,moveCar,FlyweightMidgetCar:1,moveCar,CarFactory,getRaceCar,FlyweightMidgetCar:1,RaceCarClient:3,RaceCarClient:2,RaceCarClient,RaceCarClient:3,FlyweightMidgetCar:1,RaceCarClient:2,FlyweightMidgetCar:1
RaceCarClient:4,RaceCarClient,CarFactory,getRaceCar,RaceCarClient:5,RaceCarClient,CarFactory,getRaceCar,RaceCarClient:5,moveCar,FlyweightSprintCar:1,moveCar,CarFactory,getRaceCar,FlyweightSprintCar:1,RaceCarClient:4,RaceCarClient:5,RaceCarClient,RaceCarClient:4,FlyweightSprintCar:1,RaceCarClient:5,FlyweightSprintCar:1
RaceCarClient:4,RaceCarClient,CarFactory,getRaceCar,RaceCarClient:6,RaceCarClient,CarFactory,getRaceCar,RaceCarClient:6,moveCar,FlyweightSprintCar:1,moveCar,CarFactory,getRaceCar,FlyweightSprintCar:1,RaceCarClient:4,RaceCarClient:6,RaceCarClient,RaceCarClient:4,FlyweightSprintCar:1,RaceCarClient:6,FlyweightSprintCar:1
RaceCarClient:5,RaceCarClient,CarFactory,getRaceCar,RaceCarClient:4,RaceCarClient,CarFactory,getRaceCar,RaceCarClient:4,moveCar,FlyweightSprintCar:1,moveCar,CarFactory,getRaceCar,FlyweightSprintCar:1,RaceCarClient:5,RaceCarClient:4,RaceCarClient,RaceCarClient:5,FlyweightSprintCar:1,RaceCarClient:4,FlyweightSprintCar:1
RaceCarClient:5,RaceCarClient,CarFactory,getRaceCar,RaceCarClient:6,RaceCarClient,CarFactory,getRaceCar,RaceCarClient:6,moveCar,FlyweightSprintCar:1,moveCar,CarFactory,getRaceCar,FlyweightSprintCar:1,RaceCarClient:5,RaceCarClient:6,RaceCarClient,RaceCarClient:5,FlyweightSprintCar:1,RaceCarClient:6,FlyweightSprintCar:1
RaceCarClient:6,RaceCarClient,CarFactory,getRaceCar,RaceCarClient:4,RaceCarClient,CarFactory,getRaceCar,RaceCarClient:4,moveCar,FlyweightSprintCar:1,moveCar,CarFactory,getRaceCar,FlyweightSprintCar:1,RaceCarClient:6,RaceCarClient:4,RaceCarClient,RaceCarClient:6,FlyweightSprintCar:1,RaceCarClient:4,FlyweightSprintCar:1
RaceCarClient:6,RaceCarClient,CarFactory,getRaceCar,RaceCarClient:5,RaceCarClient,CarFactory,getRaceCar,RaceCarClient:5,moveCar,FlyweightSprintCar:1,moveCar,CarFactory,getRaceCar,FlyweightSprintCar:1,RaceCarClient:6,RaceCarClient:5,RaceCarClient,RaceCarClient:6,FlyweightSprintCar:1,RaceCarClient:5,FlyweightSprintCar:1
