"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=RaceCarClientTest"
"main", "5", "RaceCarClientTest.java:5", "Method Call", "caller=SYSTEM, target=RaceCarClientTest#main:1"
"main", "6", "RaceCarClientTest.java:3", "Method Entered", ""
"main", "7", "RaceCarClientTest.java:3", "Variable Write", "context=RaceCarClientTest#main:1, args=java.lang.String[0] (id=21)"
"main", "8", "RaceCarClientTest.java:5", "Line Step", "file=RaceCarClientTest.java, line=5"
"main", "9", "RaceCarClientTest.java:6", "Line Step", "file=RaceCarClientTest.java, line=6"
"main", "10", "SYSTEM", "Type Load", "class=RaceCarClient"
"main", "11", "RaceCarClientTest.java:6", "New Object", "object=RaceCarClient:1"
"main", "12", "RaceCarClientTest.java:6", "Method Call", "caller=RaceCarClientTest#main:1, target=RaceCarClient:1#RaceCarClient:1"
"main", "13", "RaceCarClient.java:3", "Method Entered", ""
"main", "14", "RaceCarClient.java:3", "Variable Write", "context=RaceCarClient:1#RaceCarClient:1, name=""Midget"""
"main", "15", "RaceCarClient.java:3", "Line Step", "file=RaceCarClient.java, line=3"
"main", "16", "RaceCarClient.java:10", "Line Step", "file=RaceCarClient.java, line=10"
"main", "17", "RaceCarClient.java:10", "Field Write", "context=RaceCarClient:1, currentX=0"
"main", "18", "RaceCarClient.java:11", "Line Step", "file=RaceCarClient.java, line=11"
"main", "19", "RaceCarClient.java:11", "Field Write", "context=RaceCarClient:1, currentY=0"
"main", "20", "RaceCarClient.java:5", "Line Step", "file=RaceCarClient.java, line=5"
"main", "21", "SYSTEM", "Type Load", "class=CarFactory"
"main", "22", "SYSTEM", "Method Call", "caller=RaceCarClient:1#RaceCarClient:1, target=CarFactory#<clinit>:1"
"main", "23", "CarFactory.java:4", "Method Entered", ""
"main", "24", "CarFactory.java:5", "Field Write", "context=CarFactory, flyweights=java.util.HashMap (id=34)"
"main", "25", "CarFactory.java:5", "Method Exit", "returner=CarFactory#<clinit>:1, value=<void>"
"main", "26", "SYSTEM", "Method Returned", ""
"main", "27", "RaceCarClient.java:5", "Method Call", "caller=RaceCarClient:1#RaceCarClient:1, target=CarFactory#getRaceCar:1"
"main", "28", "CarFactory.java:7", "Method Entered", ""
"main", "29", "CarFactory.java:7", "Variable Write", "context=CarFactory#getRaceCar:1, key=""Midget"""
"main", "30", "CarFactory.java:8", "Line Step", "file=CarFactory.java, line=8"
"main", "31", "CarFactory.java:8", "Field Read", "context=CarFactory, flyweights"
"main", "32", "CarFactory.java:13", "Line Step", "file=CarFactory.java, line=13"
"main", "33", "CarFactory.java:16", "Line Step", "file=CarFactory.java, line=16"
"main", "34", "SYSTEM", "Type Load", "class=RaceCar"
"main", "35", "SYSTEM", "Type Load", "class=FlyweightMidgetCar"
"main", "36", "CarFactory.java:16", "New Object", "object=FlyweightMidgetCar:1"
"main", "37", "CarFactory.java:16", "Method Call", "caller=CarFactory#getRaceCar:1, target=FlyweightMidgetCar:1#FlyweightMidgetCar:1"
"main", "38", "FlyweightMidgetCar.java:6", "Method Entered", ""
"main", "39", "FlyweightMidgetCar.java:6", "Line Step", "file=FlyweightMidgetCar.java, line=6"
"main", "40", "FlyweightMidgetCar.java:6", "Method Call", "caller=FlyweightMidgetCar:1#FlyweightMidgetCar:1, target=RaceCar:1#RaceCar:1"
"main", "41", "RaceCar.java:2", "Method Entered", ""
"main", "42", "RaceCar.java:2", "Line Step", "file=RaceCar.java, line=2"
"main", "43", "RaceCar.java:2", "Method Exit", "returner=RaceCar:1#RaceCar:1, value=<void>"
"main", "44", "FlyweightMidgetCar.java:6", "Method Returned", ""
"main", "45", "FlyweightMidgetCar.java:8", "Line Step", "file=FlyweightMidgetCar.java, line=8"
"main", "46", "FlyweightMidgetCar.java:8", "Field Read", "context=FlyweightMidgetCar, num"
"main", "47", "FlyweightMidgetCar.java:8", "Field Write", "context=FlyweightMidgetCar, num=1"
"main", "48", "FlyweightMidgetCar.java:9", "Line Step", "file=FlyweightMidgetCar.java, line=9"
"main", "49", "FlyweightMidgetCar.java:9", "Method Exit", "returner=FlyweightMidgetCar:1#FlyweightMidgetCar:1, value=<void>"
"main", "50", "CarFactory.java:16", "Method Returned", ""
"main", "51", "CarFactory.java:16", "Line Step", "file=CarFactory.java, line=16"
"main", "52", "CarFactory.java:16", "Variable Write", "context=CarFactory#getRaceCar:1, raceCar=FlyweightMidgetCar:1"
"main", "53", "CarFactory.java:17", "Line Step", "file=CarFactory.java, line=17"
"main", "54", "CarFactory.java:17", "Field Write", "context=RaceCar:1, name=""Midget Car"""
"main", "55", "CarFactory.java:18", "Line Step", "file=CarFactory.java, line=18"
"main", "56", "CarFactory.java:18", "Field Write", "context=RaceCar:1, speed=140"
"main", "57", "CarFactory.java:19", "Line Step", "file=CarFactory.java, line=19"
"main", "58", "CarFactory.java:19", "Field Write", "context=RaceCar:1, horsePower=400"
"main", "59", "CarFactory.java:20", "Line Step", "file=CarFactory.java, line=20"
"main", "60", "CarFactory.java:30", "Line Step", "file=CarFactory.java, line=30"
"main", "61", "CarFactory.java:30", "Field Read", "context=CarFactory, flyweights"
"main", "62", "CarFactory.java:31", "Line Step", "file=CarFactory.java, line=31"
"main", "63", "CarFactory.java:31", "Variable Write", "context=CarFactory#getRaceCar:1, result=FlyweightMidgetCar:1"
"main", "64", "CarFactory.java:31", "Method Exit", "returner=CarFactory#getRaceCar:1, value=FlyweightMidgetCar:1"
"main", "65", "RaceCarClient.java:5", "Method Returned", ""
"main", "66", "RaceCarClient.java:5", "Line Step", "file=RaceCarClient.java, line=5"
"main", "67", "RaceCarClient.java:5", "Field Write", "context=RaceCarClient:1, raceCar=FlyweightMidgetCar:1"
"main", "68", "RaceCarClient.java:6", "Line Step", "file=RaceCarClient.java, line=6"
"main", "69", "RaceCarClient.java:6", "Method Exit", "returner=RaceCarClient:1#RaceCarClient:1, value=<void>"
"main", "70", "RaceCarClientTest.java:6", "Method Returned", ""
"main", "71", "RaceCarClientTest.java:6", "Line Step", "file=RaceCarClientTest.java, line=6"
"main", "72", "RaceCarClientTest.java:7", "Line Step", "file=RaceCarClientTest.java, line=7"
"main", "73", "RaceCarClientTest.java:7", "New Object", "object=RaceCarClient:2"
"main", "74", "RaceCarClientTest.java:7", "Method Call", "caller=RaceCarClientTest#main:1, target=RaceCarClient:2#RaceCarClient:2"
"main", "75", "RaceCarClient.java:3", "Method Entered", ""
"main", "76", "RaceCarClient.java:3", "Variable Write", "context=RaceCarClient:2#RaceCarClient:2, name=""Midget"""
"main", "77", "RaceCarClient.java:3", "Line Step", "file=RaceCarClient.java, line=3"
"main", "78", "RaceCarClient.java:10", "Line Step", "file=RaceCarClient.java, line=10"
"main", "79", "RaceCarClient.java:10", "Field Write", "context=RaceCarClient:2, currentX=0"
"main", "80", "RaceCarClient.java:11", "Line Step", "file=RaceCarClient.java, line=11"
"main", "81", "RaceCarClient.java:11", "Field Write", "context=RaceCarClient:2, currentY=0"
"main", "82", "RaceCarClient.java:5", "Line Step", "file=RaceCarClient.java, line=5"
"main", "83", "RaceCarClient.java:5", "Method Call", "caller=RaceCarClient:2#RaceCarClient:2, target=CarFactory#getRaceCar:2"
"main", "84", "CarFactory.java:7", "Method Entered", ""
"main", "85", "CarFactory.java:7", "Variable Write", "context=CarFactory#getRaceCar:2, key=""Midget"""
"main", "86", "CarFactory.java:8", "Line Step", "file=CarFactory.java, line=8"
"main", "87", "CarFactory.java:8", "Field Read", "context=CarFactory, flyweights"
"main", "88", "CarFactory.java:9", "Line Step", "file=CarFactory.java, line=9"
"main", "89", "CarFactory.java:9", "Field Read", "context=CarFactory, flyweights"
"main", "90", "CarFactory.java:9", "Variable Write", "context=CarFactory#getRaceCar:2, result=FlyweightMidgetCar:1"
"main", "91", "CarFactory.java:9", "Method Exit", "returner=CarFactory#getRaceCar:2, value=FlyweightMidgetCar:1"
"main", "92", "RaceCarClient.java:5", "Method Returned", ""
"main", "93", "RaceCarClient.java:5", "Line Step", "file=RaceCarClient.java, line=5"
"main", "94", "RaceCarClient.java:5", "Field Write", "context=RaceCarClient:2, raceCar=FlyweightMidgetCar:1"
"main", "95", "RaceCarClient.java:6", "Line Step", "file=RaceCarClient.java, line=6"
"main", "96", "RaceCarClient.java:6", "Method Exit", "returner=RaceCarClient:2#RaceCarClient:2, value=<void>"
"main", "97", "RaceCarClientTest.java:7", "Method Returned", ""
"main", "98", "RaceCarClientTest.java:7", "Line Step", "file=RaceCarClientTest.java, line=7"
"main", "99", "RaceCarClientTest.java:8", "Line Step", "file=RaceCarClientTest.java, line=8"
"main", "100", "RaceCarClientTest.java:8", "New Object", "object=RaceCarClient:3"
"main", "101", "RaceCarClientTest.java:8", "Method Call", "caller=RaceCarClientTest#main:1, target=RaceCarClient:3#RaceCarClient:3"
"main", "102", "RaceCarClient.java:3", "Method Entered", ""
"main", "103", "RaceCarClient.java:3", "Variable Write", "context=RaceCarClient:3#RaceCarClient:3, name=""Midget"""
