"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=Expression_Eval"
"main", "5", "Expression_Eval.java:18", "Method Call", "caller=SYSTEM, target=Expression_Eval#main:1"
"main", "6", "Expression_Eval.java:17", "Method Entered", ""
"main", "7", "Expression_Eval.java:17", "Variable Write", "context=Expression_Eval#main:1, args=java.lang.String[0] (id=23)"
"main", "8", "Expression_Eval.java:18", "Line Step", "file=Expression_Eval.java, line=18"
"main", "9", "Expression_Eval.java:18", "Method Call", "caller=Expression_Eval#main:1, target=Expression_Eval#getMaleExpression:1"
"main", "10", "Expression_Eval.java:4", "Method Entered", ""
"main", "11", "Expression_Eval.java:5", "Line Step", "file=Expression_Eval.java, line=5"
"main", "12", "SYSTEM", "Type Load", "class=TerminalExpression"
"main", "13", "Expression_Eval.java:5", "New Object", "object=TerminalExpression:1"
"main", "14", "Expression_Eval.java:5", "Method Call", "caller=Expression_Eval#getMaleExpression:1, target=TerminalExpression:1#TerminalExpression:1"
"main", "15", "Expression_Eval.java:59", "Method Entered", ""
"main", "16", "Expression_Eval.java:59", "Variable Write", "context=TerminalExpression:1#TerminalExpression:1, data=""Robert"""
"main", "17", "Expression_Eval.java:59", "Line Step", "file=Expression_Eval.java, line=59"
"main", "18", "Expression_Eval.java:60", "Line Step", "file=Expression_Eval.java, line=60"
"main", "19", "Expression_Eval.java:60", "Field Write", "context=TerminalExpression:1, data=""Robert"""
"main", "20", "Expression_Eval.java:61", "Line Step", "file=Expression_Eval.java, line=61"
"main", "21", "Expression_Eval.java:61", "Method Exit", "returner=TerminalExpression:1#TerminalExpression:1, value=<void>"
"main", "22", "Expression_Eval.java:5", "Method Returned", ""
"main", "23", "Expression_Eval.java:5", "Line Step", "file=Expression_Eval.java, line=5"
"main", "24", "Expression_Eval.java:5", "Variable Write", "context=Expression_Eval#getMaleExpression:1, robert=TerminalExpression:1"
"main", "25", "Expression_Eval.java:6", "Line Step", "file=Expression_Eval.java, line=6"
"main", "26", "Expression_Eval.java:6", "New Object", "object=TerminalExpression:2"
"main", "27", "Expression_Eval.java:6", "Method Call", "caller=Expression_Eval#getMaleExpression:1, target=TerminalExpression:2#TerminalExpression:2"
"main", "28", "Expression_Eval.java:59", "Method Entered", ""
"main", "29", "Expression_Eval.java:59", "Variable Write", "context=TerminalExpression:2#TerminalExpression:2, data=""John"""
"main", "30", "Expression_Eval.java:59", "Line Step", "file=Expression_Eval.java, line=59"
"main", "31", "Expression_Eval.java:60", "Line Step", "file=Expression_Eval.java, line=60"
"main", "32", "Expression_Eval.java:60", "Field Write", "context=TerminalExpression:2, data=""John"""
"main", "33", "Expression_Eval.java:61", "Line Step", "file=Expression_Eval.java, line=61"
"main", "34", "Expression_Eval.java:61", "Method Exit", "returner=TerminalExpression:2#TerminalExpression:2, value=<void>"
"main", "35", "Expression_Eval.java:6", "Method Returned", ""
"main", "36", "Expression_Eval.java:6", "Line Step", "file=Expression_Eval.java, line=6"
"main", "37", "Expression_Eval.java:6", "Variable Write", "context=Expression_Eval#getMaleExpression:1, john=TerminalExpression:2"
"main", "38", "Expression_Eval.java:7", "Line Step", "file=Expression_Eval.java, line=7"
"main", "39", "SYSTEM", "Type Load", "class=OrExpression"
"main", "40", "Expression_Eval.java:7", "New Object", "object=OrExpression:1"
"main", "41", "Expression_Eval.java:7", "Method Call", "caller=Expression_Eval#getMaleExpression:1, target=OrExpression:1#OrExpression:1"
"main", "42", "Expression_Eval.java:45", "Method Entered", ""
"main", "43", "Expression_Eval.java:45", "Variable Write", "context=OrExpression:1#OrExpression:1, expr1=TerminalExpression:1"
"main", "44", "Expression_Eval.java:45", "Variable Write", "context=OrExpression:1#OrExpression:1, expr2=TerminalExpression:2"
"main", "45", "Expression_Eval.java:45", "Line Step", "file=Expression_Eval.java, line=45"
"main", "46", "Expression_Eval.java:42", "Line Step", "file=Expression_Eval.java, line=42"
"main", "47", "Expression_Eval.java:42", "Field Write", "context=OrExpression:1, expr1=null"
"main", "48", "Expression_Eval.java:43", "Line Step", "file=Expression_Eval.java, line=43"
"main", "49", "Expression_Eval.java:43", "Field Write", "context=OrExpression:1, expr2=null"
"main", "50", "Expression_Eval.java:46", "Line Step", "file=Expression_Eval.java, line=46"
"main", "51", "Expression_Eval.java:46", "Field Write", "context=OrExpression:1, expr1=TerminalExpression:1"
"main", "52", "Expression_Eval.java:47", "Line Step", "file=Expression_Eval.java, line=47"
"main", "53", "Expression_Eval.java:47", "Field Write", "context=OrExpression:1, expr2=TerminalExpression:2"
"main", "54", "Expression_Eval.java:48", "Line Step", "file=Expression_Eval.java, line=48"
"main", "55", "Expression_Eval.java:48", "Method Exit", "returner=OrExpression:1#OrExpression:1, value=<void>"
"main", "56", "Expression_Eval.java:7", "Method Returned", ""
"main", "57", "Expression_Eval.java:7", "Line Step", "file=Expression_Eval.java, line=7"
"main", "58", "Expression_Eval.java:7", "Variable Write", "context=Expression_Eval#getMaleExpression:1, result=OrExpression:1"
"main", "59", "Expression_Eval.java:7", "Method Exit", "returner=Expression_Eval#getMaleExpression:1, value=OrExpression:1"
"main", "60", "Expression_Eval.java:18", "Method Returned", ""
"main", "61", "Expression_Eval.java:18", "Line Step", "file=Expression_Eval.java, line=18"
"main", "62", "Expression_Eval.java:18", "Variable Write", "context=Expression_Eval#main:1, isMale=OrExpression:1"
"main", "63", "Expression_Eval.java:19", "Line Step", "file=Expression_Eval.java, line=19"
"main", "64", "Expression_Eval.java:19", "Method Call", "caller=Expression_Eval#main:1, target=Expression_Eval#getMarriedWomanExpression:1"
"main", "65", "Expression_Eval.java:11", "Method Entered", ""
"main", "66", "Expression_Eval.java:12", "Line Step", "file=Expression_Eval.java, line=12"
"main", "67", "Expression_Eval.java:12", "New Object", "object=TerminalExpression:3"
"main", "68", "Expression_Eval.java:12", "Method Call", "caller=Expression_Eval#getMarriedWomanExpression:1, target=TerminalExpression:3#TerminalExpression:3"
"main", "69", "Expression_Eval.java:59", "Method Entered", ""
"main", "70", "Expression_Eval.java:59", "Variable Write", "context=TerminalExpression:3#TerminalExpression:3, data=""Julie"""
"main", "71", "Expression_Eval.java:59", "Line Step", "file=Expression_Eval.java, line=59"
"main", "72", "Expression_Eval.java:60", "Line Step", "file=Expression_Eval.java, line=60"
