"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=ExpressionParserTest"
"main", "5", "ExpressionParserTest.java:4", "Method Call", "caller=SYSTEM, target=ExpressionParserTest#main:1"
"main", "6", "ExpressionParserTest.java:3", "Method Entered", ""
"main", "7", "ExpressionParserTest.java:3", "Variable Write", "context=ExpressionParserTest#main:1, args=java.lang.String[0] (id=21)"
"main", "8", "ExpressionParserTest.java:4", "Line Step", "file=ExpressionParserTest.java, line=4"
"main", "9", "ExpressionParserTest.java:4", "Variable Write", "context=ExpressionParserTest#main:1, input=""2 1 5 + *"""
"main", "10", "ExpressionParserTest.java:5", "Line Step", "file=ExpressionParserTest.java, line=5"
"main", "11", "SYSTEM", "Type Load", "class=ExpressionParser"
"main", "12", "ExpressionParserTest.java:5", "New Object", "object=ExpressionParser:1"
"main", "13", "ExpressionParserTest.java:5", "Method Call", "caller=ExpressionParserTest#main:1, target=ExpressionParser:1#ExpressionParser:1"
"main", "14", "ExpressionParser.java:4", "Method Entered", ""
"main", "15", "ExpressionParser.java:3", "Line Step", "file=ExpressionParser.java, line=3"
"main", "16", "ExpressionParser.java:4", "Line Step", "file=ExpressionParser.java, line=4"
"main", "17", "ExpressionParser.java:4", "Field Write", "context=ExpressionParser:1, stack=java.util.Stack (id=29)"
"main", "18", "ExpressionParser.java:3", "Line Step", "file=ExpressionParser.java, line=3"
"main", "19", "ExpressionParser.java:3", "Method Exit", "returner=ExpressionParser:1#ExpressionParser:1, value=<void>"
"main", "20", "ExpressionParserTest.java:5", "Method Returned", ""
"main", "21", "ExpressionParserTest.java:5", "Line Step", "file=ExpressionParserTest.java, line=5"
"main", "22", "ExpressionParserTest.java:5", "Variable Write", "context=ExpressionParserTest#main:1, expressionParser=ExpressionParser:1"
"main", "23", "ExpressionParserTest.java:6", "Line Step", "file=ExpressionParserTest.java, line=6"
"main", "24", "ExpressionParserTest.java:6", "Method Call", "caller=ExpressionParserTest#main:1, target=ExpressionParser:1#parse:1"
"main", "25", "ExpressionParser.java:5", "Method Entered", ""
"main", "26", "ExpressionParser.java:5", "Variable Write", "context=ExpressionParser:1#parse:1, str=""2 1 5 + *"""
"main", "27", "ExpressionParser.java:6", "Line Step", "file=ExpressionParser.java, line=6"
"main", "28", "ExpressionParser.java:6", "Variable Write", "context=ExpressionParser:1#parse:1, tokenList=java.lang.String[5] (id=32)"
"main", "29", "ExpressionParser.java:7", "Line Step", "file=ExpressionParser.java, line=7"
"main", "30", "ExpressionParser.java:7", "Variable Write", "context=ExpressionParser:1#parse:1, symbol=""2"""
"main", "31", "ExpressionParser.java:8", "Line Step", "file=ExpressionParser.java, line=8"
"main", "32", "SYSTEM", "Type Load", "class=ParserUtil"
"main", "33", "ExpressionParser.java:8", "Method Call", "caller=ExpressionParser:1#parse:1, target=ParserUtil#isOperator:1"
"main", "34", "ParserUtil.java:3", "Method Entered", ""
"main", "35", "ParserUtil.java:3", "Variable Write", "context=ParserUtil#isOperator:1, symbol=""2"""
"main", "36", "ParserUtil.java:4", "Line Step", "file=ParserUtil.java, line=4"
"main", "37", "ParserUtil.java:4", "Variable Write", "context=ParserUtil#isOperator:1, result=false"
"main", "38", "ParserUtil.java:4", "Method Exit", "returner=ParserUtil#isOperator:1, value=false"
"main", "39", "ExpressionParser.java:8", "Method Returned", ""
"main", "40", "ExpressionParser.java:8", "Line Step", "file=ExpressionParser.java, line=8"
"main", "41", "ExpressionParser.java:9", "Line Step", "file=ExpressionParser.java, line=9"
"main", "42", "SYSTEM", "Type Load", "class=NumberExpression"
"main", "43", "ExpressionParser.java:9", "New Object", "object=NumberExpression:1"
"main", "44", "ExpressionParser.java:9", "Method Call", "caller=ExpressionParser:1#parse:1, target=NumberExpression:1#NumberExpression:1"
"main", "45", "NumberExpression.java:7", "Method Entered", ""
"main", "46", "NumberExpression.java:7", "Variable Write", "context=NumberExpression:1#NumberExpression:1, number=""2"""
"main", "47", "NumberExpression.java:7", "Line Step", "file=NumberExpression.java, line=7"
"main", "48", "NumberExpression.java:8", "Line Step", "file=NumberExpression.java, line=8"
"main", "49", "NumberExpression.java:8", "Field Write", "context=NumberExpression:1, number=2"
"main", "50", "NumberExpression.java:9", "Line Step", "file=NumberExpression.java, line=9"
"main", "51", "NumberExpression.java:9", "Method Exit", "returner=NumberExpression:1#NumberExpression:1, value=<void>"
"main", "52", "ExpressionParser.java:9", "Method Returned", ""
"main", "53", "ExpressionParser.java:9", "Line Step", "file=ExpressionParser.java, line=9"
"main", "54", "ExpressionParser.java:9", "Variable Write", "context=ExpressionParser:1#parse:1, numberExpression=NumberExpression:1"
"main", "55", "ExpressionParser.java:10", "Line Step", "file=ExpressionParser.java, line=10"
"main", "56", "ExpressionParser.java:10", "Field Read", "context=ExpressionParser:1, stack"
"main", "57", "ExpressionParser.java:11", "Line Step", "file=ExpressionParser.java, line=11"
"main", "58", "ExpressionParser.java:11", "Method Call", "caller=ExpressionParser:1#parse:1, target=NumberExpression:1#interpret:1"
"main", "59", "NumberExpression.java:11", "Method Entered", ""
"main", "60", "NumberExpression.java:12", "Line Step", "file=NumberExpression.java, line=12"
"main", "61", "NumberExpression.java:12", "Field Read", "context=NumberExpression:1, number"
"main", "62", "NumberExpression.java:12", "Variable Write", "context=NumberExpression:1#interpret:1, result=2"
"main", "63", "NumberExpression.java:12", "Method Exit", "returner=NumberExpression:1#interpret:1, value=2"
"main", "64", "ExpressionParser.java:11", "Method Returned", ""
"main", "65", "ExpressionParser.java:11", "Line Step", "file=ExpressionParser.java, line=11"
"main", "66", "ExpressionParser.java:12", "Line Step", "file=ExpressionParser.java, line=12"
"main", "67", "ExpressionParser.java:7", "Line Step", "file=ExpressionParser.java, line=7"
"main", "68", "ExpressionParser.java:7", "Variable Write", "context=ExpressionParser:1#parse:1, symbol=""1"""
"main", "69", "ExpressionParser.java:7", "Variable Delete", "method=ExpressionParser:1#parse:1 <name=numberExpression,type=Expression (id=113),value=<?>,index=3>"
"main", "70", "ExpressionParser.java:8", "Line Step", "file=ExpressionParser.java, line=8"
"main", "71", "ExpressionParser.java:8", "Method Call", "caller=ExpressionParser:1#parse:1, target=ParserUtil#isOperator:2"
"main", "72", "ParserUtil.java:3", "Method Entered", ""
"main", "73", "ParserUtil.java:3", "Variable Write", "context=ParserUtil#isOperator:2, symbol=""1"""
"main", "74", "ParserUtil.java:4", "Line Step", "file=ParserUtil.java, line=4"
"main", "75", "ParserUtil.java:4", "Variable Write", "context=ParserUtil#isOperator:2, result=false"
"main", "76", "ParserUtil.java:4", "Method Exit", "returner=ParserUtil#isOperator:2, value=false"
"main", "77", "ExpressionParser.java:8", "Method Returned", ""
"main", "78", "ExpressionParser.java:8", "Line Step", "file=ExpressionParser.java, line=8"
"main", "79", "ExpressionParser.java:9", "Line Step", "file=ExpressionParser.java, line=9"
"main", "80", "ExpressionParser.java:9", "New Object", "object=NumberExpression:2"
"main", "81", "ExpressionParser.java:9", "Method Call", "caller=ExpressionParser:1#parse:1, target=NumberExpression:2#NumberExpression:2"
"main", "82", "NumberExpression.java:7", "Method Entered", ""
"main", "83", "NumberExpression.java:7", "Variable Write", "context=NumberExpression:2#NumberExpression:2, number=""1"""
"main", "84", "NumberExpression.java:7", "Line Step", "file=NumberExpression.java, line=7"
"main", "85", "NumberExpression.java:8", "Line Step", "file=NumberExpression.java, line=8"
"main", "86", "NumberExpression.java:8", "Field Write", "context=NumberExpression:2, number=1"
"main", "87", "NumberExpression.java:9", "Line Step", "file=NumberExpression.java, line=9"
"main", "88", "NumberExpression.java:9", "Method Exit", "returner=NumberExpression:2#NumberExpression:2, value=<void>"
"main", "89", "ExpressionParser.java:9", "Method Returned", ""
"main", "90", "ExpressionParser.java:9", "Line Step", "file=ExpressionParser.java, line=9"
"main", "91", "ExpressionParser.java:9", "Variable Write", "context=ExpressionParser:1#parse:1, numberExpression=NumberExpression:2"
"main", "92", "ExpressionParser.java:10", "Line Step", "file=ExpressionParser.java, line=10"
"main", "93", "ExpressionParser.java:10", "Field Read", "context=ExpressionParser:1, stack"
"main", "94", "ExpressionParser.java:11", "Line Step", "file=ExpressionParser.java, line=11"
"main", "95", "ExpressionParser.java:11", "Method Call", "caller=ExpressionParser:1#parse:1, target=NumberExpression:2#interpret:2"
"main", "96", "NumberExpression.java:11", "Method Entered", ""
"main", "97", "NumberExpression.java:12", "Line Step", "file=NumberExpression.java, line=12"
"main", "98", "NumberExpression.java:12", "Field Read", "context=NumberExpression:2, number"
"main", "99", "NumberExpression.java:12", "Variable Write", "context=NumberExpression:2#interpret:2, result=1"
"main", "100", "NumberExpression.java:12", "Method Exit", "returner=NumberExpression:2#interpret:2, value=1"
"main", "101", "ExpressionParser.java:11", "Method Returned", ""
"main", "102", "ExpressionParser.java:11", "Line Step", "file=ExpressionParser.java, line=11"
"main", "103", "ExpressionParser.java:12", "Line Step", "file=ExpressionParser.java, line=12"
"main", "104", "ExpressionParser.java:7", "Line Step", "file=ExpressionParser.java, line=7"
