"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=ContactInfo"
"main", "5", "ContactInfo.java:10", "Method Call", "caller=SYSTEM, target=ContactInfo#main:1"
"main", "6", "ContactInfo.java:7", "Method Entered", ""
"main", "7", "ContactInfo.java:7", "Variable Write", "context=ContactInfo#main:1, args=java.lang.String[0] (id=21)"
"main", "8", "ContactInfo.java:10", "Line Step", "file=ContactInfo.java, line=10"
"main", "9", "ContactInfo.java:10", "Variable Write", "context=ContactInfo#main:1, con=java.util.ArrayList (id=23)"
"main", "10", "ContactInfo.java:11", "Line Step", "file=ContactInfo.java, line=11"
"main", "11", "SYSTEM", "Type Load", "class=Contact"
"main", "12", "ContactInfo.java:11", "New Object", "object=Contact:1"
"main", "13", "ContactInfo.java:11", "Method Call", "caller=ContactInfo#main:1, target=Contact:1#Contact:1"
"main", "14", "ContactInfo.java:168", "Method Entered", ""
"main", "15", "ContactInfo.java:168", "Variable Write", "context=Contact:1#Contact:1, birthYear=2000"
"main", "16", "ContactInfo.java:168", "Variable Write", "context=Contact:1#Contact:1, phoneNumber=""0495812459"""
"main", "17", "ContactInfo.java:168", "Variable Write", "context=Contact:1#Contact:1, name=""John Doe"""
"main", "18", "ContactInfo.java:168", "Line Step", "file=ContactInfo.java, line=168"
"main", "19", "ContactInfo.java:169", "Line Step", "file=ContactInfo.java, line=169"
"main", "20", "ContactInfo.java:169", "Field Write", "context=Contact:1, name=""John Doe"""
"main", "21", "ContactInfo.java:170", "Line Step", "file=ContactInfo.java, line=170"
"main", "22", "ContactInfo.java:170", "Field Write", "context=Contact:1, phoneNumber=""0495812459"""
"main", "23", "ContactInfo.java:171", "Line Step", "file=ContactInfo.java, line=171"
"main", "24", "ContactInfo.java:171", "Field Write", "context=Contact:1, birthYear=2000"
"main", "25", "ContactInfo.java:172", "Line Step", "file=ContactInfo.java, line=172"
"main", "26", "ContactInfo.java:172", "Method Exit", "returner=Contact:1#Contact:1, value=<void>"
"main", "27", "ContactInfo.java:11", "Method Returned", ""
"main", "28", "ContactInfo.java:11", "Line Step", "file=ContactInfo.java, line=11"
"main", "29", "ContactInfo.java:11", "Variable Write", "context=ContactInfo#main:1, john=Contact:1"
"main", "30", "ContactInfo.java:12", "Line Step", "file=ContactInfo.java, line=12"
"main", "31", "ContactInfo.java:12", "New Object", "object=Contact:2"
"main", "32", "ContactInfo.java:12", "Method Call", "caller=ContactInfo#main:1, target=Contact:2#Contact:2"
"main", "33", "ContactInfo.java:168", "Method Entered", ""
"main", "34", "ContactInfo.java:168", "Variable Write", "context=Contact:2#Contact:2, birthYear=2002"
"main", "35", "ContactInfo.java:168", "Variable Write", "context=Contact:2#Contact:2, phoneNumber=""0495812457"""
"main", "36", "ContactInfo.java:168", "Variable Write", "context=Contact:2#Contact:2, name=""Jane Doe"""
"main", "37", "ContactInfo.java:168", "Line Step", "file=ContactInfo.java, line=168"
"main", "38", "ContactInfo.java:169", "Line Step", "file=ContactInfo.java, line=169"
"main", "39", "ContactInfo.java:169", "Field Write", "context=Contact:2, name=""Jane Doe"""
"main", "40", "ContactInfo.java:170", "Line Step", "file=ContactInfo.java, line=170"
"main", "41", "ContactInfo.java:170", "Field Write", "context=Contact:2, phoneNumber=""0495812457"""
"main", "42", "ContactInfo.java:171", "Line Step", "file=ContactInfo.java, line=171"
"main", "43", "ContactInfo.java:171", "Field Write", "context=Contact:2, birthYear=2002"
"main", "44", "ContactInfo.java:172", "Line Step", "file=ContactInfo.java, line=172"
"main", "45", "ContactInfo.java:172", "Method Exit", "returner=Contact:2#Contact:2, value=<void>"
"main", "46", "ContactInfo.java:12", "Method Returned", ""
"main", "47", "ContactInfo.java:12", "Line Step", "file=ContactInfo.java, line=12"
"main", "48", "ContactInfo.java:12", "Variable Write", "context=ContactInfo#main:1, jane=Contact:2"
"main", "49", "ContactInfo.java:13", "Line Step", "file=ContactInfo.java, line=13"
"main", "50", "ContactInfo.java:13", "New Object", "object=Contact:3"
"main", "51", "ContactInfo.java:13", "Method Call", "caller=ContactInfo#main:1, target=Contact:3#Contact:3"
"main", "52", "ContactInfo.java:168", "Method Entered", ""
"main", "53", "ContactInfo.java:168", "Variable Write", "context=Contact:3#Contact:3, birthYear=1999"
"main", "54", "ContactInfo.java:168", "Variable Write", "context=Contact:3#Contact:3, phoneNumber=""0495812453"""
"main", "55", "ContactInfo.java:168", "Variable Write", "context=Contact:3#Contact:3, name=""Bob Bobbings"""
"main", "56", "ContactInfo.java:168", "Line Step", "file=ContactInfo.java, line=168"
"main", "57", "ContactInfo.java:169", "Line Step", "file=ContactInfo.java, line=169"
"main", "58", "ContactInfo.java:169", "Field Write", "context=Contact:3, name=""Bob Bobbings"""
"main", "59", "ContactInfo.java:170", "Line Step", "file=ContactInfo.java, line=170"
"main", "60", "ContactInfo.java:170", "Field Write", "context=Contact:3, phoneNumber=""0495812453"""
"main", "61", "ContactInfo.java:171", "Line Step", "file=ContactInfo.java, line=171"
"main", "62", "ContactInfo.java:171", "Field Write", "context=Contact:3, birthYear=1999"
"main", "63", "ContactInfo.java:172", "Line Step", "file=ContactInfo.java, line=172"
"main", "64", "ContactInfo.java:172", "Method Exit", "returner=Contact:3#Contact:3, value=<void>"
"main", "65", "ContactInfo.java:13", "Method Returned", ""
"main", "66", "ContactInfo.java:13", "Line Step", "file=ContactInfo.java, line=13"
"main", "67", "ContactInfo.java:13", "Variable Write", "context=ContactInfo#main:1, bob=Contact:3"
"main", "68", "ContactInfo.java:14", "Line Step", "file=ContactInfo.java, line=14"
"main", "69", "ContactInfo.java:14", "New Object", "object=Contact:4"
"main", "70", "ContactInfo.java:14", "Method Call", "caller=ContactInfo#main:1, target=Contact:4#Contact:4"
"main", "71", "ContactInfo.java:168", "Method Entered", ""
"main", "72", "ContactInfo.java:168", "Variable Write", "context=Contact:4#Contact:4, birthYear=2001"
"main", "73", "ContactInfo.java:168", "Variable Write", "context=Contact:4#Contact:4, phoneNumber=""0495812451"""
"main", "74", "ContactInfo.java:168", "Variable Write", "context=Contact:4#Contact:4, name=""Tom Tommings"""
"main", "75", "ContactInfo.java:168", "Line Step", "file=ContactInfo.java, line=168"
"main", "76", "ContactInfo.java:169", "Line Step", "file=ContactInfo.java, line=169"
"main", "77", "ContactInfo.java:169", "Field Write", "context=Contact:4, name=""Tom Tommings"""
"main", "78", "ContactInfo.java:170", "Line Step", "file=ContactInfo.java, line=170"
"main", "79", "ContactInfo.java:170", "Field Write", "context=Contact:4, phoneNumber=""0495812451"""
"main", "80", "ContactInfo.java:171", "Line Step", "file=ContactInfo.java, line=171"
"main", "81", "ContactInfo.java:171", "Field Write", "context=Contact:4, birthYear=2001"
"main", "82", "ContactInfo.java:172", "Line Step", "file=ContactInfo.java, line=172"
"main", "83", "ContactInfo.java:172", "Method Exit", "returner=Contact:4#Contact:4, value=<void>"
"main", "84", "ContactInfo.java:14", "Method Returned", ""
"main", "85", "ContactInfo.java:14", "Line Step", "file=ContactInfo.java, line=14"
"main", "86", "ContactInfo.java:14", "Variable Write", "context=ContactInfo#main:1, tom=Contact:4"
"main", "87", "ContactInfo.java:15", "Line Step", "file=ContactInfo.java, line=15"
"main", "88", "ContactInfo.java:16", "Line Step", "file=ContactInfo.java, line=16"
"main", "89", "ContactInfo.java:17", "Line Step", "file=ContactInfo.java, line=17"
"main", "90", "ContactInfo.java:18", "Line Step", "file=ContactInfo.java, line=18"
"main", "91", "ContactInfo.java:19", "Line Step", "file=ContactInfo.java, line=19"
"main", "92", "SYSTEM", "Type Load", "class=ContactBook"
"main", "93", "ContactInfo.java:19", "New Object", "object=ContactBook:1"
"main", "94", "ContactInfo.java:19", "Method Call", "caller=ContactInfo#main:1, target=ContactBook:1#ContactBook:1"
"main", "95", "ContactInfo.java:51", "Method Entered", ""
"main", "96", "ContactInfo.java:51", "Variable Write", "context=ContactBook:1#ContactBook:1, contact=java.util.ArrayList (id=23)"
"main", "97", "ContactInfo.java:51", "Line Step", "file=ContactInfo.java, line=51"
"main", "98", "ContactInfo.java:52", "Line Step", "file=ContactInfo.java, line=52"
"main", "99", "ContactInfo.java:52", "Field Write", "context=ContactBook:1, contacts=java.util.ArrayList (id=23)"
"main", "100", "ContactInfo.java:53", "Line Step", "file=ContactInfo.java, line=53"
"main", "101", "ContactInfo.java:53", "Method Exit", "returner=ContactBook:1#ContactBook:1, value=<void>"
"main", "102", "ContactInfo.java:19", "Method Returned", ""
"main", "103", "ContactInfo.java:19", "Line Step", "file=ContactInfo.java, line=19"
"main", "104", "ContactInfo.java:19", "Variable Write", "context=ContactInfo#main:1, contactBook=ContactBook:1"
"main", "105", "ContactInfo.java:24", "Line Step", "file=ContactInfo.java, line=24"
"main", "106", "ContactInfo.java:24", "Method Call", "caller=ContactInfo#main:1, target=ContactBook:1#createAscendingNameIterator:1"
"main", "107", "ContactInfo.java:56", "Method Entered", ""
"main", "108", "ContactInfo.java:57", "Line Step", "file=ContactInfo.java, line=57"
