x,m,y,y,n,p,q,z,s,w
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:1,isLastPattern,DesignPattern:1
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:1,isLastPattern,DesignPattern:2
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:1,isLastPattern,DesignPattern:3
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:1,isLastPattern,DesignPattern:4
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:1,isLastPattern,DesignPattern:5
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:1,isLastPattern,DesignPattern:6
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:1,isLastPattern,PatternIteratorImpl:2
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:1,nextPattern,DesignPattern:1
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:1,nextPattern,DesignPattern:2
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:1,nextPattern,DesignPattern:3
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:1,nextPattern,DesignPattern:4
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:1,nextPattern,DesignPattern:5
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:1,nextPattern,DesignPattern:6
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:1,nextPattern,PatternIteratorImpl:2
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:2,isLastPattern,DesignPattern:1
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:2,isLastPattern,DesignPattern:2
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:2,isLastPattern,DesignPattern:3
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:2,isLastPattern,DesignPattern:4
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:2,isLastPattern,DesignPattern:5
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:2,isLastPattern,DesignPattern:6
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:2,isLastPattern,PatternIteratorImpl:1
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:2,nextPattern,DesignPattern:1
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:2,nextPattern,DesignPattern:2
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:2,nextPattern,DesignPattern:3
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:2,nextPattern,DesignPattern:4
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:2,nextPattern,DesignPattern:5
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:2,nextPattern,DesignPattern:6
PatternAggregateImplTest,main,PatternAggregateImpl:1,PatternAggregateImpl,addPattern,printPatterns,getPatternIterator,PatternIteratorImpl:2,nextPattern,PatternIteratorImpl:1
