"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=PatternAggregateImplTest"
"main", "5", "PatternAggregateImplTest.java:4", "Method Call", "caller=SYSTEM, target=PatternAggregateImplTest#main:1"
"main", "6", "PatternAggregateImplTest.java:3", "Method Entered", ""
"main", "7", "PatternAggregateImplTest.java:3", "Variable Write", "context=PatternAggregateImplTest#main:1, args=java.lang.String[0] (id=23)"
"main", "8", "PatternAggregateImplTest.java:4", "Line Step", "file=PatternAggregateImplTest.java, line=4"
"main", "9", "SYSTEM", "Type Load", "class=DesignPattern"
"main", "10", "PatternAggregateImplTest.java:4", "New Object", "object=DesignPattern:1"
"main", "11", "PatternAggregateImplTest.java:4", "Method Call", "caller=PatternAggregateImplTest#main:1, target=DesignPattern:1#DesignPattern:1"
"main", "12", "DesignPattern.java:5", "Method Entered", ""
"main", "13", "DesignPattern.java:5", "Variable Write", "context=DesignPattern:1#DesignPattern:1, patternType=""Creational"""
"main", "14", "DesignPattern.java:5", "Variable Write", "context=DesignPattern:1#DesignPattern:1, patternName=""Factory Method"""
"main", "15", "DesignPattern.java:5", "Line Step", "file=DesignPattern.java, line=5"
"main", "16", "DesignPattern.java:6", "Line Step", "file=DesignPattern.java, line=6"
"main", "17", "DesignPattern.java:6", "Field Write", "context=DesignPattern:1, patternType=""Creational"""
"main", "18", "DesignPattern.java:7", "Line Step", "file=DesignPattern.java, line=7"
"main", "19", "DesignPattern.java:7", "Field Write", "context=DesignPattern:1, patternName=""Factory Method"""
"main", "20", "DesignPattern.java:8", "Line Step", "file=DesignPattern.java, line=8"
"main", "21", "DesignPattern.java:8", "Method Exit", "returner=DesignPattern:1#DesignPattern:1, value=<void>"
"main", "22", "PatternAggregateImplTest.java:4", "Method Returned", ""
"main", "23", "PatternAggregateImplTest.java:4", "Line Step", "file=PatternAggregateImplTest.java, line=4"
"main", "24", "PatternAggregateImplTest.java:4", "Variable Write", "context=PatternAggregateImplTest#main:1, pattern1=DesignPattern:1"
"main", "25", "PatternAggregateImplTest.java:5", "Line Step", "file=PatternAggregateImplTest.java, line=5"
"main", "26", "PatternAggregateImplTest.java:5", "New Object", "object=DesignPattern:2"
"main", "27", "PatternAggregateImplTest.java:5", "Method Call", "caller=PatternAggregateImplTest#main:1, target=DesignPattern:2#DesignPattern:2"
"main", "28", "DesignPattern.java:5", "Method Entered", ""
"main", "29", "DesignPattern.java:5", "Variable Write", "context=DesignPattern:2#DesignPattern:2, patternType=""Creational"""
"main", "30", "DesignPattern.java:5", "Variable Write", "context=DesignPattern:2#DesignPattern:2, patternName=""Abstract Factory"""
"main", "31", "DesignPattern.java:5", "Line Step", "file=DesignPattern.java, line=5"
"main", "32", "DesignPattern.java:6", "Line Step", "file=DesignPattern.java, line=6"
"main", "33", "DesignPattern.java:6", "Field Write", "context=DesignPattern:2, patternType=""Creational"""
"main", "34", "DesignPattern.java:7", "Line Step", "file=DesignPattern.java, line=7"
"main", "35", "DesignPattern.java:7", "Field Write", "context=DesignPattern:2, patternName=""Abstract Factory"""
"main", "36", "DesignPattern.java:8", "Line Step", "file=DesignPattern.java, line=8"
"main", "37", "DesignPattern.java:8", "Method Exit", "returner=DesignPattern:2#DesignPattern:2, value=<void>"
"main", "38", "PatternAggregateImplTest.java:5", "Method Returned", ""
"main", "39", "PatternAggregateImplTest.java:5", "Line Step", "file=PatternAggregateImplTest.java, line=5"
"main", "40", "PatternAggregateImplTest.java:5", "Variable Write", "context=PatternAggregateImplTest#main:1, pattern2=DesignPattern:2"
"main", "41", "PatternAggregateImplTest.java:6", "Line Step", "file=PatternAggregateImplTest.java, line=6"
"main", "42", "PatternAggregateImplTest.java:6", "New Object", "object=DesignPattern:3"
"main", "43", "PatternAggregateImplTest.java:6", "Method Call", "caller=PatternAggregateImplTest#main:1, target=DesignPattern:3#DesignPattern:3"
"main", "44", "DesignPattern.java:5", "Method Entered", ""
"main", "45", "DesignPattern.java:5", "Variable Write", "context=DesignPattern:3#DesignPattern:3, patternType=""Structural"""
"main", "46", "DesignPattern.java:5", "Variable Write", "context=DesignPattern:3#DesignPattern:3, patternName=""Adapter"""
"main", "47", "DesignPattern.java:5", "Line Step", "file=DesignPattern.java, line=5"
"main", "48", "DesignPattern.java:6", "Line Step", "file=DesignPattern.java, line=6"
"main", "49", "DesignPattern.java:6", "Field Write", "context=DesignPattern:3, patternType=""Structural"""
"main", "50", "DesignPattern.java:7", "Line Step", "file=DesignPattern.java, line=7"
"main", "51", "DesignPattern.java:7", "Field Write", "context=DesignPattern:3, patternName=""Adapter"""
"main", "52", "DesignPattern.java:8", "Line Step", "file=DesignPattern.java, line=8"
"main", "53", "DesignPattern.java:8", "Method Exit", "returner=DesignPattern:3#DesignPattern:3, value=<void>"
"main", "54", "PatternAggregateImplTest.java:6", "Method Returned", ""
"main", "55", "PatternAggregateImplTest.java:6", "Line Step", "file=PatternAggregateImplTest.java, line=6"
"main", "56", "PatternAggregateImplTest.java:6", "Variable Write", "context=PatternAggregateImplTest#main:1, pattern3=DesignPattern:3"
"main", "57", "PatternAggregateImplTest.java:7", "Line Step", "file=PatternAggregateImplTest.java, line=7"
"main", "58", "PatternAggregateImplTest.java:7", "New Object", "object=DesignPattern:4"
"main", "59", "PatternAggregateImplTest.java:7", "Method Call", "caller=PatternAggregateImplTest#main:1, target=DesignPattern:4#DesignPattern:4"
"main", "60", "DesignPattern.java:5", "Method Entered", ""
"main", "61", "DesignPattern.java:5", "Variable Write", "context=DesignPattern:4#DesignPattern:4, patternType=""Structural"""
"main", "62", "DesignPattern.java:5", "Variable Write", "context=DesignPattern:4#DesignPattern:4, patternName=""Bridge"""
"main", "63", "DesignPattern.java:5", "Line Step", "file=DesignPattern.java, line=5"
"main", "64", "DesignPattern.java:6", "Line Step", "file=DesignPattern.java, line=6"
"main", "65", "DesignPattern.java:6", "Field Write", "context=DesignPattern:4, patternType=""Structural"""
"main", "66", "DesignPattern.java:7", "Line Step", "file=DesignPattern.java, line=7"
"main", "67", "DesignPattern.java:7", "Field Write", "context=DesignPattern:4, patternName=""Bridge"""
"main", "68", "DesignPattern.java:8", "Line Step", "file=DesignPattern.java, line=8"
"main", "69", "DesignPattern.java:8", "Method Exit", "returner=DesignPattern:4#DesignPattern:4, value=<void>"
"main", "70", "PatternAggregateImplTest.java:7", "Method Returned", ""
"main", "71", "PatternAggregateImplTest.java:7", "Line Step", "file=PatternAggregateImplTest.java, line=7"
"main", "72", "PatternAggregateImplTest.java:7", "Variable Write", "context=PatternAggregateImplTest#main:1, pattern4=DesignPattern:4"
"main", "73", "PatternAggregateImplTest.java:8", "Line Step", "file=PatternAggregateImplTest.java, line=8"
"main", "74", "PatternAggregateImplTest.java:8", "New Object", "object=DesignPattern:5"
"main", "75", "PatternAggregateImplTest.java:8", "Method Call", "caller=PatternAggregateImplTest#main:1, target=DesignPattern:5#DesignPattern:5"
"main", "76", "DesignPattern.java:5", "Method Entered", ""
"main", "77", "DesignPattern.java:5", "Variable Write", "context=DesignPattern:5#DesignPattern:5, patternType=""Behavioral"""
"main", "78", "DesignPattern.java:5", "Variable Write", "context=DesignPattern:5#DesignPattern:5, patternName=""Chain of Responsibility"""
"main", "79", "DesignPattern.java:5", "Line Step", "file=DesignPattern.java, line=5"
"main", "80", "DesignPattern.java:6", "Line Step", "file=DesignPattern.java, line=6"
"main", "81", "DesignPattern.java:6", "Field Write", "context=DesignPattern:5, patternType=""Behavioral"""
"main", "82", "DesignPattern.java:7", "Line Step", "file=DesignPattern.java, line=7"
"main", "83", "DesignPattern.java:7", "Field Write", "context=DesignPattern:5, patternName=""Chain of Responsibility"""
"main", "84", "DesignPattern.java:8", "Line Step", "file=DesignPattern.java, line=8"
"main", "85", "DesignPattern.java:8", "Method Exit", "returner=DesignPattern:5#DesignPattern:5, value=<void>"
"main", "86", "PatternAggregateImplTest.java:8", "Method Returned", ""
"main", "87", "PatternAggregateImplTest.java:8", "Line Step", "file=PatternAggregateImplTest.java, line=8"
"main", "88", "PatternAggregateImplTest.java:8", "Variable Write", "context=PatternAggregateImplTest#main:1, pattern5=DesignPattern:5"
"main", "89", "PatternAggregateImplTest.java:9", "Line Step", "file=PatternAggregateImplTest.java, line=9"
"main", "90", "PatternAggregateImplTest.java:9", "New Object", "object=DesignPattern:6"
"main", "91", "PatternAggregateImplTest.java:9", "Method Call", "caller=PatternAggregateImplTest#main:1, target=DesignPattern:6#DesignPattern:6"
"main", "92", "DesignPattern.java:5", "Method Entered", ""
"main", "93", "DesignPattern.java:5", "Variable Write", "context=DesignPattern:6#DesignPattern:6, patternType=""Behavioral"""
"main", "94", "DesignPattern.java:5", "Variable Write", "context=DesignPattern:6#DesignPattern:6, patternName=""Iterator"""
"main", "95", "DesignPattern.java:5", "Line Step", "file=DesignPattern.java, line=5"
"main", "96", "DesignPattern.java:6", "Line Step", "file=DesignPattern.java, line=6"
"main", "97", "DesignPattern.java:6", "Field Write", "context=DesignPattern:6, patternType=""Behavioral"""
