x,m,y,y,x,m,z,z,x,m,y,n,z,q,y,s,y,r,z,q,y,z,z,y
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,CommanderImplTest,main,SoldierUnit:1,SoldierUnit,CommanderImplTest,main,CommanderImpl:1,ceaseAttack,SoldierUnit:1,attack,CommanderImpl:1,canAttack,CommanderImpl:1,startAttack,SoldierUnit:1,attack,CommanderImpl:1,SoldierUnit:1,SoldierUnit:1,CommanderImpl:1
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,CommanderImplTest,main,SoldierUnit:1,SoldierUnit,CommanderImplTest,main,CommanderImpl:1,ceaseAttack,SoldierUnit:1,attack,CommanderImpl:1,setAttackStatus,CommanderImpl:1,startAttack,SoldierUnit:1,attack,CommanderImpl:1,SoldierUnit:1,SoldierUnit:1,CommanderImpl:1
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,CommanderImplTest,main,SoldierUnit:1,SoldierUnit,CommanderImplTest,main,CommanderImpl:1,ceaseAttack,SoldierUnit:1,stopAttack,CommanderImpl:1,setAttackStatus,CommanderImpl:1,ceaseAttack,SoldierUnit:1,stopAttack,CommanderImpl:1,SoldierUnit:1,SoldierUnit:1,CommanderImpl:1
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,CommanderImplTest,main,SoldierUnit:1,SoldierUnit,CommanderImplTest,main,CommanderImpl:1,CommanderImpl,SoldierUnit:1,attack,CommanderImpl:1,canAttack,CommanderImpl:1,startAttack,SoldierUnit:1,attack,CommanderImpl:1,SoldierUnit:1,SoldierUnit:1,CommanderImpl:1
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,CommanderImplTest,main,SoldierUnit:1,SoldierUnit,CommanderImplTest,main,CommanderImpl:1,CommanderImpl,SoldierUnit:1,attack,CommanderImpl:1,setAttackStatus,CommanderImpl:1,startAttack,SoldierUnit:1,attack,CommanderImpl:1,SoldierUnit:1,SoldierUnit:1,CommanderImpl:1
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,CommanderImplTest,main,SoldierUnit:1,SoldierUnit,CommanderImplTest,main,CommanderImpl:1,CommanderImpl,SoldierUnit:1,stopAttack,CommanderImpl:1,setAttackStatus,CommanderImpl:1,ceaseAttack,SoldierUnit:1,stopAttack,CommanderImpl:1,SoldierUnit:1,SoldierUnit:1,CommanderImpl:1
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,CommanderImplTest,main,SoldierUnit:1,SoldierUnit,CommanderImplTest,main,CommanderImpl:1,registerArmedUnits,SoldierUnit:1,attack,CommanderImpl:1,canAttack,CommanderImpl:1,startAttack,SoldierUnit:1,attack,CommanderImpl:1,SoldierUnit:1,SoldierUnit:1,CommanderImpl:1
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,CommanderImplTest,main,SoldierUnit:1,SoldierUnit,CommanderImplTest,main,CommanderImpl:1,registerArmedUnits,SoldierUnit:1,attack,CommanderImpl:1,setAttackStatus,CommanderImpl:1,startAttack,SoldierUnit:1,attack,CommanderImpl:1,SoldierUnit:1,SoldierUnit:1,CommanderImpl:1
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,CommanderImplTest,main,SoldierUnit:1,SoldierUnit,CommanderImplTest,main,CommanderImpl:1,registerArmedUnits,SoldierUnit:1,stopAttack,CommanderImpl:1,setAttackStatus,CommanderImpl:1,ceaseAttack,SoldierUnit:1,stopAttack,CommanderImpl:1,SoldierUnit:1,SoldierUnit:1,CommanderImpl:1
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,CommanderImplTest,main,SoldierUnit:1,SoldierUnit,CommanderImplTest,main,CommanderImpl:1,startAttack,SoldierUnit:1,attack,CommanderImpl:1,canAttack,CommanderImpl:1,startAttack,SoldierUnit:1,attack,CommanderImpl:1,SoldierUnit:1,SoldierUnit:1,CommanderImpl:1
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,CommanderImplTest,main,SoldierUnit:1,SoldierUnit,CommanderImplTest,main,CommanderImpl:1,startAttack,SoldierUnit:1,attack,CommanderImpl:1,setAttackStatus,CommanderImpl:1,startAttack,SoldierUnit:1,attack,CommanderImpl:1,SoldierUnit:1,SoldierUnit:1,CommanderImpl:1
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,CommanderImplTest,main,SoldierUnit:1,SoldierUnit,CommanderImplTest,main,CommanderImpl:1,startAttack,SoldierUnit:1,stopAttack,CommanderImpl:1,setAttackStatus,CommanderImpl:1,ceaseAttack,SoldierUnit:1,stopAttack,CommanderImpl:1,SoldierUnit:1,SoldierUnit:1,CommanderImpl:1
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,CommanderImplTest,main,TankUnit:1,TankUnit,CommanderImplTest,main,CommanderImpl:1,ceaseAttack,TankUnit:1,attack,CommanderImpl:1,canAttack,CommanderImpl:1,startAttack,TankUnit:1,attack,CommanderImpl:1,TankUnit:1,TankUnit:1,CommanderImpl:1
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,CommanderImplTest,main,TankUnit:1,TankUnit,CommanderImplTest,main,CommanderImpl:1,ceaseAttack,TankUnit:1,attack,CommanderImpl:1,setAttackStatus,CommanderImpl:1,startAttack,TankUnit:1,attack,CommanderImpl:1,TankUnit:1,TankUnit:1,CommanderImpl:1
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,CommanderImplTest,main,TankUnit:1,TankUnit,CommanderImplTest,main,CommanderImpl:1,CommanderImpl,TankUnit:1,attack,CommanderImpl:1,canAttack,CommanderImpl:1,startAttack,TankUnit:1,attack,CommanderImpl:1,TankUnit:1,TankUnit:1,CommanderImpl:1
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,CommanderImplTest,main,TankUnit:1,TankUnit,CommanderImplTest,main,CommanderImpl:1,CommanderImpl,TankUnit:1,attack,CommanderImpl:1,setAttackStatus,CommanderImpl:1,startAttack,TankUnit:1,attack,CommanderImpl:1,TankUnit:1,TankUnit:1,CommanderImpl:1
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,CommanderImplTest,main,TankUnit:1,TankUnit,CommanderImplTest,main,CommanderImpl:1,registerArmedUnits,TankUnit:1,attack,CommanderImpl:1,canAttack,CommanderImpl:1,startAttack,TankUnit:1,attack,CommanderImpl:1,TankUnit:1,TankUnit:1,CommanderImpl:1
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,CommanderImplTest,main,TankUnit:1,TankUnit,CommanderImplTest,main,CommanderImpl:1,registerArmedUnits,TankUnit:1,attack,CommanderImpl:1,setAttackStatus,CommanderImpl:1,startAttack,TankUnit:1,attack,CommanderImpl:1,TankUnit:1,TankUnit:1,CommanderImpl:1
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,CommanderImplTest,main,TankUnit:1,TankUnit,CommanderImplTest,main,CommanderImpl:1,startAttack,TankUnit:1,attack,CommanderImpl:1,canAttack,CommanderImpl:1,startAttack,TankUnit:1,attack,CommanderImpl:1,TankUnit:1,TankUnit:1,CommanderImpl:1
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,CommanderImplTest,main,TankUnit:1,TankUnit,CommanderImplTest,main,CommanderImpl:1,startAttack,TankUnit:1,attack,CommanderImpl:1,setAttackStatus,CommanderImpl:1,startAttack,TankUnit:1,attack,CommanderImpl:1,TankUnit:1,TankUnit:1,CommanderImpl:1
