x,m,y,y,z,z,n,q,s,r
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,SoldierUnit:1,SoldierUnit,ceaseAttack,attack,canAttack,startAttack
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,SoldierUnit:1,SoldierUnit,ceaseAttack,attack,setAttackStatus,startAttack
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,SoldierUnit:1,SoldierUnit,ceaseAttack,stopAttack,setAttackStatus,ceaseAttack
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,SoldierUnit:1,SoldierUnit,CommanderImpl,attack,canAttack,startAttack
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,SoldierUnit:1,SoldierUnit,CommanderImpl,attack,setAttackStatus,startAttack
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,SoldierUnit:1,SoldierUnit,CommanderImpl,stopAttack,setAttackStatus,ceaseAttack
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,SoldierUnit:1,SoldierUnit,registerArmedUnits,attack,canAttack,startAttack
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,SoldierUnit:1,SoldierUnit,registerArmedUnits,attack,setAttackStatus,startAttack
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,SoldierUnit:1,SoldierUnit,registerArmedUnits,stopAttack,setAttackStatus,ceaseAttack
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,SoldierUnit:1,SoldierUnit,startAttack,attack,canAttack,startAttack
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,SoldierUnit:1,SoldierUnit,startAttack,attack,setAttackStatus,startAttack
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,SoldierUnit:1,SoldierUnit,startAttack,stopAttack,setAttackStatus,ceaseAttack
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,TankUnit:1,TankUnit,ceaseAttack,attack,canAttack,startAttack
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,TankUnit:1,TankUnit,ceaseAttack,attack,setAttackStatus,startAttack
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,TankUnit:1,TankUnit,CommanderImpl,attack,canAttack,startAttack
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,TankUnit:1,TankUnit,CommanderImpl,attack,setAttackStatus,startAttack
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,TankUnit:1,TankUnit,registerArmedUnits,attack,canAttack,startAttack
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,TankUnit:1,TankUnit,registerArmedUnits,attack,setAttackStatus,startAttack
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,TankUnit:1,TankUnit,startAttack,attack,canAttack,startAttack
CommanderImplTest,main,CommanderImpl:1,CommanderImpl,TankUnit:1,TankUnit,startAttack,attack,setAttackStatus,startAttack
