"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=CommanderImplTest"
"main", "5", "CommanderImplTest.java:4", "Method Call", "caller=SYSTEM, target=CommanderImplTest#main:1"
"main", "6", "CommanderImplTest.java:3", "Method Entered", ""
"main", "7", "CommanderImplTest.java:3", "Variable Write", "context=CommanderImplTest#main:1, args=java.lang.String[0] (id=24)"
"main", "8", "CommanderImplTest.java:4", "Line Step", "file=CommanderImplTest.java, line=4"
"main", "9", "SYSTEM", "Type Load", "class=CommanderImpl"
"main", "10", "CommanderImplTest.java:4", "New Object", "object=CommanderImpl:1"
"main", "11", "CommanderImplTest.java:4", "Method Call", "caller=CommanderImplTest#main:1, target=CommanderImpl:1#CommanderImpl:1"
"main", "12", "CommanderImpl.java:5", "Method Entered", ""
"main", "13", "CommanderImpl.java:2", "Line Step", "file=CommanderImpl.java, line=2"
"main", "14", "CommanderImpl.java:5", "Line Step", "file=CommanderImpl.java, line=5"
"main", "15", "CommanderImpl.java:5", "Field Write", "context=CommanderImpl:1, attackStatus=true"
"main", "16", "CommanderImpl.java:2", "Line Step", "file=CommanderImpl.java, line=2"
"main", "17", "CommanderImpl.java:2", "Method Exit", "returner=CommanderImpl:1#CommanderImpl:1, value=<void>"
"main", "18", "CommanderImplTest.java:4", "Method Returned", ""
"main", "19", "CommanderImplTest.java:4", "Line Step", "file=CommanderImplTest.java, line=4"
"main", "20", "CommanderImplTest.java:4", "Variable Write", "context=CommanderImplTest#main:1, commander=CommanderImpl:1"
"main", "21", "CommanderImplTest.java:5", "Line Step", "file=CommanderImplTest.java, line=5"
"main", "22", "SYSTEM", "Type Load", "class=SoldierUnit"
"main", "23", "CommanderImplTest.java:5", "New Object", "object=SoldierUnit:1"
"main", "24", "CommanderImplTest.java:5", "Method Call", "caller=CommanderImplTest#main:1, target=SoldierUnit:1#SoldierUnit:1"
"main", "25", "SoldierUnit.java:5", "Method Entered", ""
"main", "26", "SoldierUnit.java:5", "Variable Write", "context=SoldierUnit:1#SoldierUnit:1, commander=CommanderImpl:1"
"main", "27", "SoldierUnit.java:5", "Line Step", "file=SoldierUnit.java, line=5"
"main", "28", "SoldierUnit.java:6", "Line Step", "file=SoldierUnit.java, line=6"
"main", "29", "SoldierUnit.java:6", "Field Write", "context=SoldierUnit:1, commander=CommanderImpl:1"
"main", "30", "SoldierUnit.java:7", "Line Step", "file=SoldierUnit.java, line=7"
"main", "31", "SoldierUnit.java:7", "Method Exit", "returner=SoldierUnit:1#SoldierUnit:1, value=<void>"
"main", "32", "CommanderImplTest.java:5", "Method Returned", ""
"main", "33", "CommanderImplTest.java:5", "Line Step", "file=CommanderImplTest.java, line=5"
"main", "34", "CommanderImplTest.java:5", "Variable Write", "context=CommanderImplTest#main:1, soldierUnit=SoldierUnit:1"
"main", "35", "CommanderImplTest.java:6", "Line Step", "file=CommanderImplTest.java, line=6"
"main", "36", "SYSTEM", "Type Load", "class=TankUnit"
"main", "37", "CommanderImplTest.java:6", "New Object", "object=TankUnit:1"
"main", "38", "CommanderImplTest.java:6", "Method Call", "caller=CommanderImplTest#main:1, target=TankUnit:1#TankUnit:1"
"main", "39", "TankUnit.java:4", "Method Entered", ""
"main", "40", "TankUnit.java:4", "Variable Write", "context=TankUnit:1#TankUnit:1, commander=CommanderImpl:1"
"main", "41", "TankUnit.java:4", "Line Step", "file=TankUnit.java, line=4"
"main", "42", "TankUnit.java:5", "Line Step", "file=TankUnit.java, line=5"
"main", "43", "TankUnit.java:5", "Field Write", "context=TankUnit:1, commander=CommanderImpl:1"
"main", "44", "TankUnit.java:6", "Line Step", "file=TankUnit.java, line=6"
"main", "45", "TankUnit.java:6", "Method Exit", "returner=TankUnit:1#TankUnit:1, value=<void>"
"main", "46", "CommanderImplTest.java:6", "Method Returned", ""
"main", "47", "CommanderImplTest.java:6", "Line Step", "file=CommanderImplTest.java, line=6"
"main", "48", "CommanderImplTest.java:6", "Variable Write", "context=CommanderImplTest#main:1, tankUnit=TankUnit:1"
"main", "49", "CommanderImplTest.java:7", "Line Step", "file=CommanderImplTest.java, line=7"
"main", "50", "CommanderImplTest.java:7", "Method Call", "caller=CommanderImplTest#main:1, target=CommanderImpl:1#registerArmedUnits:1"
"main", "51", "CommanderImpl.java:7", "Method Entered", ""
"main", "52", "CommanderImpl.java:7", "Variable Write", "context=CommanderImpl:1#registerArmedUnits:1, soldierUnit=SoldierUnit:1"
"main", "53", "CommanderImpl.java:7", "Variable Write", "context=CommanderImpl:1#registerArmedUnits:1, tankUnit=TankUnit:1"
"main", "54", "CommanderImpl.java:8", "Line Step", "file=CommanderImpl.java, line=8"
"main", "55", "CommanderImpl.java:8", "Field Write", "context=CommanderImpl:1, soldierUnit=SoldierUnit:1"
"main", "56", "CommanderImpl.java:9", "Line Step", "file=CommanderImpl.java, line=9"
"main", "57", "CommanderImpl.java:9", "Field Write", "context=CommanderImpl:1, tankUnit=TankUnit:1"
"main", "58", "CommanderImpl.java:10", "Line Step", "file=CommanderImpl.java, line=10"
"main", "59", "CommanderImpl.java:10", "Method Exit", "returner=CommanderImpl:1#registerArmedUnits:1, value=<void>"
"main", "60", "CommanderImplTest.java:7", "Method Returned", ""
"main", "61", "CommanderImplTest.java:8", "Line Step", "file=CommanderImplTest.java, line=8"
"main", "62", "CommanderImplTest.java:8", "Method Call", "caller=CommanderImplTest#main:1, target=CommanderImpl:1#startAttack:1"
"main", "63", "CommanderImpl.java:20", "Method Entered", ""
"main", "64", "CommanderImpl.java:20", "Variable Write", "context=CommanderImpl:1#startAttack:1, armedUnit=SoldierUnit:1"
"main", "65", "CommanderImpl.java:21", "Line Step", "file=CommanderImpl.java, line=21"
"main", "66", "CommanderImpl.java:21", "Method Call", "caller=CommanderImpl:1#startAttack:1, target=SoldierUnit:1#attack:1"
"main", "67", "SoldierUnit.java:9", "Method Entered", ""
"main", "68", "SoldierUnit.java:11", "Line Step", "file=SoldierUnit.java, line=11"
"main", "69", "SoldierUnit.java:11", "Field Read", "context=SoldierUnit:1, commander"
"main", "70", "SoldierUnit.java:11", "Method Call", "caller=SoldierUnit:1#attack:1, target=CommanderImpl:1#canAttack:1"
"main", "71", "CommanderImpl.java:16", "Method Entered", ""
