x,m,y,y,q,w,w,r,n,z,t
EmpOriginatorTest,main,EmpOriginator:1,EmpOriginator,EmpOriginator,EmpCaretaker:1,EmpCaretaker,addMemento,saveToMemento,EmpMemento:1,EmpMemento
EmpOriginatorTest,main,EmpOriginator:1,EmpOriginator,EmpOriginator,EmpCaretaker:1,EmpCaretaker,addMemento,saveToMemento,EmpMemento:2,EmpMemento
EmpOriginatorTest,main,EmpOriginator:1,EmpOriginator,EmpOriginator,EmpCaretaker:1,EmpCaretaker,addMemento,saveToMemento,EmpMemento:3,EmpMemento
EmpOriginatorTest,main,EmpOriginator:1,EmpOriginator,EmpOriginator,EmpCaretaker:1,EmpCaretaker,EmpCaretaker,saveToMemento,EmpMemento:1,EmpMemento
EmpOriginatorTest,main,EmpOriginator:1,EmpOriginator,EmpOriginator,EmpCaretaker:1,EmpCaretaker,EmpCaretaker,saveToMemento,EmpMemento:2,EmpMemento
EmpOriginatorTest,main,EmpOriginator:1,EmpOriginator,EmpOriginator,EmpCaretaker:1,EmpCaretaker,EmpCaretaker,saveToMemento,EmpMemento:3,EmpMemento
EmpOriginatorTest,main,EmpOriginator:1,EmpOriginator,EmpOriginator,EmpCaretaker:1,EmpCaretaker,getMemento,saveToMemento,EmpMemento:1,EmpMemento
EmpOriginatorTest,main,EmpOriginator:1,EmpOriginator,EmpOriginator,EmpCaretaker:1,EmpCaretaker,getMemento,saveToMemento,EmpMemento:2,EmpMemento
EmpOriginatorTest,main,EmpOriginator:1,EmpOriginator,EmpOriginator,EmpCaretaker:1,EmpCaretaker,getMemento,saveToMemento,EmpMemento:3,EmpMemento
EmpOriginatorTest,main,EmpOriginator:1,EmpOriginator,printInfo,EmpCaretaker:1,EmpCaretaker,addMemento,saveToMemento,EmpMemento:1,EmpMemento
EmpOriginatorTest,main,EmpOriginator:1,EmpOriginator,printInfo,EmpCaretaker:1,EmpCaretaker,addMemento,saveToMemento,EmpMemento:2,EmpMemento
EmpOriginatorTest,main,EmpOriginator:1,EmpOriginator,printInfo,EmpCaretaker:1,EmpCaretaker,addMemento,saveToMemento,EmpMemento:3,EmpMemento
EmpOriginatorTest,main,EmpOriginator:1,EmpOriginator,printInfo,EmpCaretaker:1,EmpCaretaker,EmpCaretaker,saveToMemento,EmpMemento:1,EmpMemento
