"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=EmpOriginatorTest"
"main", "5", "EmpOriginatorTest.java:3", "Method Call", "caller=SYSTEM, target=EmpOriginatorTest#main:1"
"main", "6", "EmpOriginatorTest.java:2", "Method Entered", ""
"main", "7", "EmpOriginatorTest.java:2", "Variable Write", "context=EmpOriginatorTest#main:1, args=java.lang.String[0] (id=21)"
"main", "8", "EmpOriginatorTest.java:3", "Line Step", "file=EmpOriginatorTest.java, line=3"
"main", "9", "SYSTEM", "Type Load", "class=EmpOriginator"
"main", "10", "EmpOriginatorTest.java:3", "New Object", "object=EmpOriginator:1"
"main", "11", "EmpOriginatorTest.java:3", "Method Call", "caller=EmpOriginatorTest#main:1, target=EmpOriginator:1#EmpOriginator:1"
"main", "12", "EmpOriginator.java:6", "Method Entered", ""
"main", "13", "EmpOriginator.java:6", "Variable Write", "context=EmpOriginator:1#EmpOriginator:1, empId=306"
"main", "14", "EmpOriginator.java:6", "Variable Write", "context=EmpOriginator:1#EmpOriginator:1, empPhoneNo=""131011789610"""
"main", "15", "EmpOriginator.java:6", "Variable Write", "context=EmpOriginator:1#EmpOriginator:1, empName=""Mark Ferguson"""
"main", "16", "EmpOriginator.java:6", "Variable Write", "context=EmpOriginator:1#EmpOriginator:1, empDesignation=""Sales Manager"""
"main", "17", "EmpOriginator.java:6", "Line Step", "file=EmpOriginator.java, line=6"
"main", "18", "EmpOriginator.java:8", "Line Step", "file=EmpOriginator.java, line=8"
"main", "19", "EmpOriginator.java:8", "Field Write", "context=EmpOriginator:1, empId=306"
"main", "20", "EmpOriginator.java:9", "Line Step", "file=EmpOriginator.java, line=9"
"main", "21", "EmpOriginator.java:9", "Field Write", "context=EmpOriginator:1, empName=""Mark Ferguson"""
"main", "22", "EmpOriginator.java:10", "Line Step", "file=EmpOriginator.java, line=10"
"main", "23", "EmpOriginator.java:10", "Field Write", "context=EmpOriginator:1, empPhoneNo=""131011789610"""
"main", "24", "EmpOriginator.java:11", "Line Step", "file=EmpOriginator.java, line=11"
"main", "25", "EmpOriginator.java:11", "Field Write", "context=EmpOriginator:1, empDesignation=""Sales Manager"""
"main", "26", "EmpOriginator.java:12", "Line Step", "file=EmpOriginator.java, line=12"
"main", "27", "EmpOriginator.java:12", "Method Exit", "returner=EmpOriginator:1#EmpOriginator:1, value=<void>"
"main", "28", "EmpOriginatorTest.java:3", "Method Returned", ""
"main", "29", "EmpOriginatorTest.java:3", "Line Step", "file=EmpOriginatorTest.java, line=3"
"main", "30", "EmpOriginatorTest.java:3", "Variable Write", "context=EmpOriginatorTest#main:1, empOriginator=EmpOriginator:1"
"main", "31", "EmpOriginatorTest.java:4", "Line Step", "file=EmpOriginatorTest.java, line=4"
"main", "32", "EmpOriginatorTest.java:4", "Method Call", "caller=EmpOriginatorTest#main:1, target=EmpOriginator:1#saveToMemento:1"
"main", "33", "EmpOriginator.java:37", "Method Entered", ""
"main", "34", "EmpOriginator.java:38", "Line Step", "file=EmpOriginator.java, line=38"
"main", "35", "SYSTEM", "Type Load", "class=EmpMemento"
"main", "36", "EmpOriginator.java:38", "Field Read", "context=EmpOriginator:1, empId"
"main", "37", "EmpOriginator.java:38", "Field Read", "context=EmpOriginator:1, empName"
"main", "38", "EmpOriginator.java:38", "Field Read", "context=EmpOriginator:1, empPhoneNo"
"main", "39", "EmpOriginator.java:38", "Field Read", "context=EmpOriginator:1, empDesignation"
"main", "40", "EmpOriginator.java:38", "New Object", "object=EmpMemento:1"
"main", "41", "EmpOriginator.java:38", "Method Call", "caller=EmpOriginator:1#saveToMemento:1, target=EmpMemento:1#EmpMemento:1"
"main", "42", "EmpMemento.java:6", "Method Entered", ""
"main", "43", "EmpMemento.java:6", "Variable Write", "context=EmpMemento:1#EmpMemento:1, empId=306"
"main", "44", "EmpMemento.java:6", "Variable Write", "context=EmpMemento:1#EmpMemento:1, empPhoneNo=""131011789610"""
"main", "45", "EmpMemento.java:6", "Variable Write", "context=EmpMemento:1#EmpMemento:1, empName=""Mark Ferguson"""
"main", "46", "EmpMemento.java:6", "Variable Write", "context=EmpMemento:1#EmpMemento:1, empDesignation=""Sales Manager"""
"main", "47", "EmpMemento.java:6", "Line Step", "file=EmpMemento.java, line=6"
"main", "48", "EmpMemento.java:7", "Line Step", "file=EmpMemento.java, line=7"
"main", "49", "EmpMemento.java:7", "Field Write", "context=EmpMemento:1, empId=306"
"main", "50", "EmpMemento.java:8", "Line Step", "file=EmpMemento.java, line=8"
"main", "51", "EmpMemento.java:8", "Field Write", "context=EmpMemento:1, empName=""Mark Ferguson"""
"main", "52", "EmpMemento.java:9", "Line Step", "file=EmpMemento.java, line=9"
"main", "53", "EmpMemento.java:9", "Field Write", "context=EmpMemento:1, empPhoneNo=""131011789610"""
"main", "54", "EmpMemento.java:10", "Line Step", "file=EmpMemento.java, line=10"
"main", "55", "EmpMemento.java:10", "Field Write", "context=EmpMemento:1, empDesignation=""Sales Manager"""
"main", "56", "EmpMemento.java:11", "Line Step", "file=EmpMemento.java, line=11"
"main", "57", "EmpMemento.java:11", "Method Exit", "returner=EmpMemento:1#EmpMemento:1, value=<void>"
"main", "58", "EmpOriginator.java:38", "Method Returned", ""
"main", "59", "EmpOriginator.java:38", "Line Step", "file=EmpOriginator.java, line=38"
"main", "60", "EmpOriginator.java:38", "Variable Write", "context=EmpOriginator:1#saveToMemento:1, empMemento=EmpMemento:1"
"main", "61", "EmpOriginator.java:39", "Line Step", "file=EmpOriginator.java, line=39"
"main", "62", "EmpOriginator.java:39", "Variable Write", "context=EmpOriginator:1#saveToMemento:1, result=EmpMemento:1"
"main", "63", "EmpOriginator.java:39", "Method Exit", "returner=EmpOriginator:1#saveToMemento:1, value=EmpMemento:1"
"main", "64", "EmpOriginatorTest.java:4", "Method Returned", ""
"main", "65", "EmpOriginatorTest.java:4", "Line Step", "file=EmpOriginatorTest.java, line=4"
"main", "66", "EmpOriginatorTest.java:4", "Variable Write", "context=EmpOriginatorTest#main:1, empMemento=EmpMemento:1"
"main", "67", "EmpOriginatorTest.java:5", "Line Step", "file=EmpOriginatorTest.java, line=5"
"main", "68", "SYSTEM", "Type Load", "class=EmpCaretaker"
"main", "69", "EmpOriginatorTest.java:5", "New Object", "object=EmpCaretaker:1"
"main", "70", "EmpOriginatorTest.java:5", "Method Call", "caller=EmpOriginatorTest#main:1, target=EmpCaretaker:1#EmpCaretaker:1"
"main", "71", "EmpCaretaker.java:6", "Method Entered", ""
"main", "72", "EmpCaretaker.java:4", "Line Step", "file=EmpCaretaker.java, line=4"
"main", "73", "EmpCaretaker.java:6", "Line Step", "file=EmpCaretaker.java, line=6"
"main", "74", "EmpCaretaker.java:6", "Field Write", "context=EmpCaretaker:1, mementos=java.util.ArrayDeque (id=36)"
"main", "75", "EmpCaretaker.java:4", "Line Step", "file=EmpCaretaker.java, line=4"
"main", "76", "EmpCaretaker.java:4", "Method Exit", "returner=EmpCaretaker:1#EmpCaretaker:1, value=<void>"
"main", "77", "EmpOriginatorTest.java:5", "Method Returned", ""
"main", "78", "EmpOriginatorTest.java:5", "Line Step", "file=EmpOriginatorTest.java, line=5"
"main", "79", "EmpOriginatorTest.java:5", "Variable Write", "context=EmpOriginatorTest#main:1, empCaretaker=EmpCaretaker:1"
"main", "80", "EmpOriginatorTest.java:6", "Line Step", "file=EmpOriginatorTest.java, line=6"
"main", "81", "EmpOriginatorTest.java:6", "Method Call", "caller=EmpOriginatorTest#main:1, target=EmpCaretaker:1#addMemento:1"
"main", "82", "EmpCaretaker.java:12", "Method Entered", ""
"main", "83", "EmpCaretaker.java:12", "Variable Write", "context=EmpCaretaker:1#addMemento:1, memento=EmpMemento:1"
"main", "84", "EmpCaretaker.java:14", "Line Step", "file=EmpCaretaker.java, line=14"
"main", "85", "EmpCaretaker.java:14", "Field Read", "context=EmpCaretaker:1, mementos"
"main", "86", "EmpCaretaker.java:15", "Line Step", "file=EmpCaretaker.java, line=15"
"main", "87", "EmpCaretaker.java:15", "Method Exit", "returner=EmpCaretaker:1#addMemento:1, value=<void>"
"main", "88", "EmpOriginatorTest.java:6", "Method Returned", ""
"main", "89", "EmpOriginatorTest.java:7", "Line Step", "file=EmpOriginatorTest.java, line=7"
"main", "90", "EmpOriginatorTest.java:8", "Line Step", "file=EmpOriginatorTest.java, line=8"
"main", "91", "EmpOriginatorTest.java:8", "Method Call", "caller=EmpOriginatorTest#main:1, target=EmpOriginator:1#printInfo:1"
"main", "92", "EmpOriginator.java:48", "Method Entered", ""
"main", "93", "EmpOriginator.java:50", "Line Step", "file=EmpOriginator.java, line=50"
"main", "94", "EmpOriginator.java:50", "Field Read", "context=EmpOriginator:1, empId"
"main", "95", "EmpOriginator.java:51", "Line Step", "file=EmpOriginator.java, line=51"
"main", "96", "EmpOriginator.java:51", "Field Read", "context=EmpOriginator:1, empName"
"main", "97", "EmpOriginator.java:52", "Line Step", "file=EmpOriginator.java, line=52"
