x,m,y,y,x,m,z,z,x,m,y,n,x,m,y,p,y,p,y,q,y,q,z,s,z,w,s,y,z
TopicSubscriber,main,MyTopic:1,MyTopic,TopicSubscriber,main,MyTopicSubscriber:1,MyTopicSubscriber,TopicSubscriber,main,MyTopic:1,MyTopic,TopicSubscriber,main,MyTopic:1,postMessage,MyTopic:1,postMessage,MyTopic:1,notifyObservers,MyTopic:1,notifyObservers,MyTopicSubscriber:1,update,MyTopicSubscriber:1,MyTopicSubscriber:2,update,MyTopic:1,MyTopicSubscriber:1
TopicSubscriber,main,MyTopic:1,MyTopic,TopicSubscriber,main,MyTopicSubscriber:1,MyTopicSubscriber,TopicSubscriber,main,MyTopic:1,MyTopic,TopicSubscriber,main,MyTopic:1,postMessage,MyTopic:1,postMessage,MyTopic:1,notifyObservers,MyTopic:1,notifyObservers,MyTopicSubscriber:1,update,MyTopicSubscriber:1,MyTopicSubscriber:3,update,MyTopic:1,MyTopicSubscriber:1
TopicSubscriber,main,MyTopic:1,MyTopic,TopicSubscriber,main,MyTopicSubscriber:1,MyTopicSubscriber,TopicSubscriber,main,MyTopic:1,postMessage,TopicSubscriber,main,MyTopic:1,postMessage,MyTopic:1,postMessage,MyTopic:1,notifyObservers,MyTopic:1,notifyObservers,MyTopicSubscriber:1,update,MyTopicSubscriber:1,MyTopicSubscriber:2,update,MyTopic:1,MyTopicSubscriber:1
TopicSubscriber,main,MyTopic:1,MyTopic,TopicSubscriber,main,MyTopicSubscriber:1,MyTopicSubscriber,TopicSubscriber,main,MyTopic:1,postMessage,TopicSubscriber,main,MyTopic:1,postMessage,MyTopic:1,postMessage,MyTopic:1,notifyObservers,MyTopic:1,notifyObservers,MyTopicSubscriber:1,update,MyTopicSubscriber:1,MyTopicSubscriber:3,update,MyTopic:1,MyTopicSubscriber:1
TopicSubscriber,main,MyTopic:1,MyTopic,TopicSubscriber,main,MyTopicSubscriber:1,MyTopicSubscriber,TopicSubscriber,main,MyTopic:1,register,TopicSubscriber,main,MyTopic:1,postMessage,MyTopic:1,postMessage,MyTopic:1,notifyObservers,MyTopic:1,notifyObservers,MyTopicSubscriber:1,update,MyTopicSubscriber:1,MyTopicSubscriber:2,update,MyTopic:1,MyTopicSubscriber:1
TopicSubscriber,main,MyTopic:1,MyTopic,TopicSubscriber,main,MyTopicSubscriber:1,MyTopicSubscriber,TopicSubscriber,main,MyTopic:1,register,TopicSubscriber,main,MyTopic:1,postMessage,MyTopic:1,postMessage,MyTopic:1,notifyObservers,MyTopic:1,notifyObservers,MyTopicSubscriber:1,update,MyTopicSubscriber:1,MyTopicSubscriber:3,update,MyTopic:1,MyTopicSubscriber:1
TopicSubscriber,main,MyTopic:1,MyTopic,TopicSubscriber,main,MyTopicSubscriber:2,MyTopicSubscriber,TopicSubscriber,main,MyTopic:1,MyTopic,TopicSubscriber,main,MyTopic:1,postMessage,MyTopic:1,postMessage,MyTopic:1,notifyObservers,MyTopic:1,notifyObservers,MyTopicSubscriber:2,update,MyTopicSubscriber:2,MyTopicSubscriber:1,update,MyTopic:1,MyTopicSubscriber:2
TopicSubscriber,main,MyTopic:1,MyTopic,TopicSubscriber,main,MyTopicSubscriber:2,MyTopicSubscriber,TopicSubscriber,main,MyTopic:1,MyTopic,TopicSubscriber,main,MyTopic:1,postMessage,MyTopic:1,postMessage,MyTopic:1,notifyObservers,MyTopic:1,notifyObservers,MyTopicSubscriber:2,update,MyTopicSubscriber:2,MyTopicSubscriber:3,update,MyTopic:1,MyTopicSubscriber:2
TopicSubscriber,main,MyTopic:1,MyTopic,TopicSubscriber,main,MyTopicSubscriber:2,MyTopicSubscriber,TopicSubscriber,main,MyTopic:1,postMessage,TopicSubscriber,main,MyTopic:1,postMessage,MyTopic:1,postMessage,MyTopic:1,notifyObservers,MyTopic:1,notifyObservers,MyTopicSubscriber:2,update,MyTopicSubscriber:2,MyTopicSubscriber:1,update,MyTopic:1,MyTopicSubscriber:2
TopicSubscriber,main,MyTopic:1,MyTopic,TopicSubscriber,main,MyTopicSubscriber:2,MyTopicSubscriber,TopicSubscriber,main,MyTopic:1,postMessage,TopicSubscriber,main,MyTopic:1,postMessage,MyTopic:1,postMessage,MyTopic:1,notifyObservers,MyTopic:1,notifyObservers,MyTopicSubscriber:2,update,MyTopicSubscriber:2,MyTopicSubscriber:3,update,MyTopic:1,MyTopicSubscriber:2
TopicSubscriber,main,MyTopic:1,MyTopic,TopicSubscriber,main,MyTopicSubscriber:2,MyTopicSubscriber,TopicSubscriber,main,MyTopic:1,register,TopicSubscriber,main,MyTopic:1,postMessage,MyTopic:1,postMessage,MyTopic:1,notifyObservers,MyTopic:1,notifyObservers,MyTopicSubscriber:2,update,MyTopicSubscriber:2,MyTopicSubscriber:1,update,MyTopic:1,MyTopicSubscriber:2
