x,m,y,y,z,z,n,p,q,s,w
TopicSubscriber,main,MyTopic:1,MyTopic,MyTopicSubscriber:1,MyTopicSubscriber,MyTopic,postMessage,notifyObservers,update,MyTopicSubscriber:2
TopicSubscriber,main,MyTopic:1,MyTopic,MyTopicSubscriber:1,MyTopicSubscriber,MyTopic,postMessage,notifyObservers,update,MyTopicSubscriber:3
TopicSubscriber,main,MyTopic:1,MyTopic,MyTopicSubscriber:1,MyTopicSubscriber,postMessage,postMessage,notifyObservers,update,MyTopicSubscriber:2
TopicSubscriber,main,MyTopic:1,MyTopic,MyTopicSubscriber:1,MyTopicSubscriber,postMessage,postMessage,notifyObservers,update,MyTopicSubscriber:3
TopicSubscriber,main,MyTopic:1,MyTopic,MyTopicSubscriber:1,MyTopicSubscriber,register,postMessage,notifyObservers,update,MyTopicSubscriber:2
TopicSubscriber,main,MyTopic:1,MyTopic,MyTopicSubscriber:1,MyTopicSubscriber,register,postMessage,notifyObservers,update,MyTopicSubscriber:3
TopicSubscriber,main,MyTopic:1,MyTopic,MyTopicSubscriber:2,MyTopicSubscriber,MyTopic,postMessage,notifyObservers,update,MyTopicSubscriber:1
TopicSubscriber,main,MyTopic:1,MyTopic,MyTopicSubscriber:2,MyTopicSubscriber,MyTopic,postMessage,notifyObservers,update,MyTopicSubscriber:3
TopicSubscriber,main,MyTopic:1,MyTopic,MyTopicSubscriber:2,MyTopicSubscriber,postMessage,postMessage,notifyObservers,update,MyTopicSubscriber:1
TopicSubscriber,main,MyTopic:1,MyTopic,MyTopicSubscriber:2,MyTopicSubscriber,postMessage,postMessage,notifyObservers,update,MyTopicSubscriber:3
TopicSubscriber,main,MyTopic:1,MyTopic,MyTopicSubscriber:2,MyTopicSubscriber,register,postMessage,notifyObservers,update,MyTopicSubscriber:1
TopicSubscriber,main,MyTopic:1,MyTopic,MyTopicSubscriber:2,MyTopicSubscriber,register,postMessage,notifyObservers,update,MyTopicSubscriber:3
TopicSubscriber,main,MyTopic:1,MyTopic,MyTopicSubscriber:3,MyTopicSubscriber,MyTopic,postMessage,notifyObservers,update,MyTopicSubscriber:1
TopicSubscriber,main,MyTopic:1,MyTopic,MyTopicSubscriber:3,MyTopicSubscriber,MyTopic,postMessage,notifyObservers,update,MyTopicSubscriber:2
TopicSubscriber,main,MyTopic:1,MyTopic,MyTopicSubscriber:3,MyTopicSubscriber,postMessage,postMessage,notifyObservers,update,MyTopicSubscriber:1
TopicSubscriber,main,MyTopic:1,MyTopic,MyTopicSubscriber:3,MyTopicSubscriber,postMessage,postMessage,notifyObservers,update,MyTopicSubscriber:2
TopicSubscriber,main,MyTopic:1,MyTopic,MyTopicSubscriber:3,MyTopicSubscriber,register,postMessage,notifyObservers,update,MyTopicSubscriber:1
TopicSubscriber,main,MyTopic:1,MyTopic,MyTopicSubscriber:3,MyTopicSubscriber,register,postMessage,notifyObservers,update,MyTopicSubscriber:2
