"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=TopicSubscriber"
"main", "5", "TopicSubscriber.java:117", "Method Call", "caller=SYSTEM, target=TopicSubscriber#main:1"
"main", "6", "TopicSubscriber.java:115", "Method Entered", ""
"main", "7", "TopicSubscriber.java:115", "Variable Write", "context=TopicSubscriber#main:1, args=java.lang.String[0] (id=24)"
"main", "8", "TopicSubscriber.java:117", "Line Step", "file=TopicSubscriber.java, line=117"
"main", "9", "SYSTEM", "Type Load", "class=MyTopic"
"main", "10", "TopicSubscriber.java:117", "New Object", "object=MyTopic:1"
"main", "11", "TopicSubscriber.java:117", "Method Call", "caller=TopicSubscriber#main:1, target=MyTopic:1#MyTopic:1"
"main", "12", "TopicSubscriber.java:39", "Method Entered", ""
"main", "13", "TopicSubscriber.java:39", "Line Step", "file=TopicSubscriber.java, line=39"
"main", "14", "TopicSubscriber.java:37", "Line Step", "file=TopicSubscriber.java, line=37"
"main", "15", "TopicSubscriber.java:37", "Field Write", "context=MyTopic:1, MUTEX=java.lang.Object (id=30)"
"main", "16", "TopicSubscriber.java:40", "Line Step", "file=TopicSubscriber.java, line=40"
"main", "17", "TopicSubscriber.java:40", "Field Write", "context=MyTopic:1, observers=java.util.ArrayList (id=31)"
"main", "18", "TopicSubscriber.java:41", "Line Step", "file=TopicSubscriber.java, line=41"
"main", "19", "TopicSubscriber.java:41", "Method Exit", "returner=MyTopic:1#MyTopic:1, value=<void>"
"main", "20", "TopicSubscriber.java:117", "Method Returned", ""
"main", "21", "TopicSubscriber.java:117", "Line Step", "file=TopicSubscriber.java, line=117"
"main", "22", "TopicSubscriber.java:117", "Variable Write", "context=TopicSubscriber#main:1, topic=MyTopic:1"
"main", "23", "TopicSubscriber.java:120", "Line Step", "file=TopicSubscriber.java, line=120"
"main", "24", "SYSTEM", "Type Load", "class=MyTopicSubscriber"
"main", "25", "TopicSubscriber.java:120", "New Object", "object=MyTopicSubscriber:1"
"main", "26", "TopicSubscriber.java:120", "Method Call", "caller=TopicSubscriber#main:1, target=MyTopicSubscriber:1#MyTopicSubscriber:1"
"main", "27", "TopicSubscriber.java:93", "Method Entered", ""
"main", "28", "TopicSubscriber.java:93", "Variable Write", "context=MyTopicSubscriber:1#MyTopicSubscriber:1, nm=""Obj1"""
"main", "29", "TopicSubscriber.java:93", "Line Step", "file=TopicSubscriber.java, line=93"
"main", "30", "TopicSubscriber.java:94", "Line Step", "file=TopicSubscriber.java, line=94"
"main", "31", "TopicSubscriber.java:94", "Field Write", "context=MyTopicSubscriber:1, name=""Obj1"""
"main", "32", "TopicSubscriber.java:95", "Line Step", "file=TopicSubscriber.java, line=95"
"main", "33", "TopicSubscriber.java:95", "Method Exit", "returner=MyTopicSubscriber:1#MyTopicSubscriber:1, value=<void>"
"main", "34", "TopicSubscriber.java:120", "Method Returned", ""
"main", "35", "TopicSubscriber.java:120", "Line Step", "file=TopicSubscriber.java, line=120"
"main", "36", "TopicSubscriber.java:120", "Variable Write", "context=TopicSubscriber#main:1, obj1=MyTopicSubscriber:1"
"main", "37", "TopicSubscriber.java:121", "Line Step", "file=TopicSubscriber.java, line=121"
"main", "38", "TopicSubscriber.java:121", "New Object", "object=MyTopicSubscriber:2"
"main", "39", "TopicSubscriber.java:121", "Method Call", "caller=TopicSubscriber#main:1, target=MyTopicSubscriber:2#MyTopicSubscriber:2"
"main", "40", "TopicSubscriber.java:93", "Method Entered", ""
"main", "41", "TopicSubscriber.java:93", "Variable Write", "context=MyTopicSubscriber:2#MyTopicSubscriber:2, nm=""Obj2"""
"main", "42", "TopicSubscriber.java:93", "Line Step", "file=TopicSubscriber.java, line=93"
"main", "43", "TopicSubscriber.java:94", "Line Step", "file=TopicSubscriber.java, line=94"
"main", "44", "TopicSubscriber.java:94", "Field Write", "context=MyTopicSubscriber:2, name=""Obj2"""
"main", "45", "TopicSubscriber.java:95", "Line Step", "file=TopicSubscriber.java, line=95"
"main", "46", "TopicSubscriber.java:95", "Method Exit", "returner=MyTopicSubscriber:2#MyTopicSubscriber:2, value=<void>"
"main", "47", "TopicSubscriber.java:121", "Method Returned", ""
"main", "48", "TopicSubscriber.java:121", "Line Step", "file=TopicSubscriber.java, line=121"
"main", "49", "TopicSubscriber.java:121", "Variable Write", "context=TopicSubscriber#main:1, obj2=MyTopicSubscriber:2"
"main", "50", "TopicSubscriber.java:122", "Line Step", "file=TopicSubscriber.java, line=122"
"main", "51", "TopicSubscriber.java:122", "New Object", "object=MyTopicSubscriber:3"
"main", "52", "TopicSubscriber.java:122", "Method Call", "caller=TopicSubscriber#main:1, target=MyTopicSubscriber:3#MyTopicSubscriber:3"
"main", "53", "TopicSubscriber.java:93", "Method Entered", ""
"main", "54", "TopicSubscriber.java:93", "Variable Write", "context=MyTopicSubscriber:3#MyTopicSubscriber:3, nm=""Obj3"""
"main", "55", "TopicSubscriber.java:93", "Line Step", "file=TopicSubscriber.java, line=93"
"main", "56", "TopicSubscriber.java:94", "Line Step", "file=TopicSubscriber.java, line=94"
"main", "57", "TopicSubscriber.java:94", "Field Write", "context=MyTopicSubscriber:3, name=""Obj3"""
"main", "58", "TopicSubscriber.java:95", "Line Step", "file=TopicSubscriber.java, line=95"
"main", "59", "TopicSubscriber.java:95", "Method Exit", "returner=MyTopicSubscriber:3#MyTopicSubscriber:3, value=<void>"
"main", "60", "TopicSubscriber.java:122", "Method Returned", ""
"main", "61", "TopicSubscriber.java:122", "Line Step", "file=TopicSubscriber.java, line=122"
"main", "62", "TopicSubscriber.java:122", "Variable Write", "context=TopicSubscriber#main:1, obj3=MyTopicSubscriber:3"
"main", "63", "TopicSubscriber.java:125", "Line Step", "file=TopicSubscriber.java, line=125"
"main", "64", "TopicSubscriber.java:125", "Method Call", "caller=TopicSubscriber#main:1, target=MyTopic:1#register:1"
"main", "65", "TopicSubscriber.java:43", "Method Entered", ""
"main", "66", "TopicSubscriber.java:43", "Variable Write", "context=MyTopic:1#register:1, obj=MyTopicSubscriber:1"
"main", "67", "TopicSubscriber.java:44", "Line Step", "file=TopicSubscriber.java, line=44"
"main", "68", "TopicSubscriber.java:45", "Line Step", "file=TopicSubscriber.java, line=45"
"main", "69", "TopicSubscriber.java:45", "Field Read", "context=MyTopic:1, MUTEX"
