x,m,y,y,x,m,z,z,x,m,y,n,x,m,y,p,y,p,y,q,y,q,z,s,z,w,s,y,z
ObserverTest,main,Product:1,Product,ObserverTest,main,Bidder:1,Bidder,ObserverTest,main,Product:1,Product,ObserverTest,main,Product:1,setBidAmount,Product:1,setBidAmount,Product:1,notifyObservers,Product:1,notifyObservers,Bidder:1,update,Bidder:1,Bidder:2,update,Product:1,Bidder:1
ObserverTest,main,Product:1,Product,ObserverTest,main,Bidder:1,Bidder,ObserverTest,main,Product:1,Product,ObserverTest,main,Product:1,setBidAmount,Product:1,setBidAmount,Product:1,notifyObservers,Product:1,notifyObservers,Bidder:1,update,Bidder:1,Bidder:3,update,Product:1,Bidder:1
ObserverTest,main,Product:1,Product,ObserverTest,main,Bidder:1,Bidder,ObserverTest,main,Product:1,registerObserver,ObserverTest,main,Product:1,setBidAmount,Product:1,setBidAmount,Product:1,notifyObservers,Product:1,notifyObservers,Bidder:1,update,Bidder:1,Bidder:2,update,Product:1,Bidder:1
ObserverTest,main,Product:1,Product,ObserverTest,main,Bidder:1,Bidder,ObserverTest,main,Product:1,registerObserver,ObserverTest,main,Product:1,setBidAmount,Product:1,setBidAmount,Product:1,notifyObservers,Product:1,notifyObservers,Bidder:1,update,Bidder:1,Bidder:3,update,Product:1,Bidder:1
ObserverTest,main,Product:1,Product,ObserverTest,main,Bidder:1,Bidder,ObserverTest,main,Product:1,removeObserver,ObserverTest,main,Product:1,setBidAmount,Product:1,setBidAmount,Product:1,notifyObservers,Product:1,notifyObservers,Bidder:1,update,Bidder:1,Bidder:2,update,Product:1,Bidder:1
ObserverTest,main,Product:1,Product,ObserverTest,main,Bidder:1,Bidder,ObserverTest,main,Product:1,removeObserver,ObserverTest,main,Product:1,setBidAmount,Product:1,setBidAmount,Product:1,notifyObservers,Product:1,notifyObservers,Bidder:1,update,Bidder:1,Bidder:3,update,Product:1,Bidder:1
ObserverTest,main,Product:1,Product,ObserverTest,main,Bidder:1,Bidder,ObserverTest,main,Product:1,setBidAmount,ObserverTest,main,Product:1,setBidAmount,Product:1,setBidAmount,Product:1,notifyObservers,Product:1,notifyObservers,Bidder:1,update,Bidder:1,Bidder:2,update,Product:1,Bidder:1
ObserverTest,main,Product:1,Product,ObserverTest,main,Bidder:1,Bidder,ObserverTest,main,Product:1,setBidAmount,ObserverTest,main,Product:1,setBidAmount,Product:1,setBidAmount,Product:1,notifyObservers,Product:1,notifyObservers,Bidder:1,update,Bidder:1,Bidder:3,update,Product:1,Bidder:1
ObserverTest,main,Product:1,Product,ObserverTest,main,Bidder:2,Bidder,ObserverTest,main,Product:1,Product,ObserverTest,main,Product:1,setBidAmount,Product:1,setBidAmount,Product:1,notifyObservers,Product:1,notifyObservers,Bidder:2,update,Bidder:2,Bidder:1,update,Product:1,Bidder:2
ObserverTest,main,Product:1,Product,ObserverTest,main,Bidder:2,Bidder,ObserverTest,main,Product:1,Product,ObserverTest,main,Product:1,setBidAmount,Product:1,setBidAmount,Product:1,notifyObservers,Product:1,notifyObservers,Bidder:2,update,Bidder:2,Bidder:3,update,Product:1,Bidder:2
ObserverTest,main,Product:1,Product,ObserverTest,main,Bidder:2,Bidder,ObserverTest,main,Product:1,registerObserver,ObserverTest,main,Product:1,setBidAmount,Product:1,setBidAmount,Product:1,notifyObservers,Product:1,notifyObservers,Bidder:2,update,Bidder:2,Bidder:1,update,Product:1,Bidder:2
ObserverTest,main,Product:1,Product,ObserverTest,main,Bidder:2,Bidder,ObserverTest,main,Product:1,registerObserver,ObserverTest,main,Product:1,setBidAmount,Product:1,setBidAmount,Product:1,notifyObservers,Product:1,notifyObservers,Bidder:2,update,Bidder:2,Bidder:3,update,Product:1,Bidder:2
ObserverTest,main,Product:1,Product,ObserverTest,main,Bidder:2,Bidder,ObserverTest,main,Product:1,removeObserver,ObserverTest,main,Product:1,setBidAmount,Product:1,setBidAmount,Product:1,notifyObservers,Product:1,notifyObservers,Bidder:2,update,Bidder:2,Bidder:1,update,Product:1,Bidder:2
