x,m,y,y,z,z,n,p,q,s,w
ObserverTest,main,Product:1,Product,Bidder:1,Bidder,Product,setBidAmount,notifyObservers,update,Bidder:2
ObserverTest,main,Product:1,Product,Bidder:1,Bidder,Product,setBidAmount,notifyObservers,update,Bidder:3
ObserverTest,main,Product:1,Product,Bidder:1,Bidder,registerObserver,setBidAmount,notifyObservers,update,Bidder:2
ObserverTest,main,Product:1,Product,Bidder:1,Bidder,registerObserver,setBidAmount,notifyObservers,update,Bidder:3
ObserverTest,main,Product:1,Product,Bidder:1,Bidder,removeObserver,setBidAmount,notifyObservers,update,Bidder:2
ObserverTest,main,Product:1,Product,Bidder:1,Bidder,removeObserver,setBidAmount,notifyObservers,update,Bidder:3
ObserverTest,main,Product:1,Product,Bidder:1,Bidder,setBidAmount,setBidAmount,notifyObservers,update,Bidder:2
ObserverTest,main,Product:1,Product,Bidder:1,Bidder,setBidAmount,setBidAmount,notifyObservers,update,Bidder:3
ObserverTest,main,Product:1,Product,Bidder:2,Bidder,Product,setBidAmount,notifyObservers,update,Bidder:1
ObserverTest,main,Product:1,Product,Bidder:2,Bidder,Product,setBidAmount,notifyObservers,update,Bidder:3
ObserverTest,main,Product:1,Product,Bidder:2,Bidder,registerObserver,setBidAmount,notifyObservers,update,Bidder:1
ObserverTest,main,Product:1,Product,Bidder:2,Bidder,registerObserver,setBidAmount,notifyObservers,update,Bidder:3
ObserverTest,main,Product:1,Product,Bidder:2,Bidder,removeObserver,setBidAmount,notifyObservers,update,Bidder:1
ObserverTest,main,Product:1,Product,Bidder:2,Bidder,removeObserver,setBidAmount,notifyObservers,update,Bidder:3
ObserverTest,main,Product:1,Product,Bidder:2,Bidder,setBidAmount,setBidAmount,notifyObservers,update,Bidder:1
ObserverTest,main,Product:1,Product,Bidder:2,Bidder,setBidAmount,setBidAmount,notifyObservers,update,Bidder:3
ObserverTest,main,Product:1,Product,Bidder:3,Bidder,Product,setBidAmount,notifyObservers,update,Bidder:1
ObserverTest,main,Product:1,Product,Bidder:3,Bidder,Product,setBidAmount,notifyObservers,update,Bidder:2
ObserverTest,main,Product:1,Product,Bidder:3,Bidder,registerObserver,setBidAmount,notifyObservers,update,Bidder:1
ObserverTest,main,Product:1,Product,Bidder:3,Bidder,registerObserver,setBidAmount,notifyObservers,update,Bidder:2
ObserverTest,main,Product:1,Product,Bidder:3,Bidder,removeObserver,setBidAmount,notifyObservers,update,Bidder:1
ObserverTest,main,Product:1,Product,Bidder:3,Bidder,removeObserver,setBidAmount,notifyObservers,update,Bidder:2
ObserverTest,main,Product:1,Product,Bidder:3,Bidder,setBidAmount,setBidAmount,notifyObservers,update,Bidder:1
ObserverTest,main,Product:1,Product,Bidder:3,Bidder,setBidAmount,setBidAmount,notifyObservers,update,Bidder:2
