"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=ObserverTest"
"main", "5", "ObserverTest.java:5", "Method Call", "caller=SYSTEM, target=ObserverTest#main:1"
"main", "6", "ObserverTest.java:4", "Method Entered", ""
"main", "7", "ObserverTest.java:4", "Variable Write", "context=ObserverTest#main:1, args=java.lang.String[0] (id=24)"
"main", "8", "ObserverTest.java:5", "Line Step", "file=ObserverTest.java, line=5"
"main", "9", "SYSTEM", "Type Load", "class=Product"
"main", "10", "ObserverTest.java:5", "New Object", "object=Product:1"
"main", "11", "ObserverTest.java:5", "Method Call", "caller=ObserverTest#main:1, target=Product:1#Product:1"
"main", "12", "Product.java:10", "Method Entered", ""
"main", "13", "Product.java:10", "Variable Write", "context=Product:1#Product:1, productName=""36 inch LED TV"""
"main", "14", "Product.java:10", "Line Step", "file=Product.java, line=10"
"main", "15", "Product.java:6", "Line Step", "file=Product.java, line=6"
"main", "16", "Product.java:6", "Field Write", "context=Product:1, observers=java.util.ArrayList (id=37)"
"main", "17", "Product.java:11", "Line Step", "file=Product.java, line=11"
"main", "18", "Product.java:11", "Field Write", "context=Product:1, productName=""36 inch LED TV"""
"main", "19", "Product.java:12", "Line Step", "file=Product.java, line=12"
"main", "20", "Product.java:13", "Line Step", "file=Product.java, line=13"
"main", "21", "Product.java:13", "Method Exit", "returner=Product:1#Product:1, value=<void>"
"main", "22", "ObserverTest.java:5", "Method Returned", ""
"main", "23", "ObserverTest.java:5", "Line Step", "file=ObserverTest.java, line=5"
"main", "24", "ObserverTest.java:5", "Variable Write", "context=ObserverTest#main:1, product=Product:1"
"main", "25", "ObserverTest.java:6", "Line Step", "file=ObserverTest.java, line=6"
"main", "26", "SYSTEM", "Type Load", "class=Bidder"
"main", "27", "ObserverTest.java:6", "New Object", "object=Bidder:1"
"main", "28", "ObserverTest.java:6", "Method Call", "caller=ObserverTest#main:1, target=Bidder:1#Bidder:1"
"main", "29", "Bidder.java:4", "Method Entered", ""
"main", "30", "Bidder.java:4", "Variable Write", "context=Bidder:1#Bidder:1, bidderName=""Alex Parker"""
"main", "31", "Bidder.java:4", "Line Step", "file=Bidder.java, line=4"
"main", "32", "Bidder.java:5", "Line Step", "file=Bidder.java, line=5"
"main", "33", "Bidder.java:5", "Field Write", "context=Bidder:1, bidderName=""Alex Parker"""
"main", "34", "Bidder.java:6", "Line Step", "file=Bidder.java, line=6"
"main", "35", "Bidder.java:6", "Method Exit", "returner=Bidder:1#Bidder:1, value=<void>"
"main", "36", "ObserverTest.java:6", "Method Returned", ""
"main", "37", "ObserverTest.java:6", "Line Step", "file=ObserverTest.java, line=6"
"main", "38", "ObserverTest.java:6", "Variable Write", "context=ObserverTest#main:1, bidder1=Bidder:1"
"main", "39", "ObserverTest.java:7", "Line Step", "file=ObserverTest.java, line=7"
"main", "40", "ObserverTest.java:7", "New Object", "object=Bidder:2"
"main", "41", "ObserverTest.java:7", "Method Call", "caller=ObserverTest#main:1, target=Bidder:2#Bidder:2"
"main", "42", "Bidder.java:4", "Method Entered", ""
"main", "43", "Bidder.java:4", "Variable Write", "context=Bidder:2#Bidder:2, bidderName=""Henry Smith"""
"main", "44", "Bidder.java:4", "Line Step", "file=Bidder.java, line=4"
"main", "45", "Bidder.java:5", "Line Step", "file=Bidder.java, line=5"
"main", "46", "Bidder.java:5", "Field Write", "context=Bidder:2, bidderName=""Henry Smith"""
"main", "47", "Bidder.java:6", "Line Step", "file=Bidder.java, line=6"
"main", "48", "Bidder.java:6", "Method Exit", "returner=Bidder:2#Bidder:2, value=<void>"
"main", "49", "ObserverTest.java:7", "Method Returned", ""
"main", "50", "ObserverTest.java:7", "Line Step", "file=ObserverTest.java, line=7"
"main", "51", "ObserverTest.java:7", "Variable Write", "context=ObserverTest#main:1, bidder2=Bidder:2"
"main", "52", "ObserverTest.java:8", "Line Step", "file=ObserverTest.java, line=8"
"main", "53", "ObserverTest.java:8", "New Object", "object=Bidder:3"
"main", "54", "ObserverTest.java:8", "Method Call", "caller=ObserverTest#main:1, target=Bidder:3#Bidder:3"
"main", "55", "Bidder.java:4", "Method Entered", ""
"main", "56", "Bidder.java:4", "Variable Write", "context=Bidder:3#Bidder:3, bidderName=""Mary Peterson"""
"main", "57", "Bidder.java:4", "Line Step", "file=Bidder.java, line=4"
"main", "58", "Bidder.java:5", "Line Step", "file=Bidder.java, line=5"
"main", "59", "Bidder.java:5", "Field Write", "context=Bidder:3, bidderName=""Mary Peterson"""
"main", "60", "Bidder.java:6", "Line Step", "file=Bidder.java, line=6"
"main", "61", "Bidder.java:6", "Method Exit", "returner=Bidder:3#Bidder:3, value=<void>"
"main", "62", "ObserverTest.java:8", "Method Returned", ""
"main", "63", "ObserverTest.java:8", "Line Step", "file=ObserverTest.java, line=8"
"main", "64", "ObserverTest.java:8", "Variable Write", "context=ObserverTest#main:1, bidder3=Bidder:3"
"main", "65", "ObserverTest.java:9", "Line Step", "file=ObserverTest.java, line=9"
"main", "66", "ObserverTest.java:9", "Method Call", "caller=ObserverTest#main:1, target=Product:1#registerObserver:1"
"main", "67", "Product.java:27", "Method Entered", ""
"main", "68", "Product.java:27", "Variable Write", "context=Product:1#registerObserver:1, observer=Bidder:1"
"main", "69", "Product.java:28", "Line Step", "file=Product.java, line=28"
"main", "70", "Product.java:28", "Field Read", "context=Product:1, observers"
"main", "71", "Product.java:29", "Line Step", "file=Product.java, line=29"
"main", "72", "Product.java:29", "Method Exit", "returner=Product:1#registerObserver:1, value=<void>"
"main", "73", "ObserverTest.java:9", "Method Returned", ""
"main", "74", "ObserverTest.java:10", "Line Step", "file=ObserverTest.java, line=10"
"main", "75", "ObserverTest.java:10", "Method Call", "caller=ObserverTest#main:1, target=Product:1#registerObserver:2"
"main", "76", "Product.java:27", "Method Entered", ""
"main", "77", "Product.java:27", "Variable Write", "context=Product:1#registerObserver:2, observer=Bidder:2"
"main", "78", "Product.java:28", "Line Step", "file=Product.java, line=28"
"main", "79", "Product.java:28", "Field Read", "context=Product:1, observers"
"main", "80", "Product.java:29", "Line Step", "file=Product.java, line=29"
"main", "81", "Product.java:29", "Method Exit", "returner=Product:1#registerObserver:2, value=<void>"
"main", "82", "ObserverTest.java:10", "Method Returned", ""
