"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=DocumentPrototypeManagerTest"
"main", "5", "DocumentPrototypeManagerTest.java:4", "Method Call", "caller=SYSTEM, target=DocumentPrototypeManagerTest#main:1"
"main", "6", "DocumentPrototypeManagerTest.java:3", "Method Entered", ""
"main", "7", "DocumentPrototypeManagerTest.java:3", "Variable Write", "context=DocumentPrototypeManagerTest#main:1, args=java.lang.String[0] (id=21)"
"main", "8", "DocumentPrototypeManagerTest.java:4", "Line Step", "file=DocumentPrototypeManagerTest.java, line=4"
"main", "9", "SYSTEM", "Type Load", "class=DocumentPrototypeManager"
"main", "10", "SYSTEM", "Method Call", "caller=DocumentPrototypeManagerTest#main:1, target=DocumentPrototypeManager#<clinit>:1"
"main", "11", "DocumentPrototypeManager.java:2", "Method Entered", ""
"main", "12", "DocumentPrototypeManager.java:3", "Field Write", "context=DocumentPrototypeManager, prototypes=java.util.HashMap (id=27)"
"main", "13", "SYSTEM", "Type Load", "class=PrototypeCapableDocument"
"main", "14", "SYSTEM", "Type Load", "class=TAndC"
"main", "15", "DocumentPrototypeManager.java:3", "New Object", "object=TAndC:1"
"main", "16", "PrototypeCapableDocument.java:2", "Method Call", "caller=DocumentPrototypeManager#<clinit>:1, target=TAndC:1#TAndC:1"
"main", "17", "TAndC.java:2", "Method Entered", ""
"main", "18", "PrototypeCapableDocument.java:2", "Method Call", "caller=TAndC:1#TAndC:1, target=PrototypeCapableDocument:1#PrototypeCapableDocument:1"
"main", "19", "PrototypeCapableDocument.java:2", "Method Entered", ""
"main", "20", "PrototypeCapableDocument.java:2", "Method Exit", "returner=PrototypeCapableDocument:1#PrototypeCapableDocument:1, value=<void>"
"main", "21", "PrototypeCapableDocument.java:2", "Method Returned", ""
"main", "22", "TAndC.java:2", "Method Exit", "returner=TAndC:1#TAndC:1, value=<void>"
"main", "23", "PrototypeCapableDocument.java:2", "Method Returned", ""
"main", "24", "DocumentPrototypeManager.java:6", "Method Call", "caller=DocumentPrototypeManager#<clinit>:1, target=PrototypeCapableDocument:1#setVendorName:1"
"main", "25", "PrototypeCapableDocument.java:8", "Method Entered", ""
"main", "26", "PrototypeCapableDocument.java:8", "Variable Write", "context=PrototypeCapableDocument:1#setVendorName:1, vendorName=""Vendor Name Placeholder"""
"main", "27", "PrototypeCapableDocument.java:9", "Field Write", "context=PrototypeCapableDocument:1, vendorName=""Vendor Name Placeholder"""
"main", "28", "PrototypeCapableDocument.java:9", "Method Exit", "returner=PrototypeCapableDocument:1#setVendorName:1, value=<void>"
"main", "29", "DocumentPrototypeManager.java:6", "Method Returned", ""
"main", "30", "DocumentPrototypeManager.java:8", "Method Call", "caller=DocumentPrototypeManager#<clinit>:1, target=PrototypeCapableDocument:1#setContent:1"
"main", "31", "PrototypeCapableDocument.java:14", "Method Entered", ""
"main", "32", "PrototypeCapableDocument.java:14", "Variable Write", "context=PrototypeCapableDocument:1#setContent:1, content=""Please read and accept the terms and conditions..."""
"main", "33", "PrototypeCapableDocument.java:15", "Field Write", "context=PrototypeCapableDocument:1, content=""Please read and accept the terms and conditions..."""
"main", "34", "PrototypeCapableDocument.java:15", "Method Exit", "returner=PrototypeCapableDocument:1#setContent:1, value=<void>"
"main", "35", "DocumentPrototypeManager.java:8", "Method Returned", ""
"main", "36", "DocumentPrototypeManager.java:9", "Field Read", "context=DocumentPrototypeManager, prototypes"
"main", "37", "SYSTEM", "Type Load", "class=AuthorizedSignatory"
"main", "38", "DocumentPrototypeManager.java:9", "New Object", "object=AuthorizedSignatory:1"
"main", "39", "AuthorizedSignatory.java:1", "Method Call", "caller=DocumentPrototypeManager#<clinit>:1, target=AuthorizedSignatory:1#AuthorizedSignatory:1"
"main", "40", "AuthorizedSignatory.java:1", "Method Entered", ""
"main", "41", "AuthorizedSignatory.java:1", "Method Exit", "returner=AuthorizedSignatory:1#AuthorizedSignatory:1, value=<void>"
"main", "42", "AuthorizedSignatory.java:1", "Method Returned", ""
"main", "43", "DocumentPrototypeManager.java:11", "Method Call", "caller=DocumentPrototypeManager#<clinit>:1, target=AuthorizedSignatory:1#setName:1"
"main", "44", "AuthorizedSignatory.java:7", "Method Entered", ""
"main", "45", "AuthorizedSignatory.java:7", "Variable Write", "context=AuthorizedSignatory:1#setName:1, name=""Andrew Clark"""
"main", "46", "AuthorizedSignatory.java:8", "Field Write", "context=AuthorizedSignatory:1, name=""Andrew Clark"""
"main", "47", "AuthorizedSignatory.java:8", "Method Exit", "returner=AuthorizedSignatory:1#setName:1, value=<void>"
"main", "48", "DocumentPrototypeManager.java:11", "Method Returned", ""
"main", "49", "DocumentPrototypeManager.java:12", "Method Call", "caller=DocumentPrototypeManager#<clinit>:1, target=AuthorizedSignatory:1#setDesignation:1"
"main", "50", "AuthorizedSignatory.java:13", "Method Entered", ""
"main", "51", "AuthorizedSignatory.java:13", "Variable Write", "context=AuthorizedSignatory:1#setDesignation:1, designation=""Operation Head"""
"main", "52", "AuthorizedSignatory.java:14", "Field Write", "context=AuthorizedSignatory:1, designation=""Operation Head"""
"main", "53", "AuthorizedSignatory.java:14", "Method Exit", "returner=AuthorizedSignatory:1#setDesignation:1, value=<void>"
"main", "54", "SYSTEM", "Type Load", "class=NDAgreement"
"main", "55", "DocumentPrototypeManager.java:12", "Method Returned", ""
"main", "56", "DocumentPrototypeManager.java:3", "New Object", "object=NDAgreement:1"
"main", "57", "PrototypeCapableDocument.java:2", "Method Call", "caller=DocumentPrototypeManager#<clinit>:1, target=NDAgreement:1#NDAgreement:1"
"main", "58", "NDAgreement.java:2", "Method Entered", ""
"main", "59", "PrototypeCapableDocument.java:2", "Method Call", "caller=NDAgreement:1#NDAgreement:1, target=PrototypeCapableDocument:2#PrototypeCapableDocument:2"
"main", "60", "PrototypeCapableDocument.java:2", "Method Entered", ""
"main", "61", "PrototypeCapableDocument.java:2", "Method Exit", "returner=PrototypeCapableDocument:2#PrototypeCapableDocument:2, value=<void>"
"main", "62", "PrototypeCapableDocument.java:2", "Method Returned", ""
"main", "63", "NDAgreement.java:2", "Method Exit", "returner=NDAgreement:1#NDAgreement:1, value=<void>"
"main", "64", "PrototypeCapableDocument.java:2", "Method Returned", ""
