"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=Image_Proxy"
"main", "5", "Image_Proxy.java:4", "Method Call", "caller=SYSTEM, target=Image_Proxy#main:1"
"main", "6", "Image_Proxy.java:3", "Method Entered", ""
"main", "7", "Image_Proxy.java:3", "Variable Write", "context=Image_Proxy#main:1, args=java.lang.String[0] (id=23)"
"main", "8", "Image_Proxy.java:4", "Line Step", "file=Image_Proxy.java, line=4"
"main", "9", "SYSTEM", "Type Load", "class=ProxyImage"
"main", "10", "Image_Proxy.java:4", "New Object", "object=ProxyImage:1"
"main", "11", "Image_Proxy.java:4", "Method Call", "caller=Image_Proxy#main:1, target=ProxyImage:1#ProxyImage:1"
"main", "12", "Image_Proxy.java:40", "Method Entered", ""
"main", "13", "Image_Proxy.java:40", "Variable Write", "context=ProxyImage:1#ProxyImage:1, fileName=""test_10mb.jpg"""
"main", "14", "Image_Proxy.java:40", "Line Step", "file=Image_Proxy.java, line=40"
"main", "15", "Image_Proxy.java:41", "Line Step", "file=Image_Proxy.java, line=41"
"main", "16", "Image_Proxy.java:41", "Field Write", "context=ProxyImage:1, fileName=""test_10mb.jpg"""
"main", "17", "Image_Proxy.java:42", "Line Step", "file=Image_Proxy.java, line=42"
"main", "18", "Image_Proxy.java:42", "Method Exit", "returner=ProxyImage:1#ProxyImage:1, value=<void>"
"main", "19", "Image_Proxy.java:4", "Method Returned", ""
"main", "20", "Image_Proxy.java:4", "Line Step", "file=Image_Proxy.java, line=4"
"main", "21", "Image_Proxy.java:4", "Variable Write", "context=Image_Proxy#main:1, image=ProxyImage:1"
"main", "22", "Image_Proxy.java:7", "Line Step", "file=Image_Proxy.java, line=7"
"main", "23", "Image_Proxy.java:7", "Method Call", "caller=Image_Proxy#main:1, target=ProxyImage:1#display:1"
"main", "24", "Image_Proxy.java:45", "Method Entered", ""
"main", "25", "Image_Proxy.java:46", "Line Step", "file=Image_Proxy.java, line=46"
"main", "26", "Image_Proxy.java:46", "Field Read", "context=ProxyImage:1, realImage"
"main", "27", "Image_Proxy.java:47", "Line Step", "file=Image_Proxy.java, line=47"
"main", "28", "SYSTEM", "Type Load", "class=RealImage"
"main", "29", "Image_Proxy.java:47", "Field Read", "context=ProxyImage:1, fileName"
"main", "30", "Image_Proxy.java:47", "New Object", "object=RealImage:1"
"main", "31", "Image_Proxy.java:47", "Method Call", "caller=ProxyImage:1#display:1, target=RealImage:1#RealImage:1"
"main", "32", "Image_Proxy.java:21", "Method Entered", ""
"main", "33", "Image_Proxy.java:21", "Variable Write", "context=RealImage:1#RealImage:1, fileName=""test_10mb.jpg"""
"main", "34", "Image_Proxy.java:21", "Line Step", "file=Image_Proxy.java, line=21"
"main", "35", "Image_Proxy.java:22", "Line Step", "file=Image_Proxy.java, line=22"
"main", "36", "Image_Proxy.java:22", "Field Write", "context=RealImage:1, fileName=""test_10mb.jpg"""
"main", "37", "Image_Proxy.java:23", "Line Step", "file=Image_Proxy.java, line=23"
"main", "38", "Image_Proxy.java:23", "Method Call", "caller=RealImage:1#RealImage:1, target=RealImage:1#loadFromDisk:1"
"main", "39", "Image_Proxy.java:31", "Method Entered", ""
"main", "40", "Image_Proxy.java:31", "Variable Write", "context=RealImage:1#loadFromDisk:1, fileName=""test_10mb.jpg"""
"main", "41", "Image_Proxy.java:32", "Line Step", "file=Image_Proxy.java, line=32"
"main", "42", "Image_Proxy.java:33", "Line Step", "file=Image_Proxy.java, line=33"
"main", "43", "Image_Proxy.java:33", "Method Exit", "returner=RealImage:1#loadFromDisk:1, value=<void>"
"main", "44", "Image_Proxy.java:23", "Method Returned", ""
"main", "45", "Image_Proxy.java:24", "Line Step", "file=Image_Proxy.java, line=24"
"main", "46", "Image_Proxy.java:24", "Method Exit", "returner=RealImage:1#RealImage:1, value=<void>"
"main", "47", "Image_Proxy.java:47", "Method Returned", ""
"main", "48", "Image_Proxy.java:47", "Line Step", "file=Image_Proxy.java, line=47"
"main", "49", "Image_Proxy.java:47", "Field Write", "context=ProxyImage:1, realImage=RealImage:1"
"main", "50", "Image_Proxy.java:49", "Line Step", "file=Image_Proxy.java, line=49"
"main", "51", "Image_Proxy.java:49", "Field Read", "context=ProxyImage:1, realImage"
"main", "52", "Image_Proxy.java:49", "Method Call", "caller=ProxyImage:1#display:1, target=RealImage:1#display:1"
"main", "53", "Image_Proxy.java:27", "Method Entered", ""
"main", "54", "Image_Proxy.java:28", "Line Step", "file=Image_Proxy.java, line=28"
"main", "55", "Image_Proxy.java:28", "Field Read", "context=RealImage:1, fileName"
"main", "56", "Image_Proxy.java:29", "Line Step", "file=Image_Proxy.java, line=29"
"main", "57", "Image_Proxy.java:29", "Method Exit", "returner=RealImage:1#display:1, value=<void>"
"main", "58", "Image_Proxy.java:49", "Method Returned", ""
"main", "59", "Image_Proxy.java:50", "Line Step", "file=Image_Proxy.java, line=50"
"main", "60", "Image_Proxy.java:50", "Method Exit", "returner=ProxyImage:1#display:1, value=<void>"
"main", "61", "Image_Proxy.java:7", "Method Returned", ""
"main", "62", "Image_Proxy.java:8", "Line Step", "file=Image_Proxy.java, line=8"
"main", "63", "Image_Proxy.java:11", "Line Step", "file=Image_Proxy.java, line=11"
"main", "64", "Image_Proxy.java:11", "Method Call", "caller=Image_Proxy#main:1, target=ProxyImage:1#display:2"
"main", "65", "Image_Proxy.java:45", "Method Entered", ""
"main", "66", "Image_Proxy.java:46", "Line Step", "file=Image_Proxy.java, line=46"
"main", "67", "Image_Proxy.java:46", "Field Read", "context=ProxyImage:1, realImage"
"main", "68", "Image_Proxy.java:49", "Line Step", "file=Image_Proxy.java, line=49"
"main", "69", "Image_Proxy.java:49", "Field Read", "context=ProxyImage:1, realImage"
"main", "70", "Image_Proxy.java:49", "Method Call", "caller=ProxyImage:1#display:2, target=RealImage:1#display:2"
"main", "71", "Image_Proxy.java:27", "Method Entered", ""
"main", "72", "Image_Proxy.java:28", "Line Step", "file=Image_Proxy.java, line=28"
"main", "73", "Image_Proxy.java:28", "Field Read", "context=RealImage:1, fileName"
"main", "74", "Image_Proxy.java:29", "Line Step", "file=Image_Proxy.java, line=29"
"main", "75", "Image_Proxy.java:29", "Method Exit", "returner=RealImage:1#display:2, value=<void>"
