"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=ReportGeneratorImplProxyTest"
"main", "5", "ReportGeneratorImplProxyTest.java:4", "Method Call", "caller=SYSTEM, target=ReportGeneratorImplProxyTest#main:1"
"main", "6", "ReportGeneratorImplProxyTest.java:3", "Method Entered", ""
"main", "7", "ReportGeneratorImplProxyTest.java:3", "Variable Write", "context=ReportGeneratorImplProxyTest#main:1, args=java.lang.String[0] (id=23)"
"main", "8", "ReportGeneratorImplProxyTest.java:4", "Line Step", "file=ReportGeneratorImplProxyTest.java, line=4"
"main", "9", "SYSTEM", "Type Load", "class=Role"
"main", "10", "ReportGeneratorImplProxyTest.java:4", "New Object", "object=Role:1"
"main", "11", "ReportGeneratorImplProxyTest.java:4", "Method Call", "caller=ReportGeneratorImplProxyTest#main:1, target=Role:1#Role:1"
"main", "12", "Role.java:2", "Method Entered", ""
"main", "13", "Role.java:2", "Line Step", "file=Role.java, line=2"
"main", "14", "Role.java:2", "Method Exit", "returner=Role:1#Role:1, value=<void>"
"main", "15", "ReportGeneratorImplProxyTest.java:4", "Method Returned", ""
"main", "16", "ReportGeneratorImplProxyTest.java:4", "Line Step", "file=ReportGeneratorImplProxyTest.java, line=4"
"main", "17", "ReportGeneratorImplProxyTest.java:4", "Variable Write", "context=ReportGeneratorImplProxyTest#main:1, accessRole=Role:1"
"main", "18", "ReportGeneratorImplProxyTest.java:5", "Line Step", "file=ReportGeneratorImplProxyTest.java, line=5"
"main", "19", "ReportGeneratorImplProxyTest.java:5", "Method Call", "caller=ReportGeneratorImplProxyTest#main:1, target=Role:1#setRole:1"
"main", "20", "Role.java:7", "Method Entered", ""
"main", "21", "Role.java:7", "Variable Write", "context=Role:1#setRole:1, role=""Manager"""
"main", "22", "Role.java:8", "Line Step", "file=Role.java, line=8"
"main", "23", "Role.java:8", "Field Write", "context=Role:1, role=""Manager"""
"main", "24", "Role.java:9", "Line Step", "file=Role.java, line=9"
"main", "25", "Role.java:9", "Method Exit", "returner=Role:1#setRole:1, value=<void>"
"main", "26", "ReportGeneratorImplProxyTest.java:5", "Method Returned", ""
"main", "27", "ReportGeneratorImplProxyTest.java:6", "Line Step", "file=ReportGeneratorImplProxyTest.java, line=6"
"main", "28", "SYSTEM", "Type Load", "class=ReportGeneratorImplProxy"
"main", "29", "ReportGeneratorImplProxyTest.java:6", "New Object", "object=ReportGeneratorImplProxy:1"
"main", "30", "ReportGeneratorImplProxyTest.java:6", "Method Call", "caller=ReportGeneratorImplProxyTest#main:1, target=ReportGeneratorImplProxy:1#ReportGeneratorImplProxy:1"
"main", "31", "ReportGeneratorImplProxy.java:5", "Method Entered", ""
"main", "32", "ReportGeneratorImplProxy.java:5", "Variable Write", "context=ReportGeneratorImplProxy:1#ReportGeneratorImplProxy:1, accessRole=Role:1"
"main", "33", "ReportGeneratorImplProxy.java:5", "Line Step", "file=ReportGeneratorImplProxy.java, line=5"
"main", "34", "ReportGeneratorImplProxy.java:6", "Line Step", "file=ReportGeneratorImplProxy.java, line=6"
"main", "35", "ReportGeneratorImplProxy.java:6", "Field Write", "context=ReportGeneratorImplProxy:1, accessRole=Role:1"
"main", "36", "ReportGeneratorImplProxy.java:7", "Line Step", "file=ReportGeneratorImplProxy.java, line=7"
"main", "37", "ReportGeneratorImplProxy.java:7", "Method Exit", "returner=ReportGeneratorImplProxy:1#ReportGeneratorImplProxy:1, value=<void>"
"main", "38", "ReportGeneratorImplProxyTest.java:6", "Method Returned", ""
"main", "39", "ReportGeneratorImplProxyTest.java:6", "Line Step", "file=ReportGeneratorImplProxyTest.java, line=6"
"main", "40", "ReportGeneratorImplProxyTest.java:6", "Variable Write", "context=ReportGeneratorImplProxyTest#main:1, proxy=ReportGeneratorImplProxy:1"
"main", "41", "ReportGeneratorImplProxyTest.java:7", "Line Step", "file=ReportGeneratorImplProxyTest.java, line=7"
"main", "42", "ReportGeneratorImplProxyTest.java:7", "Method Call", "caller=ReportGeneratorImplProxyTest#main:1, target=ReportGeneratorImplProxy:1#displayReportTemplate:1"
"main", "43", "ReportGeneratorImplProxy.java:9", "Method Entered", ""
"main", "44", "ReportGeneratorImplProxy.java:9", "Variable Write", "context=ReportGeneratorImplProxy:1#displayReportTemplate:1, reportFormat=""Pdf"""
"main", "45", "ReportGeneratorImplProxy.java:9", "Variable Write", "context=ReportGeneratorImplProxy:1#displayReportTemplate:1, reportEntries=150"
"main", "46", "ReportGeneratorImplProxy.java:10", "Line Step", "file=ReportGeneratorImplProxy.java, line=10"
"main", "47", "ReportGeneratorImplProxy.java:11", "Line Step", "file=ReportGeneratorImplProxy.java, line=11"
"main", "48", "ReportGeneratorImplProxy.java:11", "Method Exit", "returner=ReportGeneratorImplProxy:1#displayReportTemplate:1, value=<void>"
"main", "49", "ReportGeneratorImplProxyTest.java:7", "Method Returned", ""
"main", "50", "ReportGeneratorImplProxyTest.java:8", "Line Step", "file=ReportGeneratorImplProxyTest.java, line=8"
"main", "51", "ReportGeneratorImplProxyTest.java:8", "Method Call", "caller=ReportGeneratorImplProxyTest#main:1, target=ReportGeneratorImplProxy:1#generateComplexReport:1"
"main", "52", "ReportGeneratorImplProxy.java:13", "Method Entered", ""
"main", "53", "ReportGeneratorImplProxy.java:13", "Variable Write", "context=ReportGeneratorImplProxy:1#generateComplexReport:1, reportEntries=150"
"main", "54", "ReportGeneratorImplProxy.java:13", "Variable Write", "context=ReportGeneratorImplProxy:1#generateComplexReport:1, reportFormat=""Pdf"""
"main", "55", "ReportGeneratorImplProxy.java:14", "Line Step", "file=ReportGeneratorImplProxy.java, line=14"
"main", "56", "ReportGeneratorImplProxy.java:14", "Field Read", "context=ReportGeneratorImplProxy:1, reportGeneratorImpl"
"main", "57", "ReportGeneratorImplProxy.java:15", "Line Step", "file=ReportGeneratorImplProxy.java, line=15"
"main", "58", "SYSTEM", "Type Load", "class=ReportGeneratorImpl"
"main", "59", "ReportGeneratorImplProxy.java:15", "New Object", "object=ReportGeneratorImpl:1"
"main", "60", "ReportGeneratorImplProxy.java:15", "Method Call", "caller=ReportGeneratorImplProxy:1#generateComplexReport:1, target=ReportGeneratorImpl:1#ReportGeneratorImpl:1"
"main", "61", "ReportGeneratorImpl.java:3", "Method Entered", ""
