"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=GumballMachineTestDrive"
"main", "5", "GumballMachineTestDrive.java:6", "Method Call", "caller=SYSTEM, target=GumballMachineTestDrive#main:1"
"main", "6", "GumballMachineTestDrive.java:3", "Method Entered", ""
"main", "7", "GumballMachineTestDrive.java:3", "Variable Write", "context=GumballMachineTestDrive#main:1, args=java.lang.String[0] (id=21)"
"main", "8", "GumballMachineTestDrive.java:6", "Line Step", "file=GumballMachineTestDrive.java, line=6"
"main", "9", "SYSTEM", "Type Load", "class=GumballMachine"
"main", "10", "GumballMachineTestDrive.java:6", "New Object", "object=GumballMachine:1"
"main", "11", "GumballMachineTestDrive.java:6", "Method Call", "caller=GumballMachineTestDrive#main:1, target=GumballMachine:1#GumballMachine:1"
"main", "12", "GumballMachineTestDrive.java:51", "Method Entered", ""
"main", "13", "GumballMachineTestDrive.java:51", "Variable Write", "context=GumballMachine:1#GumballMachine:1, numberGumballs=5"
"main", "14", "GumballMachineTestDrive.java:51", "Line Step", "file=GumballMachineTestDrive.java, line=51"
"main", "15", "GumballMachineTestDrive.java:49", "Line Step", "file=GumballMachineTestDrive.java, line=49"
"main", "16", "GumballMachineTestDrive.java:49", "Field Write", "context=GumballMachine:1, count=0"
"main", "17", "GumballMachineTestDrive.java:52", "Line Step", "file=GumballMachineTestDrive.java, line=52"
"main", "18", "SYSTEM", "Type Load", "class=SoldOutState"
"main", "19", "GumballMachineTestDrive.java:52", "New Object", "object=SoldOutState:1"
"main", "20", "GumballMachineTestDrive.java:52", "Method Call", "caller=GumballMachine:1#GumballMachine:1, target=SoldOutState:1#SoldOutState:1"
"main", "21", "GumballMachineTestDrive.java:264", "Method Entered", ""
"main", "22", "GumballMachineTestDrive.java:264", "Variable Write", "context=SoldOutState:1#SoldOutState:1, gumballMachine=GumballMachine:1"
"main", "23", "GumballMachineTestDrive.java:264", "Line Step", "file=GumballMachineTestDrive.java, line=264"
"main", "24", "GumballMachineTestDrive.java:265", "Line Step", "file=GumballMachineTestDrive.java, line=265"
"main", "25", "GumballMachineTestDrive.java:265", "Field Write", "context=SoldOutState:1, gumballMachine=GumballMachine:1"
"main", "26", "GumballMachineTestDrive.java:266", "Line Step", "file=GumballMachineTestDrive.java, line=266"
"main", "27", "GumballMachineTestDrive.java:266", "Method Exit", "returner=SoldOutState:1#SoldOutState:1, value=<void>"
"main", "28", "GumballMachineTestDrive.java:52", "Method Returned", ""
"main", "29", "GumballMachineTestDrive.java:52", "Line Step", "file=GumballMachineTestDrive.java, line=52"
"main", "30", "GumballMachineTestDrive.java:52", "Field Write", "context=GumballMachine:1, soldOutState=SoldOutState:1"
"main", "31", "GumballMachineTestDrive.java:53", "Line Step", "file=GumballMachineTestDrive.java, line=53"
"main", "32", "SYSTEM", "Type Load", "class=NoQuarterState"
"main", "33", "GumballMachineTestDrive.java:53", "New Object", "object=NoQuarterState:1"
"main", "34", "GumballMachineTestDrive.java:53", "Method Call", "caller=GumballMachine:1#GumballMachine:1, target=NoQuarterState:1#NoQuarterState:1"
"main", "35", "GumballMachineTestDrive.java:152", "Method Entered", ""
"main", "36", "GumballMachineTestDrive.java:152", "Variable Write", "context=NoQuarterState:1#NoQuarterState:1, gumballMachine=GumballMachine:1"
"main", "37", "GumballMachineTestDrive.java:152", "Line Step", "file=GumballMachineTestDrive.java, line=152"
"main", "38", "GumballMachineTestDrive.java:153", "Line Step", "file=GumballMachineTestDrive.java, line=153"
"main", "39", "GumballMachineTestDrive.java:153", "Field Write", "context=NoQuarterState:1, gumballMachine=GumballMachine:1"
"main", "40", "GumballMachineTestDrive.java:154", "Line Step", "file=GumballMachineTestDrive.java, line=154"
"main", "41", "GumballMachineTestDrive.java:154", "Method Exit", "returner=NoQuarterState:1#NoQuarterState:1, value=<void>"
"main", "42", "GumballMachineTestDrive.java:53", "Method Returned", ""
"main", "43", "GumballMachineTestDrive.java:53", "Line Step", "file=GumballMachineTestDrive.java, line=53"
"main", "44", "GumballMachineTestDrive.java:53", "Field Write", "context=GumballMachine:1, noQuarterState=NoQuarterState:1"
"main", "45", "GumballMachineTestDrive.java:54", "Line Step", "file=GumballMachineTestDrive.java, line=54"
"main", "46", "SYSTEM", "Type Load", "class=HasQuarterState"
"main", "47", "GumballMachineTestDrive.java:54", "New Object", "object=HasQuarterState:1"
"main", "48", "GumballMachineTestDrive.java:54", "Method Call", "caller=GumballMachine:1#GumballMachine:1, target=HasQuarterState:1#HasQuarterState:1"
"main", "49", "GumballMachineTestDrive.java:116", "Method Entered", ""
"main", "50", "GumballMachineTestDrive.java:116", "Variable Write", "context=HasQuarterState:1#HasQuarterState:1, gumballMachine=GumballMachine:1"
"main", "51", "GumballMachineTestDrive.java:116", "Line Step", "file=GumballMachineTestDrive.java, line=116"
"main", "52", "GumballMachineTestDrive.java:117", "Line Step", "file=GumballMachineTestDrive.java, line=117"
"main", "53", "GumballMachineTestDrive.java:117", "Field Write", "context=HasQuarterState:1, gumballMachine=GumballMachine:1"
"main", "54", "GumballMachineTestDrive.java:118", "Line Step", "file=GumballMachineTestDrive.java, line=118"
"main", "55", "GumballMachineTestDrive.java:118", "Method Exit", "returner=HasQuarterState:1#HasQuarterState:1, value=<void>"
"main", "56", "GumballMachineTestDrive.java:54", "Method Returned", ""
"main", "57", "GumballMachineTestDrive.java:54", "Line Step", "file=GumballMachineTestDrive.java, line=54"
"main", "58", "GumballMachineTestDrive.java:54", "Field Write", "context=GumballMachine:1, hasQuarterState=HasQuarterState:1"
"main", "59", "GumballMachineTestDrive.java:55", "Line Step", "file=GumballMachineTestDrive.java, line=55"
"main", "60", "SYSTEM", "Type Load", "class=SoldState"
"main", "61", "GumballMachineTestDrive.java:55", "New Object", "object=SoldState:1"
"main", "62", "GumballMachineTestDrive.java:55", "Method Call", "caller=GumballMachine:1#GumballMachine:1, target=SoldState:1#SoldState:1"
"main", "63", "GumballMachineTestDrive.java:223", "Method Entered", ""
"main", "64", "GumballMachineTestDrive.java:223", "Variable Write", "context=SoldState:1#SoldState:1, gumballMachine=GumballMachine:1"
"main", "65", "GumballMachineTestDrive.java:223", "Line Step", "file=GumballMachineTestDrive.java, line=223"
"main", "66", "GumballMachineTestDrive.java:224", "Line Step", "file=GumballMachineTestDrive.java, line=224"
"main", "67", "GumballMachineTestDrive.java:224", "Field Write", "context=SoldState:1, gumballMachine=GumballMachine:1"
"main", "68", "GumballMachineTestDrive.java:225", "Line Step", "file=GumballMachineTestDrive.java, line=225"
"main", "69", "GumballMachineTestDrive.java:225", "Method Exit", "returner=SoldState:1#SoldState:1, value=<void>"
"main", "70", "GumballMachineTestDrive.java:55", "Method Returned", ""
"main", "71", "GumballMachineTestDrive.java:55", "Line Step", "file=GumballMachineTestDrive.java, line=55"
"main", "72", "GumballMachineTestDrive.java:55", "Field Write", "context=GumballMachine:1, soldState=SoldState:1"
"main", "73", "GumballMachineTestDrive.java:56", "Line Step", "file=GumballMachineTestDrive.java, line=56"
"main", "74", "GumballMachineTestDrive.java:56", "Field Write", "context=GumballMachine:1, count=5"
"main", "75", "GumballMachineTestDrive.java:57", "Line Step", "file=GumballMachineTestDrive.java, line=57"
"main", "76", "GumballMachineTestDrive.java:57", "Field Read", "context=GumballMachine:1, soldOutState"
"main", "77", "GumballMachineTestDrive.java:57", "Field Write", "context=GumballMachine:1, state=SoldOutState:1"
"main", "78", "GumballMachineTestDrive.java:58", "Line Step", "file=GumballMachineTestDrive.java, line=58"
"main", "79", "GumballMachineTestDrive.java:59", "Line Step", "file=GumballMachineTestDrive.java, line=59"
"main", "80", "GumballMachineTestDrive.java:59", "Field Read", "context=GumballMachine:1, noQuarterState"
"main", "81", "GumballMachineTestDrive.java:59", "Field Write", "context=GumballMachine:1, state=NoQuarterState:1"
"main", "82", "GumballMachineTestDrive.java:61", "Line Step", "file=GumballMachineTestDrive.java, line=61"
"main", "83", "GumballMachineTestDrive.java:61", "Method Exit", "returner=GumballMachine:1#GumballMachine:1, value=<void>"
"main", "84", "GumballMachineTestDrive.java:6", "Method Returned", ""
"main", "85", "GumballMachineTestDrive.java:6", "Line Step", "file=GumballMachineTestDrive.java, line=6"
"main", "86", "GumballMachineTestDrive.java:6", "Variable Write", "context=GumballMachineTestDrive#main:1, gumballMachine=GumballMachine:1"
"main", "87", "GumballMachineTestDrive.java:8", "Line Step", "file=GumballMachineTestDrive.java, line=8"
"main", "88", "GumballMachineTestDrive.java:10", "Line Step", "file=GumballMachineTestDrive.java, line=10"
"main", "89", "GumballMachineTestDrive.java:10", "Method Call", "caller=GumballMachineTestDrive#main:1, target=GumballMachine:1#insertQuarter:1"
"main", "90", "GumballMachineTestDrive.java:63", "Method Entered", ""
"main", "91", "GumballMachineTestDrive.java:64", "Line Step", "file=GumballMachineTestDrive.java, line=64"
"main", "92", "GumballMachineTestDrive.java:64", "Field Read", "context=GumballMachine:1, state"
