x,m,y,n,y,n,z,p,z,p,y,q,y,q,z,y,z
CandyVendingMachineTest,main,CandyVendingMachine:1,insertCoin,CandyVendingMachine:1,insertCoin,NoCoinState:1,insertCoin,NoCoinState:1,insertCoin,CandyVendingMachine:1,getContainsCoinState,CandyVendingMachine:1,getNoCoinState,NoCoinState:1,CandyVendingMachine:1,NoCoinState:1
CandyVendingMachineTest,main,CandyVendingMachine:1,insertCoin,CandyVendingMachine:1,insertCoin,NoCoinState:1,insertCoin,NoCoinState:1,insertCoin,CandyVendingMachine:1,setState,CandyVendingMachine:1,getNoCoinState,NoCoinState:1,CandyVendingMachine:1,NoCoinState:1
CandyVendingMachineTest,main,CandyVendingMachine:1,pressButton,CandyVendingMachine:1,pressButton,ContainsCoinState:1,pressButton,ContainsCoinState:1,pressButton,CandyVendingMachine:1,getDispensedState,CandyVendingMachine:1,getContainsCoinState,ContainsCoinState:1,CandyVendingMachine:1,ContainsCoinState:1
CandyVendingMachineTest,main,CandyVendingMachine:1,pressButton,CandyVendingMachine:1,pressButton,ContainsCoinState:1,pressButton,ContainsCoinState:1,pressButton,CandyVendingMachine:1,setState,CandyVendingMachine:1,getContainsCoinState,ContainsCoinState:1,CandyVendingMachine:1,ContainsCoinState:1
CandyVendingMachineTest,main,CandyVendingMachine:1,pressButton,CandyVendingMachine:1,pressButton,DispensedState:1,dispense,DispensedState:1,dispense,CandyVendingMachine:1,getCount,CandyVendingMachine:1,getDispensedState,DispensedState:1,CandyVendingMachine:1,DispensedState:1
CandyVendingMachineTest,main,CandyVendingMachine:1,pressButton,CandyVendingMachine:1,pressButton,DispensedState:1,dispense,DispensedState:1,dispense,CandyVendingMachine:1,getNoCoinState,CandyVendingMachine:1,getDispensedState,DispensedState:1,CandyVendingMachine:1,DispensedState:1
CandyVendingMachineTest,main,CandyVendingMachine:1,pressButton,CandyVendingMachine:1,pressButton,DispensedState:1,dispense,DispensedState:1,dispense,CandyVendingMachine:1,setCount,CandyVendingMachine:1,getDispensedState,DispensedState:1,CandyVendingMachine:1,DispensedState:1
CandyVendingMachineTest,main,CandyVendingMachine:1,pressButton,CandyVendingMachine:1,pressButton,DispensedState:1,dispense,DispensedState:1,dispense,CandyVendingMachine:1,setState,CandyVendingMachine:1,getDispensedState,DispensedState:1,CandyVendingMachine:1,DispensedState:1
CandyVendingMachineTest,main,CandyVendingMachine:3,insertCoin,CandyVendingMachine:3,insertCoin,NoCoinState:3,insertCoin,NoCoinState:3,insertCoin,CandyVendingMachine:3,getContainsCoinState,CandyVendingMachine:3,getNoCoinState,NoCoinState:3,CandyVendingMachine:3,NoCoinState:3
CandyVendingMachineTest,main,CandyVendingMachine:3,insertCoin,CandyVendingMachine:3,insertCoin,NoCoinState:3,insertCoin,NoCoinState:3,insertCoin,CandyVendingMachine:3,setState,CandyVendingMachine:3,getNoCoinState,NoCoinState:3,CandyVendingMachine:3,NoCoinState:3
CandyVendingMachineTest,main,CandyVendingMachine:3,pressButton,CandyVendingMachine:3,pressButton,ContainsCoinState:3,pressButton,ContainsCoinState:3,pressButton,CandyVendingMachine:3,getDispensedState,CandyVendingMachine:3,getContainsCoinState,ContainsCoinState:3,CandyVendingMachine:3,ContainsCoinState:3
CandyVendingMachineTest,main,CandyVendingMachine:3,pressButton,CandyVendingMachine:3,pressButton,ContainsCoinState:3,pressButton,ContainsCoinState:3,pressButton,CandyVendingMachine:3,setState,CandyVendingMachine:3,getContainsCoinState,ContainsCoinState:3,CandyVendingMachine:3,ContainsCoinState:3
CandyVendingMachineTest,main,CandyVendingMachine:3,pressButton,CandyVendingMachine:3,pressButton,DispensedState:3,dispense,DispensedState:3,dispense,CandyVendingMachine:3,getCount,CandyVendingMachine:3,getDispensedState,DispensedState:3,CandyVendingMachine:3,DispensedState:3
CandyVendingMachineTest,main,CandyVendingMachine:3,pressButton,CandyVendingMachine:3,pressButton,DispensedState:3,dispense,DispensedState:3,dispense,CandyVendingMachine:3,getNoCandyState,CandyVendingMachine:3,getDispensedState,DispensedState:3,CandyVendingMachine:3,DispensedState:3
CandyVendingMachineTest,main,CandyVendingMachine:3,pressButton,CandyVendingMachine:3,pressButton,DispensedState:3,dispense,DispensedState:3,dispense,CandyVendingMachine:3,getNoCoinState,CandyVendingMachine:3,getDispensedState,DispensedState:3,CandyVendingMachine:3,DispensedState:3
CandyVendingMachineTest,main,CandyVendingMachine:3,pressButton,CandyVendingMachine:3,pressButton,DispensedState:3,dispense,DispensedState:3,dispense,CandyVendingMachine:3,setCount,CandyVendingMachine:3,getDispensedState,DispensedState:3,CandyVendingMachine:3,DispensedState:3
CandyVendingMachineTest,main,CandyVendingMachine:3,pressButton,CandyVendingMachine:3,pressButton,DispensedState:3,dispense,DispensedState:3,dispense,CandyVendingMachine:3,setState,CandyVendingMachine:3,getDispensedState,DispensedState:3,CandyVendingMachine:3,DispensedState:3
