x,m,y,n,z,p,q
CandyVendingMachineTest,main,CandyVendingMachine:1,insertCoin,NoCoinState:1,insertCoin,getContainsCoinState
CandyVendingMachineTest,main,CandyVendingMachine:1,insertCoin,NoCoinState:1,insertCoin,setState
CandyVendingMachineTest,main,CandyVendingMachine:1,pressButton,ContainsCoinState:1,pressButton,getDispensedState
CandyVendingMachineTest,main,CandyVendingMachine:1,pressButton,ContainsCoinState:1,pressButton,setState
CandyVendingMachineTest,main,CandyVendingMachine:1,pressButton,DispensedState:1,dispense,getCount
CandyVendingMachineTest,main,CandyVendingMachine:1,pressButton,DispensedState:1,dispense,getNoCoinState
CandyVendingMachineTest,main,CandyVendingMachine:1,pressButton,DispensedState:1,dispense,setCount
CandyVendingMachineTest,main,CandyVendingMachine:1,pressButton,DispensedState:1,dispense,setState
CandyVendingMachineTest,main,CandyVendingMachine:3,insertCoin,NoCoinState:3,insertCoin,getContainsCoinState
CandyVendingMachineTest,main,CandyVendingMachine:3,insertCoin,NoCoinState:3,insertCoin,setState
CandyVendingMachineTest,main,CandyVendingMachine:3,pressButton,ContainsCoinState:3,pressButton,getDispensedState
CandyVendingMachineTest,main,CandyVendingMachine:3,pressButton,ContainsCoinState:3,pressButton,setState
CandyVendingMachineTest,main,CandyVendingMachine:3,pressButton,DispensedState:3,dispense,getCount
CandyVendingMachineTest,main,CandyVendingMachine:3,pressButton,DispensedState:3,dispense,getNoCandyState
CandyVendingMachineTest,main,CandyVendingMachine:3,pressButton,DispensedState:3,dispense,getNoCoinState
CandyVendingMachineTest,main,CandyVendingMachine:3,pressButton,DispensedState:3,dispense,setCount
CandyVendingMachineTest,main,CandyVendingMachine:3,pressButton,DispensedState:3,dispense,setState
