"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=CandyVendingMachineTest"
"main", "5", "CandyVendingMachineTest.java:4", "Method Call", "caller=SYSTEM, target=CandyVendingMachineTest#main:1"
"main", "6", "CandyVendingMachineTest.java:3", "Method Entered", ""
"main", "7", "CandyVendingMachineTest.java:3", "Variable Write", "context=CandyVendingMachineTest#main:1, args=java.lang.String[0] (id=21)"
"main", "8", "CandyVendingMachineTest.java:4", "Line Step", "file=CandyVendingMachineTest.java, line=4"
"main", "9", "CandyVendingMachineTest.java:5", "Line Step", "file=CandyVendingMachineTest.java, line=5"
"main", "10", "SYSTEM", "Type Load", "class=CandyVendingMachine"
"main", "11", "CandyVendingMachineTest.java:5", "New Object", "object=CandyVendingMachine:1"
"main", "12", "CandyVendingMachineTest.java:5", "Method Call", "caller=CandyVendingMachineTest#main:1, target=CandyVendingMachine:1#CandyVendingMachine:1"
"main", "13", "CandyVendingMachine.java:9", "Method Entered", ""
"main", "14", "CandyVendingMachine.java:9", "Variable Write", "context=CandyVendingMachine:1#CandyVendingMachine:1, numberOfCandies=3"
"main", "15", "CandyVendingMachine.java:9", "Line Step", "file=CandyVendingMachine.java, line=9"
"main", "16", "CandyVendingMachine.java:10", "Line Step", "file=CandyVendingMachine.java, line=10"
"main", "17", "CandyVendingMachine.java:10", "Field Write", "context=CandyVendingMachine:1, count=3"
"main", "18", "CandyVendingMachine.java:11", "Line Step", "file=CandyVendingMachine.java, line=11"
"main", "19", "SYSTEM", "Type Load", "class=NoCoinState"
"main", "20", "CandyVendingMachine.java:11", "New Object", "object=NoCoinState:1"
"main", "21", "CandyVendingMachine.java:11", "Method Call", "caller=CandyVendingMachine:1#CandyVendingMachine:1, target=NoCoinState:1#NoCoinState:1"
"main", "22", "NoCoinState.java:5", "Method Entered", ""
"main", "23", "NoCoinState.java:5", "Variable Write", "context=NoCoinState:1#NoCoinState:1, machine=CandyVendingMachine:1"
"main", "24", "NoCoinState.java:5", "Line Step", "file=NoCoinState.java, line=5"
"main", "25", "NoCoinState.java:6", "Line Step", "file=NoCoinState.java, line=6"
"main", "26", "NoCoinState.java:6", "Field Write", "context=NoCoinState:1, machine=CandyVendingMachine:1"
"main", "27", "NoCoinState.java:7", "Line Step", "file=NoCoinState.java, line=7"
"main", "28", "NoCoinState.java:7", "Method Exit", "returner=NoCoinState:1#NoCoinState:1, value=<void>"
"main", "29", "CandyVendingMachine.java:11", "Method Returned", ""
"main", "30", "CandyVendingMachine.java:11", "Line Step", "file=CandyVendingMachine.java, line=11"
"main", "31", "CandyVendingMachine.java:11", "Field Write", "context=CandyVendingMachine:1, noCoinState=NoCoinState:1"
"main", "32", "CandyVendingMachine.java:12", "Line Step", "file=CandyVendingMachine.java, line=12"
"main", "33", "SYSTEM", "Type Load", "class=NoCandyState"
"main", "34", "CandyVendingMachine.java:12", "New Object", "object=NoCandyState:1"
"main", "35", "CandyVendingMachine.java:12", "Method Call", "caller=CandyVendingMachine:1#CandyVendingMachine:1, target=NoCandyState:1#NoCandyState:1"
"main", "36", "NoCandyState.java:5", "Method Entered", ""
"main", "37", "NoCandyState.java:5", "Variable Write", "context=NoCandyState:1#NoCandyState:1, machine=CandyVendingMachine:1"
"main", "38", "NoCandyState.java:5", "Line Step", "file=NoCandyState.java, line=5"
"main", "39", "NoCandyState.java:6", "Line Step", "file=NoCandyState.java, line=6"
"main", "40", "NoCandyState.java:6", "Field Write", "context=NoCandyState:1, machine=CandyVendingMachine:1"
"main", "41", "NoCandyState.java:7", "Line Step", "file=NoCandyState.java, line=7"
"main", "42", "NoCandyState.java:7", "Method Exit", "returner=NoCandyState:1#NoCandyState:1, value=<void>"
"main", "43", "CandyVendingMachine.java:12", "Method Returned", ""
"main", "44", "CandyVendingMachine.java:12", "Line Step", "file=CandyVendingMachine.java, line=12"
"main", "45", "CandyVendingMachine.java:12", "Field Write", "context=CandyVendingMachine:1, noCandyState=NoCandyState:1"
"main", "46", "CandyVendingMachine.java:13", "Line Step", "file=CandyVendingMachine.java, line=13"
"main", "47", "SYSTEM", "Type Load", "class=DispensedState"
"main", "48", "CandyVendingMachine.java:13", "New Object", "object=DispensedState:1"
"main", "49", "CandyVendingMachine.java:13", "Method Call", "caller=CandyVendingMachine:1#CandyVendingMachine:1, target=DispensedState:1#DispensedState:1"
"main", "50", "DispensedState.java:4", "Method Entered", ""
"main", "51", "DispensedState.java:4", "Variable Write", "context=DispensedState:1#DispensedState:1, machine=CandyVendingMachine:1"
"main", "52", "DispensedState.java:4", "Line Step", "file=DispensedState.java, line=4"
"main", "53", "DispensedState.java:5", "Line Step", "file=DispensedState.java, line=5"
"main", "54", "DispensedState.java:5", "Field Write", "context=DispensedState:1, machine=CandyVendingMachine:1"
"main", "55", "DispensedState.java:6", "Line Step", "file=DispensedState.java, line=6"
"main", "56", "DispensedState.java:6", "Method Exit", "returner=DispensedState:1#DispensedState:1, value=<void>"
"main", "57", "CandyVendingMachine.java:13", "Method Returned", ""
"main", "58", "CandyVendingMachine.java:13", "Line Step", "file=CandyVendingMachine.java, line=13"
"main", "59", "CandyVendingMachine.java:13", "Field Write", "context=CandyVendingMachine:1, dispensedState=DispensedState:1"
"main", "60", "CandyVendingMachine.java:14", "Line Step", "file=CandyVendingMachine.java, line=14"
"main", "61", "SYSTEM", "Type Load", "class=ContainsCoinState"
"main", "62", "CandyVendingMachine.java:14", "New Object", "object=ContainsCoinState:1"
"main", "63", "CandyVendingMachine.java:14", "Method Call", "caller=CandyVendingMachine:1#CandyVendingMachine:1, target=ContainsCoinState:1#ContainsCoinState:1"
"main", "64", "ContainsCoinState.java:5", "Method Entered", ""
"main", "65", "ContainsCoinState.java:5", "Variable Write", "context=ContainsCoinState:1#ContainsCoinState:1, machine=CandyVendingMachine:1"
"main", "66", "ContainsCoinState.java:5", "Line Step", "file=ContainsCoinState.java, line=5"
"main", "67", "ContainsCoinState.java:6", "Line Step", "file=ContainsCoinState.java, line=6"
"main", "68", "ContainsCoinState.java:6", "Field Write", "context=ContainsCoinState:1, machine=CandyVendingMachine:1"
"main", "69", "ContainsCoinState.java:7", "Line Step", "file=ContainsCoinState.java, line=7"
"main", "70", "ContainsCoinState.java:7", "Method Exit", "returner=ContainsCoinState:1#ContainsCoinState:1, value=<void>"
"main", "71", "CandyVendingMachine.java:14", "Method Returned", ""
"main", "72", "CandyVendingMachine.java:14", "Line Step", "file=CandyVendingMachine.java, line=14"
"main", "73", "CandyVendingMachine.java:14", "Field Write", "context=CandyVendingMachine:1, containsCoinState=ContainsCoinState:1"
"main", "74", "CandyVendingMachine.java:15", "Line Step", "file=CandyVendingMachine.java, line=15"
"main", "75", "CandyVendingMachine.java:15", "Field Read", "context=CandyVendingMachine:1, noCoinState"
"main", "76", "CandyVendingMachine.java:15", "Field Write", "context=CandyVendingMachine:1, state=NoCoinState:1"
"main", "77", "CandyVendingMachine.java:16", "Line Step", "file=CandyVendingMachine.java, line=16"
"main", "78", "CandyVendingMachine.java:16", "Method Exit", "returner=CandyVendingMachine:1#CandyVendingMachine:1, value=<void>"
"main", "79", "CandyVendingMachineTest.java:5", "Method Returned", ""
"main", "80", "CandyVendingMachineTest.java:5", "Line Step", "file=CandyVendingMachineTest.java, line=5"
"main", "81", "CandyVendingMachineTest.java:5", "Variable Write", "context=CandyVendingMachineTest#main:1, machine=CandyVendingMachine:1"
"main", "82", "CandyVendingMachineTest.java:6", "Line Step", "file=CandyVendingMachineTest.java, line=6"
"main", "83", "CandyVendingMachine.java:73", "Method Call", "caller=CandyVendingMachineTest#main:1, target=Ljava/lang/String;.valueOf(Ljava/lang/Object;)"
"main", "84", "CandyVendingMachine.java:73", "Method Call", "caller=Ljava/lang/String;.valueOf(Ljava/lang/Object;), target=Ljava/lang/String;.valueOf(Ljava/lang/Object;)"
"main", "85", "CandyVendingMachine.java:73", "Method Call", "caller=Ljava/lang/String;.valueOf(Ljava/lang/Object;), target=CandyVendingMachine:1#toString:1"
"main", "86", "CandyVendingMachine.java:72", "Method Entered", ""
"main", "87", "CandyVendingMachine.java:73", "Field Read", "context=CandyVendingMachine:1, state"
"main", "88", "SYSTEM", "Method Call", "caller=CandyVendingMachine:1#toString:1, target=Ljava/lang/String;.valueOf(Ljava/lang/Object;)"
"main", "89", "SYSTEM", "Method Call", "caller=Ljava/lang/String;.valueOf(Ljava/lang/Object;), target=Ljava/lang/String;.valueOf(Ljava/lang/Object;)"
"main", "90", "SYSTEM", "Method Call", "caller=Ljava/lang/String;.valueOf(Ljava/lang/Object;), target=NoCoinState:1#toString:1"
"main", "91", "NoCoinState.java:21", "Method Entered", ""
"main", "92", "NoCoinState.java:22", "Line Step", "file=NoCoinState.java, line=22"
"main", "93", "NoCoinState.java:22", "Variable Write", "context=NoCoinState:1#toString:1, result=""NoCoinState"""
"main", "94", "NoCoinState.java:22", "Method Exit", "returner=NoCoinState:1#toString:1, value=""NoCoinState"""
