"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=Calculator_Strategy"
"main", "5", "Calculator_Strategy.java:4", "Method Call", "caller=SYSTEM, target=Calculator_Strategy#main:1"
"main", "6", "Calculator_Strategy.java:3", "Method Entered", ""
"main", "7", "Calculator_Strategy.java:3", "Variable Write", "context=Calculator_Strategy#main:1, args=java.lang.String[0] (id=23)"
"main", "8", "Calculator_Strategy.java:4", "Line Step", "file=Calculator_Strategy.java, line=4"
"main", "9", "SYSTEM", "Type Load", "class=Context"
"main", "10", "SYSTEM", "Type Load", "class=OperationAdd"
"main", "11", "Calculator_Strategy.java:4", "New Object", "object=OperationAdd:1"
"main", "12", "Calculator_Strategy.java:4", "Method Call", "caller=Calculator_Strategy#main:1, target=OperationAdd:1#OperationAdd:1"
"main", "13", "Calculator_Strategy.java:29", "Method Entered", ""
"main", "14", "Calculator_Strategy.java:29", "Line Step", "file=Calculator_Strategy.java, line=29"
"main", "15", "Calculator_Strategy.java:29", "Method Exit", "returner=OperationAdd:1#OperationAdd:1, value=<void>"
"main", "16", "Calculator_Strategy.java:4", "Method Returned", ""
"main", "17", "Calculator_Strategy.java:4", "Line Step", "file=Calculator_Strategy.java, line=4"
"main", "18", "Calculator_Strategy.java:4", "New Object", "object=Context:1"
"main", "19", "Calculator_Strategy.java:4", "Method Call", "caller=Calculator_Strategy#main:1, target=Context:1#Context:1"
"main", "20", "Calculator_Strategy.java:19", "Method Entered", ""
"main", "21", "Calculator_Strategy.java:19", "Variable Write", "context=Context:1#Context:1, strategy=OperationAdd:1"
"main", "22", "Calculator_Strategy.java:19", "Line Step", "file=Calculator_Strategy.java, line=19"
"main", "23", "Calculator_Strategy.java:20", "Line Step", "file=Calculator_Strategy.java, line=20"
"main", "24", "Calculator_Strategy.java:20", "Field Write", "context=Context:1, strategy=OperationAdd:1"
"main", "25", "Calculator_Strategy.java:21", "Line Step", "file=Calculator_Strategy.java, line=21"
"main", "26", "Calculator_Strategy.java:21", "Method Exit", "returner=Context:1#Context:1, value=<void>"
"main", "27", "Calculator_Strategy.java:4", "Method Returned", ""
"main", "28", "Calculator_Strategy.java:4", "Line Step", "file=Calculator_Strategy.java, line=4"
"main", "29", "Calculator_Strategy.java:4", "Variable Write", "context=Calculator_Strategy#main:1, context=Context:1"
"main", "30", "Calculator_Strategy.java:5", "Line Step", "file=Calculator_Strategy.java, line=5"
"main", "31", "Calculator_Strategy.java:5", "Method Call", "caller=Calculator_Strategy#main:1, target=Context:1#executeStrategy:1"
"main", "32", "Calculator_Strategy.java:23", "Method Entered", ""
"main", "33", "Calculator_Strategy.java:23", "Variable Write", "context=Context:1#executeStrategy:1, num1=10"
"main", "34", "Calculator_Strategy.java:23", "Variable Write", "context=Context:1#executeStrategy:1, num2=5"
"main", "35", "Calculator_Strategy.java:24", "Line Step", "file=Calculator_Strategy.java, line=24"
"main", "36", "Calculator_Strategy.java:24", "Field Read", "context=Context:1, strategy"
"main", "37", "Calculator_Strategy.java:24", "Method Call", "caller=Context:1#executeStrategy:1, target=OperationAdd:1#doOperation:1"
"main", "38", "Calculator_Strategy.java:31", "Method Entered", ""
"main", "39", "Calculator_Strategy.java:31", "Variable Write", "context=OperationAdd:1#doOperation:1, num1=10"
"main", "40", "Calculator_Strategy.java:31", "Variable Write", "context=OperationAdd:1#doOperation:1, num2=5"
"main", "41", "Calculator_Strategy.java:32", "Line Step", "file=Calculator_Strategy.java, line=32"
"main", "42", "Calculator_Strategy.java:32", "Variable Write", "context=OperationAdd:1#doOperation:1, result=15"
"main", "43", "Calculator_Strategy.java:32", "Method Exit", "returner=OperationAdd:1#doOperation:1, value=15"
"main", "44", "Calculator_Strategy.java:24", "Method Returned", ""
"main", "45", "Calculator_Strategy.java:24", "Line Step", "file=Calculator_Strategy.java, line=24"
"main", "46", "Calculator_Strategy.java:24", "Variable Write", "context=Context:1#executeStrategy:1, result=15"
"main", "47", "Calculator_Strategy.java:24", "Method Exit", "returner=Context:1#executeStrategy:1, value=15"
"main", "48", "Calculator_Strategy.java:5", "Method Returned", ""
"main", "49", "Calculator_Strategy.java:5", "Line Step", "file=Calculator_Strategy.java, line=5"
"main", "50", "Calculator_Strategy.java:7", "Line Step", "file=Calculator_Strategy.java, line=7"
"main", "51", "SYSTEM", "Type Load", "class=OperationSubstract"
"main", "52", "Calculator_Strategy.java:7", "New Object", "object=OperationSubstract:1"
"main", "53", "Calculator_Strategy.java:7", "Method Call", "caller=Calculator_Strategy#main:1, target=OperationSubstract:1#OperationSubstract:1"
"main", "54", "Calculator_Strategy.java:52", "Method Entered", ""
"main", "55", "Calculator_Strategy.java:52", "Line Step", "file=Calculator_Strategy.java, line=52"
"main", "56", "Calculator_Strategy.java:52", "Method Exit", "returner=OperationSubstract:1#OperationSubstract:1, value=<void>"
"main", "57", "Calculator_Strategy.java:7", "Method Returned", ""
"main", "58", "Calculator_Strategy.java:7", "Line Step", "file=Calculator_Strategy.java, line=7"
"main", "59", "Calculator_Strategy.java:7", "New Object", "object=Context:2"
"main", "60", "Calculator_Strategy.java:7", "Method Call", "caller=Calculator_Strategy#main:1, target=Context:2#Context:2"
"main", "61", "Calculator_Strategy.java:19", "Method Entered", ""
"main", "62", "Calculator_Strategy.java:19", "Variable Write", "context=Context:2#Context:2, strategy=OperationSubstract:1"
"main", "63", "Calculator_Strategy.java:19", "Line Step", "file=Calculator_Strategy.java, line=19"
"main", "64", "Calculator_Strategy.java:20", "Line Step", "file=Calculator_Strategy.java, line=20"
"main", "65", "Calculator_Strategy.java:20", "Field Write", "context=Context:2, strategy=OperationSubstract:1"
"main", "66", "Calculator_Strategy.java:21", "Line Step", "file=Calculator_Strategy.java, line=21"
"main", "67", "Calculator_Strategy.java:21", "Method Exit", "returner=Context:2#Context:2, value=<void>"
"main", "68", "Calculator_Strategy.java:7", "Method Returned", ""
"main", "69", "Calculator_Strategy.java:7", "Line Step", "file=Calculator_Strategy.java, line=7"
"main", "70", "Calculator_Strategy.java:7", "Variable Write", "context=Calculator_Strategy#main:1, context=Context:2"
"main", "71", "Calculator_Strategy.java:8", "Line Step", "file=Calculator_Strategy.java, line=8"
