"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=EncryptorTest"
"main", "5", "EncryptorTest.java:3", "Method Call", "caller=SYSTEM, target=EncryptorTest#main:1"
"main", "6", "EncryptorTest.java:2", "Method Entered", ""
"main", "7", "EncryptorTest.java:2", "Variable Write", "context=EncryptorTest#main:1, args=java.lang.String[0] (id=23)"
"main", "8", "EncryptorTest.java:3", "Line Step", "file=EncryptorTest.java, line=3"
"main", "9", "SYSTEM", "Type Load", "class=AesEncryptionStrategy"
"main", "10", "EncryptorTest.java:3", "New Object", "object=AesEncryptionStrategy:1"
"main", "11", "EncryptorTest.java:3", "Method Call", "caller=EncryptorTest#main:1, target=AesEncryptionStrategy:1#AesEncryptionStrategy:1"
"main", "12", "AesEncryptionStrategy.java:5", "Method Entered", ""
"main", "13", "AesEncryptionStrategy.java:5", "Line Step", "file=AesEncryptionStrategy.java, line=5"
"main", "14", "AesEncryptionStrategy.java:5", "Method Exit", "returner=AesEncryptionStrategy:1#AesEncryptionStrategy:1, value=<void>"
"main", "15", "EncryptorTest.java:3", "Method Returned", ""
"main", "16", "EncryptorTest.java:3", "Line Step", "file=EncryptorTest.java, line=3"
"main", "17", "EncryptorTest.java:3", "Variable Write", "context=EncryptorTest#main:1, aesStrategy=AesEncryptionStrategy:1"
"main", "18", "EncryptorTest.java:4", "Line Step", "file=EncryptorTest.java, line=4"
"main", "19", "SYSTEM", "Type Load", "class=Encryptor"
"main", "20", "EncryptorTest.java:4", "New Object", "object=Encryptor:1"
"main", "21", "EncryptorTest.java:4", "Method Call", "caller=EncryptorTest#main:1, target=Encryptor:1#Encryptor:1"
"main", "22", "Encryptor.java:4", "Method Entered", ""
"main", "23", "Encryptor.java:4", "Variable Write", "context=Encryptor:1#Encryptor:1, strategy=AesEncryptionStrategy:1"
"main", "24", "Encryptor.java:4", "Line Step", "file=Encryptor.java, line=4"
"main", "25", "Encryptor.java:5", "Line Step", "file=Encryptor.java, line=5"
"main", "26", "Encryptor.java:5", "Field Write", "context=Encryptor:1, strategy=AesEncryptionStrategy:1"
"main", "27", "Encryptor.java:6", "Line Step", "file=Encryptor.java, line=6"
"main", "28", "Encryptor.java:6", "Method Exit", "returner=Encryptor:1#Encryptor:1, value=<void>"
"main", "29", "EncryptorTest.java:4", "Method Returned", ""
"main", "30", "EncryptorTest.java:4", "Line Step", "file=EncryptorTest.java, line=4"
"main", "31", "EncryptorTest.java:4", "Variable Write", "context=EncryptorTest#main:1, aesEncryptor=Encryptor:1"
"main", "32", "EncryptorTest.java:5", "Line Step", "file=EncryptorTest.java, line=5"
"main", "33", "EncryptorTest.java:5", "Method Call", "caller=EncryptorTest#main:1, target=Encryptor:1#setPlainText:1"
"main", "34", "Encryptor.java:13", "Method Entered", ""
"main", "35", "Encryptor.java:13", "Variable Write", "context=Encryptor:1#setPlainText:1, plainText=""This is plain text"""
"main", "36", "Encryptor.java:14", "Line Step", "file=Encryptor.java, line=14"
"main", "37", "Encryptor.java:14", "Field Write", "context=Encryptor:1, plainText=""This is plain text"""
"main", "38", "Encryptor.java:15", "Line Step", "file=Encryptor.java, line=15"
"main", "39", "Encryptor.java:15", "Method Exit", "returner=Encryptor:1#setPlainText:1, value=<void>"
"main", "40", "EncryptorTest.java:5", "Method Returned", ""
"main", "41", "EncryptorTest.java:6", "Line Step", "file=EncryptorTest.java, line=6"
"main", "42", "EncryptorTest.java:6", "Method Call", "caller=EncryptorTest#main:1, target=Encryptor:1#encrypt:1"
"main", "43", "Encryptor.java:7", "Method Entered", ""
"main", "44", "Encryptor.java:8", "Line Step", "file=Encryptor.java, line=8"
"main", "45", "Encryptor.java:8", "Field Read", "context=Encryptor:1, strategy"
"main", "46", "Encryptor.java:8", "Field Read", "context=Encryptor:1, plainText"
"main", "47", "Encryptor.java:8", "Method Call", "caller=Encryptor:1#encrypt:1, target=AesEncryptionStrategy:1#encryptData:1"
"main", "48", "AesEncryptionStrategy.java:7", "Method Entered", ""
"main", "49", "AesEncryptionStrategy.java:7", "Variable Write", "context=AesEncryptionStrategy:1#encryptData:1, plaintext=""This is plain text"""
"main", "50", "AesEncryptionStrategy.java:8", "Line Step", "file=AesEncryptionStrategy.java, line=8"
"main", "51", "AesEncryptionStrategy.java:10", "Line Step", "file=AesEncryptionStrategy.java, line=10"
"main", "52", "AesEncryptionStrategy.java:10", "Variable Write", "context=AesEncryptionStrategy:1#encryptData:1, keyGenerator=javax.crypto.KeyGenerator (id=81)"
"main", "53", "AesEncryptionStrategy.java:11", "Line Step", "file=AesEncryptionStrategy.java, line=11"
"main", "54", "AesEncryptionStrategy.java:12", "Line Step", "file=AesEncryptionStrategy.java, line=12"
"main", "55", "AesEncryptionStrategy.java:12", "Variable Write", "context=AesEncryptionStrategy:1#encryptData:1, secretKey=javax.crypto.spec.SecretKeySpec (id=82)"
"main", "56", "AesEncryptionStrategy.java:13", "Line Step", "file=AesEncryptionStrategy.java, line=13"
"main", "57", "AesEncryptionStrategy.java:13", "Variable Write", "context=AesEncryptionStrategy:1#encryptData:1, plaintTextByteArray=byte[18] (id=84)"
"main", "58", "AesEncryptionStrategy.java:14", "Line Step", "file=AesEncryptionStrategy.java, line=14"
"main", "59", "AesEncryptionStrategy.java:14", "Variable Write", "context=AesEncryptionStrategy:1#encryptData:1, cipher=javax.crypto.Cipher (id=86)"
"main", "60", "AesEncryptionStrategy.java:15", "Line Step", "file=AesEncryptionStrategy.java, line=15"
"main", "61", "AesEncryptionStrategy.java:16", "Line Step", "file=AesEncryptionStrategy.java, line=16"
"main", "62", "AesEncryptionStrategy.java:16", "Variable Write", "context=AesEncryptionStrategy:1#encryptData:1, cipherText=byte[32] (id=88)"
"main", "63", "AesEncryptionStrategy.java:17", "Line Step", "file=AesEncryptionStrategy.java, line=17"
"main", "64", "AesEncryptionStrategy.java:18", "Line Step", "file=AesEncryptionStrategy.java, line=18"
"main", "65", "AesEncryptionStrategy.java:19", "Line Step", "file=AesEncryptionStrategy.java, line=19"
"main", "66", "AesEncryptionStrategy.java:19", "Variable Write", "context=AesEncryptionStrategy:1#encryptData:1, i=0"
"main", "67", "AesEncryptionStrategy.java:20", "Line Step", "file=AesEncryptionStrategy.java, line=20"
