"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=ComputerConfiguration"
"main", "5", "ComputerConfiguration.java:109", "Method Call", "caller=SYSTEM, target=ComputerConfiguration#main:1"
"main", "6", "ComputerConfiguration.java:109", "Method Entered", ""
"main", "7", "ComputerConfiguration.java:109", "Variable Write", "context=ComputerConfiguration#main:1, args=java.lang.String[0] (id=27)"
"main", "8", "ComputerConfiguration.java:109", "Line Step", "file=ComputerConfiguration.java, line=109"
"main", "9", "SYSTEM", "Type Load", "class=ComputerBuilder"
"main", "10", "SYSTEM", "Type Load", "class=StandardComputerBuilder"
"main", "11", "ComputerConfiguration.java:109", "New Object", "object=StandardComputerBuilder:1"
"main", "12", "ComputerConfiguration.java:109", "Method Call", "caller=ComputerConfiguration#main:1, target=StandardComputerBuilder:1#StandardComputerBuilder:1"
"main", "13", "ComputerConfiguration.java:85", "Method Entered", ""
"main", "14", "ComputerConfiguration.java:85", "Line Step", "file=ComputerConfiguration.java, line=85"
"main", "15", "ComputerConfiguration.java:85", "Method Call", "caller=StandardComputerBuilder:1#StandardComputerBuilder:1, target=ComputerBuilder:1#ComputerBuilder:1"
"main", "16", "ComputerConfiguration.java:22", "Method Entered", ""
"main", "17", "ComputerConfiguration.java:20", "Line Step", "file=ComputerConfiguration.java, line=20"
"main", "18", "ComputerConfiguration.java:22", "Line Step", "file=ComputerConfiguration.java, line=22"
"main", "19", "ComputerConfiguration.java:22", "Field Write", "context=ComputerBuilder:1, computerParts=java.util.HashMap (id=31)"
"main", "20", "ComputerConfiguration.java:23", "Line Step", "file=ComputerConfiguration.java, line=23"
"main", "21", "ComputerConfiguration.java:23", "Field Write", "context=ComputerBuilder:1, motherboardSetupStatus=java.util.ArrayList (id=34)"
"main", "22", "ComputerConfiguration.java:20", "Line Step", "file=ComputerConfiguration.java, line=20"
"main", "23", "ComputerConfiguration.java:20", "Method Exit", "returner=ComputerBuilder:1#ComputerBuilder:1, value=<void>"
"main", "24", "ComputerConfiguration.java:85", "Method Returned", ""
"main", "25", "ComputerConfiguration.java:85", "Line Step", "file=ComputerConfiguration.java, line=85"
"main", "26", "ComputerConfiguration.java:85", "Method Exit", "returner=StandardComputerBuilder:1#StandardComputerBuilder:1, value=<void>"
"main", "27", "ComputerConfiguration.java:109", "Method Returned", ""
"main", "28", "ComputerConfiguration.java:109", "Line Step", "file=ComputerConfiguration.java, line=109"
"main", "29", "ComputerConfiguration.java:109", "Variable Write", "context=ComputerConfiguration#main:1, standardComputerBuilder=StandardComputerBuilder:1"
"main", "30", "ComputerConfiguration.java:110", "Line Step", "file=ComputerConfiguration.java, line=110"
"main", "31", "ComputerConfiguration.java:110", "Method Call", "caller=ComputerConfiguration#main:1, target=ComputerBuilder:1#buildComputer:1"
"main", "32", "ComputerConfiguration.java:25", "Method Entered", ""
"main", "33", "ComputerConfiguration.java:26", "Line Step", "file=ComputerConfiguration.java, line=26"
"main", "34", "ComputerConfiguration.java:26", "Method Call", "caller=ComputerBuilder:1#buildComputer:1, target=StandardComputerBuilder:1#addMotherboard:1"
"main", "35", "ComputerConfiguration.java:89", "Method Entered", ""
"main", "36", "ComputerConfiguration.java:89", "Line Step", "file=ComputerConfiguration.java, line=89"
"main", "37", "ComputerConfiguration.java:89", "Field Read", "context=ComputerBuilder:1, computerParts"
"main", "38", "ComputerConfiguration.java:90", "Line Step", "file=ComputerConfiguration.java, line=90"
"main", "39", "ComputerConfiguration.java:90", "Method Exit", "returner=StandardComputerBuilder:1#addMotherboard:1, value=<void>"
"main", "40", "ComputerConfiguration.java:26", "Method Returned", ""
"main", "41", "ComputerConfiguration.java:27", "Line Step", "file=ComputerConfiguration.java, line=27"
"main", "42", "ComputerConfiguration.java:27", "Method Call", "caller=ComputerBuilder:1#buildComputer:1, target=StandardComputerBuilder:1#setupMotherboard:1"
"main", "43", "ComputerConfiguration.java:94", "Method Entered", ""
"main", "44", "ComputerConfiguration.java:94", "Line Step", "file=ComputerConfiguration.java, line=94"
"main", "45", "ComputerConfiguration.java:94", "Field Read", "context=ComputerBuilder:1, motherboardSetupStatus"
"main", "46", "ComputerConfiguration.java:95", "Line Step", "file=ComputerConfiguration.java, line=95"
"main", "47", "ComputerConfiguration.java:95", "Field Read", "context=ComputerBuilder:1, motherboardSetupStatus"
"main", "48", "ComputerConfiguration.java:96", "Line Step", "file=ComputerConfiguration.java, line=96"
"main", "49", "ComputerConfiguration.java:96", "Field Read", "context=ComputerBuilder:1, motherboardSetupStatus"
"main", "50", "SYSTEM", "Method Call", "caller=StandardComputerBuilder:1#setupMotherboard:1, target=Ljava/lang/invoke/MethodHandleNatives;.linkCallSiteImpl(Ljava/lang/Class;Ljava/lang/invoke/MethodHandle;Ljava/lang/String;Ljava/lang/invoke/MethodType;Ljava/lang/Object;[Ljava/lang/Object;)"
"main", "51", "SYSTEM", "Method Call", "caller=Ljava/lang/invoke/MethodHandleNatives;.linkCallSiteImpl(Ljava/lang/Class;Ljava/lang/invoke/MethodHandle;Ljava/lang/String;Ljava/lang/invoke/MethodType;Ljava/lang/Object;[Ljava/lang/Object;), target=Ljava/lang/invoke/MethodHandleNatives;.linkCallSiteImpl(Ljava/lang/Class;Ljava/lang/invoke/MethodHandle;Ljava/lang/String;Ljava/lang/invoke/MethodType;Ljava/lang/Object;[Ljava/lang/Object;)"
"main", "52", "SYSTEM", "Method Call", "caller=Ljava/lang/invoke/MethodHandleNatives;.linkCallSiteImpl(Ljava/lang/Class;Ljava/lang/invoke/MethodHandle;Ljava/lang/String;Ljava/lang/invoke/MethodType;Ljava/lang/Object;[Ljava/lang/Object;), target=Ljava/lang/invoke/CallSite;.makeSite(Ljava/lang/invoke/MethodHandle;Ljava/lang/String;Ljava/lang/invoke/MethodType;Ljava/lang/Object;Ljava/lang/Class;)"
