"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=PizzaMakerTest"
"main", "5", "PizzaMakerTest.java:4", "Method Call", "caller=SYSTEM, target=PizzaMakerTest#main:1"
"main", "6", "PizzaMakerTest.java:3", "Method Entered", ""
"main", "7", "PizzaMakerTest.java:3", "Variable Write", "context=PizzaMakerTest#main:1, args=java.lang.String[0] (id=26)"
"main", "8", "PizzaMakerTest.java:4", "Line Step", "file=PizzaMakerTest.java, line=4"
"main", "9", "PizzaMakerTest.java:5", "Line Step", "file=PizzaMakerTest.java, line=5"
"main", "10", "SYSTEM", "Type Load", "class=PizzaMaker"
"main", "11", "SYSTEM", "Type Load", "class=VegPizzaMaker"
"main", "12", "PizzaMakerTest.java:5", "New Object", "object=VegPizzaMaker:1"
"main", "13", "PizzaMakerTest.java:5", "Method Call", "caller=PizzaMakerTest#main:1, target=VegPizzaMaker:1#VegPizzaMaker:1"
"main", "14", "VegPizzaMaker.java:2", "Method Entered", ""
"main", "15", "VegPizzaMaker.java:2", "Line Step", "file=VegPizzaMaker.java, line=2"
"main", "16", "VegPizzaMaker.java:2", "Method Call", "caller=VegPizzaMaker:1#VegPizzaMaker:1, target=PizzaMaker:1#PizzaMaker:1"
"main", "17", "PizzaMaker.java:1", "Method Entered", ""
"main", "18", "PizzaMaker.java:1", "Line Step", "file=PizzaMaker.java, line=1"
"main", "19", "PizzaMaker.java:1", "Method Exit", "returner=PizzaMaker:1#PizzaMaker:1, value=<void>"
"main", "20", "VegPizzaMaker.java:2", "Method Returned", ""
"main", "21", "VegPizzaMaker.java:2", "Line Step", "file=VegPizzaMaker.java, line=2"
"main", "22", "VegPizzaMaker.java:2", "Method Exit", "returner=VegPizzaMaker:1#VegPizzaMaker:1, value=<void>"
"main", "23", "PizzaMakerTest.java:5", "Method Returned", ""
"main", "24", "PizzaMakerTest.java:5", "Line Step", "file=PizzaMakerTest.java, line=5"
"main", "25", "PizzaMakerTest.java:5", "Variable Write", "context=PizzaMakerTest#main:1, vegPizzaMaker=VegPizzaMaker:1"
"main", "26", "PizzaMakerTest.java:6", "Line Step", "file=PizzaMakerTest.java, line=6"
"main", "27", "PizzaMakerTest.java:6", "Method Call", "caller=PizzaMakerTest#main:1, target=PizzaMaker:1#makePizza:1"
"main", "28", "PizzaMaker.java:2", "Method Entered", ""
"main", "29", "PizzaMaker.java:3", "Line Step", "file=PizzaMaker.java, line=3"
"main", "30", "PizzaMaker.java:3", "Method Call", "caller=PizzaMaker:1#makePizza:1, target=PizzaMaker:1#preparePizzaDough:1"
"main", "31", "PizzaMaker.java:12", "Method Entered", ""
"main", "32", "PizzaMaker.java:13", "Line Step", "file=PizzaMaker.java, line=13"
"main", "33", "PizzaMaker.java:14", "Line Step", "file=PizzaMaker.java, line=14"
"main", "34", "PizzaMaker.java:14", "Method Exit", "returner=PizzaMaker:1#preparePizzaDough:1, value=<void>"
"main", "35", "PizzaMaker.java:3", "Method Returned", ""
"main", "36", "PizzaMaker.java:4", "Line Step", "file=PizzaMaker.java, line=4"
"main", "37", "PizzaMaker.java:4", "Method Call", "caller=PizzaMaker:1#makePizza:1, target=PizzaMaker:1#preBakeCrust:1"
"main", "38", "PizzaMaker.java:15", "Method Entered", ""
"main", "39", "PizzaMaker.java:16", "Line Step", "file=PizzaMaker.java, line=16"
"main", "40", "PizzaMaker.java:17", "Line Step", "file=PizzaMaker.java, line=17"
"main", "41", "PizzaMaker.java:17", "Method Exit", "returner=PizzaMaker:1#preBakeCrust:1, value=<void>"
"main", "42", "PizzaMaker.java:4", "Method Returned", ""
"main", "43", "PizzaMaker.java:5", "Line Step", "file=PizzaMaker.java, line=5"
"main", "44", "PizzaMaker.java:5", "Method Call", "caller=PizzaMaker:1#makePizza:1, target=VegPizzaMaker:1#prepareIngredients:1"
"main", "45", "VegPizzaMaker.java:5", "Method Entered", ""
"main", "46", "VegPizzaMaker.java:6", "Line Step", "file=VegPizzaMaker.java, line=6"
"main", "47", "VegPizzaMaker.java:7", "Line Step", "file=VegPizzaMaker.java, line=7"
"main", "48", "VegPizzaMaker.java:7", "Method Exit", "returner=VegPizzaMaker:1#prepareIngredients:1, value=<void>"
"main", "49", "PizzaMaker.java:5", "Method Returned", ""
"main", "50", "PizzaMaker.java:6", "Line Step", "file=PizzaMaker.java, line=6"
"main", "51", "PizzaMaker.java:6", "Method Call", "caller=PizzaMaker:1#makePizza:1, target=VegPizzaMaker:1#addToppings:1"
"main", "52", "VegPizzaMaker.java:9", "Method Entered", ""
"main", "53", "VegPizzaMaker.java:10", "Line Step", "file=VegPizzaMaker.java, line=10"
"main", "54", "VegPizzaMaker.java:11", "Line Step", "file=VegPizzaMaker.java, line=11"
"main", "55", "VegPizzaMaker.java:11", "Method Exit", "returner=VegPizzaMaker:1#addToppings:1, value=<void>"
"main", "56", "PizzaMaker.java:6", "Method Returned", ""
"main", "57", "PizzaMaker.java:7", "Line Step", "file=PizzaMaker.java, line=7"
"main", "58", "PizzaMaker.java:7", "Method Call", "caller=PizzaMaker:1#makePizza:1, target=PizzaMaker:1#bakePizza:1"
"main", "59", "PizzaMaker.java:20", "Method Entered", ""
"main", "60", "PizzaMaker.java:21", "Line Step", "file=PizzaMaker.java, line=21"
"main", "61", "PizzaMaker.java:22", "Line Step", "file=PizzaMaker.java, line=22"
"main", "62", "PizzaMaker.java:22", "Method Exit", "returner=PizzaMaker:1#bakePizza:1, value=<void>"
"main", "63", "PizzaMaker.java:7", "Method Returned", ""
"main", "64", "PizzaMaker.java:8", "Line Step", "file=PizzaMaker.java, line=8"
"main", "65", "PizzaMaker.java:8", "Method Call", "caller=PizzaMaker:1#makePizza:1, target=PizzaMaker:1#customerWantsPackedPizza:1"
"main", "66", "PizzaMaker.java:26", "Method Entered", ""
"main", "67", "PizzaMaker.java:27", "Line Step", "file=PizzaMaker.java, line=27"
"main", "68", "PizzaMaker.java:27", "Variable Write", "context=PizzaMaker:1#customerWantsPackedPizza:1, result=true"
"main", "69", "PizzaMaker.java:27", "Method Exit", "returner=PizzaMaker:1#customerWantsPackedPizza:1, value=true"
"main", "70", "PizzaMaker.java:8", "Method Returned", ""
"main", "71", "PizzaMaker.java:8", "Line Step", "file=PizzaMaker.java, line=8"
