"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=Tax_Visitor"
"main", "5", "Tax_Visitor.java:6", "Method Call", "caller=SYSTEM, target=Tax_Visitor#main:1"
"main", "6", "Tax_Visitor.java:4", "Method Entered", ""
"main", "7", "Tax_Visitor.java:4", "Variable Write", "context=Tax_Visitor#main:1, args=java.lang.String[0] (id=23)"
"main", "8", "Tax_Visitor.java:6", "Line Step", "file=Tax_Visitor.java, line=6"
"main", "9", "SYSTEM", "Type Load", "class=Milk"
"main", "10", "Tax_Visitor.java:6", "New Object", "object=Milk:1"
"main", "11", "Tax_Visitor.java:6", "Method Call", "caller=Tax_Visitor#main:1, target=Milk:1#Milk:1"
"main", "12", "Tax_Visitor.java:20", "Method Entered", ""
"main", "13", "Tax_Visitor.java:20", "Variable Write", "context=Milk:1#Milk:1, price=50"
"main", "14", "Tax_Visitor.java:20", "Line Step", "file=Tax_Visitor.java, line=20"
"main", "15", "Tax_Visitor.java:22", "Line Step", "file=Tax_Visitor.java, line=22"
"main", "16", "Tax_Visitor.java:22", "Field Write", "context=Milk:1, price=50"
"main", "17", "Tax_Visitor.java:23", "Line Step", "file=Tax_Visitor.java, line=23"
"main", "18", "Tax_Visitor.java:23", "Method Exit", "returner=Milk:1#Milk:1, value=<void>"
"main", "19", "Tax_Visitor.java:6", "Method Returned", ""
"main", "20", "Tax_Visitor.java:6", "Line Step", "file=Tax_Visitor.java, line=6"
"main", "21", "Tax_Visitor.java:6", "Variable Write", "context=Tax_Visitor#main:1, milk=Milk:1"
"main", "22", "Tax_Visitor.java:7", "Line Step", "file=Tax_Visitor.java, line=7"
"main", "23", "SYSTEM", "Type Load", "class=Pizza"
"main", "24", "Tax_Visitor.java:7", "New Object", "object=Pizza:1"
"main", "25", "Tax_Visitor.java:7", "Method Call", "caller=Tax_Visitor#main:1, target=Pizza:1#Pizza:1"
"main", "26", "Tax_Visitor.java:62", "Method Entered", ""
"main", "27", "Tax_Visitor.java:62", "Variable Write", "context=Pizza:1#Pizza:1, price=270"
"main", "28", "Tax_Visitor.java:62", "Line Step", "file=Tax_Visitor.java, line=62"
"main", "29", "Tax_Visitor.java:64", "Line Step", "file=Tax_Visitor.java, line=64"
"main", "30", "Tax_Visitor.java:64", "Field Write", "context=Pizza:1, price=270"
"main", "31", "Tax_Visitor.java:65", "Line Step", "file=Tax_Visitor.java, line=65"
"main", "32", "Tax_Visitor.java:65", "Method Exit", "returner=Pizza:1#Pizza:1, value=<void>"
"main", "33", "Tax_Visitor.java:7", "Method Returned", ""
"main", "34", "Tax_Visitor.java:7", "Line Step", "file=Tax_Visitor.java, line=7"
"main", "35", "Tax_Visitor.java:7", "Variable Write", "context=Tax_Visitor#main:1, mgw=Pizza:1"
"main", "36", "Tax_Visitor.java:8", "Line Step", "file=Tax_Visitor.java, line=8"
"main", "37", "SYSTEM", "Type Load", "class=OtherStuff"
"main", "38", "Tax_Visitor.java:8", "New Object", "object=OtherStuff:1"
"main", "39", "Tax_Visitor.java:8", "Method Call", "caller=Tax_Visitor#main:1, target=OtherStuff:1#OtherStuff:1"
"main", "40", "Tax_Visitor.java:40", "Method Entered", ""
"main", "41", "Tax_Visitor.java:40", "Variable Write", "context=OtherStuff:1#OtherStuff:1, price=100"
"main", "42", "Tax_Visitor.java:40", "Line Step", "file=Tax_Visitor.java, line=40"
"main", "43", "Tax_Visitor.java:42", "Line Step", "file=Tax_Visitor.java, line=42"
"main", "44", "Tax_Visitor.java:42", "Field Write", "context=OtherStuff:1, price=100"
"main", "45", "Tax_Visitor.java:43", "Line Step", "file=Tax_Visitor.java, line=43"
"main", "46", "Tax_Visitor.java:43", "Method Exit", "returner=OtherStuff:1#OtherStuff:1, value=<void>"
"main", "47", "Tax_Visitor.java:8", "Method Returned", ""
"main", "48", "Tax_Visitor.java:8", "Line Step", "file=Tax_Visitor.java, line=8"
"main", "49", "Tax_Visitor.java:8", "Variable Write", "context=Tax_Visitor#main:1, youKnow=OtherStuff:1"
"main", "50", "Tax_Visitor.java:10", "Line Step", "file=Tax_Visitor.java, line=10"
"main", "51", "SYSTEM", "Type Load", "class=TaxCalculator"
"main", "52", "Tax_Visitor.java:10", "New Object", "object=TaxCalculator:1"
"main", "53", "Tax_Visitor.java:10", "Method Call", "caller=Tax_Visitor#main:1, target=TaxCalculator:1#TaxCalculator:1"
"main", "54", "Tax_Visitor.java:79", "Method Entered", ""
"main", "55", "Tax_Visitor.java:79", "Line Step", "file=Tax_Visitor.java, line=79"
"main", "56", "Tax_Visitor.java:79", "Method Exit", "returner=TaxCalculator:1#TaxCalculator:1, value=<void>"
"main", "57", "Tax_Visitor.java:10", "Method Returned", ""
"main", "58", "Tax_Visitor.java:10", "Line Step", "file=Tax_Visitor.java, line=10"
"main", "59", "Tax_Visitor.java:10", "Variable Write", "context=Tax_Visitor#main:1, visitor=TaxCalculator:1"
"main", "60", "Tax_Visitor.java:11", "Line Step", "file=Tax_Visitor.java, line=11"
"main", "61", "Tax_Visitor.java:11", "Method Call", "caller=Tax_Visitor#main:1, target=Milk:1#acceptVisitor:1"
"main", "62", "Tax_Visitor.java:31", "Method Entered", ""
"main", "63", "Tax_Visitor.java:31", "Variable Write", "context=Milk:1#acceptVisitor:1, visitor=TaxCalculator:1"
"main", "64", "Tax_Visitor.java:32", "Line Step", "file=Tax_Visitor.java, line=32"
"main", "65", "Tax_Visitor.java:32", "Method Call", "caller=Milk:1#acceptVisitor:1, target=TaxCalculator:1#visit:1"
"main", "66", "Tax_Visitor.java:82", "Method Entered", ""
"main", "67", "Tax_Visitor.java:82", "Variable Write", "context=TaxCalculator:1#visit:1, milk=Milk:1"
"main", "68", "Tax_Visitor.java:83", "Line Step", "file=Tax_Visitor.java, line=83"
"main", "69", "Tax_Visitor.java:83", "Method Call", "caller=TaxCalculator:1#visit:1, target=Milk:1#getPrice:1"
"main", "70", "Tax_Visitor.java:25", "Method Entered", ""
"main", "71", "Tax_Visitor.java:27", "Line Step", "file=Tax_Visitor.java, line=27"
"main", "72", "Tax_Visitor.java:27", "Field Read", "context=Milk:1, price"
"main", "73", "Tax_Visitor.java:27", "Variable Write", "context=Milk:1#getPrice:1, result=50"
