"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=MailClientVisitorTest"
"main", "5", "MailClientVisitorTest.java:11", "Method Call", "caller=SYSTEM, target=MailClientVisitorTest#main:1"
"main", "6", "MailClientVisitorTest.java:2", "Method Entered", ""
"main", "7", "MailClientVisitorTest.java:2", "Variable Write", "context=MailClientVisitorTest#main:1, args=java.lang.String[0] (id=23)"
"main", "8", "MailClientVisitorTest.java:11", "Line Step", "file=MailClientVisitorTest.java, line=11"
"main", "9", "SYSTEM", "Type Load", "class=MacMailClientVisitor"
"main", "10", "MailClientVisitorTest.java:11", "New Object", "object=MacMailClientVisitor:1"
"main", "11", "MailClientVisitorTest.java:11", "Method Call", "caller=MailClientVisitorTest#main:1, target=MacMailClientVisitor:1#MacMailClientVisitor:1"
"main", "12", "MacMailClientVisitor.java:2", "Method Entered", ""
"main", "13", "MacMailClientVisitor.java:2", "Line Step", "file=MacMailClientVisitor.java, line=2"
"main", "14", "MacMailClientVisitor.java:2", "Method Exit", "returner=MacMailClientVisitor:1#MacMailClientVisitor:1, value=<void>"
"main", "15", "MailClientVisitorTest.java:11", "Method Returned", ""
"main", "16", "MailClientVisitorTest.java:11", "Line Step", "file=MailClientVisitorTest.java, line=11"
"main", "17", "MailClientVisitorTest.java:11", "Variable Write", "context=MailClientVisitorTest#main:1, macVisitor=MacMailClientVisitor:1"
"main", "18", "MailClientVisitorTest.java:12", "Line Step", "file=MailClientVisitorTest.java, line=12"
"main", "19", "SYSTEM", "Type Load", "class=LinuxMailClientVisitor"
"main", "20", "MailClientVisitorTest.java:12", "New Object", "object=LinuxMailClientVisitor:1"
"main", "21", "MailClientVisitorTest.java:12", "Method Call", "caller=MailClientVisitorTest#main:1, target=LinuxMailClientVisitor:1#LinuxMailClientVisitor:1"
"main", "22", "LinuxMailClientVisitor.java:1", "Method Entered", ""
"main", "23", "LinuxMailClientVisitor.java:1", "Line Step", "file=LinuxMailClientVisitor.java, line=1"
"main", "24", "LinuxMailClientVisitor.java:1", "Method Exit", "returner=LinuxMailClientVisitor:1#LinuxMailClientVisitor:1, value=<void>"
"main", "25", "MailClientVisitorTest.java:12", "Method Returned", ""
"main", "26", "MailClientVisitorTest.java:12", "Line Step", "file=MailClientVisitorTest.java, line=12"
"main", "27", "MailClientVisitorTest.java:12", "Variable Write", "context=MailClientVisitorTest#main:1, linuxVisitor=LinuxMailClientVisitor:1"
"main", "28", "MailClientVisitorTest.java:13", "Line Step", "file=MailClientVisitorTest.java, line=13"
"main", "29", "SYSTEM", "Type Load", "class=WindowsMailClientVisitor"
"main", "30", "MailClientVisitorTest.java:13", "New Object", "object=WindowsMailClientVisitor:1"
"main", "31", "MailClientVisitorTest.java:13", "Method Call", "caller=MailClientVisitorTest#main:1, target=WindowsMailClientVisitor:1#WindowsMailClientVisitor:1"
"main", "32", "WindowsMailClientVisitor.java:2", "Method Entered", ""
"main", "33", "WindowsMailClientVisitor.java:2", "Line Step", "file=WindowsMailClientVisitor.java, line=2"
"main", "34", "WindowsMailClientVisitor.java:2", "Method Exit", "returner=WindowsMailClientVisitor:1#WindowsMailClientVisitor:1, value=<void>"
"main", "35", "MailClientVisitorTest.java:13", "Method Returned", ""
"main", "36", "MailClientVisitorTest.java:13", "Line Step", "file=MailClientVisitorTest.java, line=13"
"main", "37", "MailClientVisitorTest.java:13", "Variable Write", "context=MailClientVisitorTest#main:1, windowsVisitor=WindowsMailClientVisitor:1"
"main", "38", "MailClientVisitorTest.java:14", "Line Step", "file=MailClientVisitorTest.java, line=14"
"main", "39", "SYSTEM", "Type Load", "class=OperaMailClient"
"main", "40", "MailClientVisitorTest.java:14", "New Object", "object=OperaMailClient:1"
"main", "41", "MailClientVisitorTest.java:14", "Method Call", "caller=MailClientVisitorTest#main:1, target=OperaMailClient:1#OperaMailClient:1"
"main", "42", "OperaMailClient.java:2", "Method Entered", ""
"main", "43", "OperaMailClient.java:2", "Line Step", "file=OperaMailClient.java, line=2"
"main", "44", "OperaMailClient.java:2", "Method Exit", "returner=OperaMailClient:1#OperaMailClient:1, value=<void>"
"main", "45", "MailClientVisitorTest.java:14", "Method Returned", ""
"main", "46", "MailClientVisitorTest.java:14", "Line Step", "file=MailClientVisitorTest.java, line=14"
"main", "47", "MailClientVisitorTest.java:14", "Variable Write", "context=MailClientVisitorTest#main:1, operaMailClient=OperaMailClient:1"
"main", "48", "MailClientVisitorTest.java:15", "Line Step", "file=MailClientVisitorTest.java, line=15"
"main", "49", "SYSTEM", "Type Load", "class=SquirrelMailClient"
"main", "50", "MailClientVisitorTest.java:15", "New Object", "object=SquirrelMailClient:1"
"main", "51", "MailClientVisitorTest.java:15", "Method Call", "caller=MailClientVisitorTest#main:1, target=SquirrelMailClient:1#SquirrelMailClient:1"
"main", "52", "SquirrelMailClient.java:2", "Method Entered", ""
"main", "53", "SquirrelMailClient.java:2", "Line Step", "file=SquirrelMailClient.java, line=2"
"main", "54", "SquirrelMailClient.java:2", "Method Exit", "returner=SquirrelMailClient:1#SquirrelMailClient:1, value=<void>"
"main", "55", "MailClientVisitorTest.java:15", "Method Returned", ""
"main", "56", "MailClientVisitorTest.java:15", "Line Step", "file=MailClientVisitorTest.java, line=15"
"main", "57", "MailClientVisitorTest.java:15", "Variable Write", "context=MailClientVisitorTest#main:1, squirrelMailClient=SquirrelMailClient:1"
"main", "58", "MailClientVisitorTest.java:16", "Line Step", "file=MailClientVisitorTest.java, line=16"
"main", "59", "SYSTEM", "Type Load", "class=ZimbraMailClient"
"main", "60", "MailClientVisitorTest.java:16", "New Object", "object=ZimbraMailClient:1"
"main", "61", "MailClientVisitorTest.java:16", "Method Call", "caller=MailClientVisitorTest#main:1, target=ZimbraMailClient:1#ZimbraMailClient:1"
"main", "62", "ZimbraMailClient.java:2", "Method Entered", ""
"main", "63", "ZimbraMailClient.java:2", "Line Step", "file=ZimbraMailClient.java, line=2"
"main", "64", "ZimbraMailClient.java:2", "Method Exit", "returner=ZimbraMailClient:1#ZimbraMailClient:1, value=<void>"
"main", "65", "MailClientVisitorTest.java:16", "Method Returned", ""
"main", "66", "MailClientVisitorTest.java:16", "Line Step", "file=MailClientVisitorTest.java, line=16"
